id,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,Designation,MonthlyIncome,ProdTaken,Marry,Car,Child,AgeGroup,TypeofContactNULL,Motivation,EconomicPower,Child01,TripEasier,SalesPerformance,LivingCost,EconomicStability,TripFreaqency,NumberOfTrips_log,TravelCost,EconomicSegment,PackageMatch
23,56,Company Invited,2,6.803505257608338,Salaried,male,1,3,Deluxe,3,1,0,3,AVP,12.97448034808874,0,Married,Has Car,0_child,50s,0,3,33.733648905030726,0,8,1.3228475115728513,8.678582172634608,19.98069973605666,0,0.6931471805599453,1.6931471805599454,14,0.8
24,30,Self Enquiry,2,6.8679744089702925,Salaried,male,1,3,Basic,3,2,0,4,Executive,12.430319587884537,0,Divorced,Has Car,0_child,30s,0,3,32.31883092849979,0,24,1.7472400573197748,9.106461236545446,15.040686701340292,0,1.0986122886681098,2.09861228866811,12,1.0
27,50,Company Invited,1,6.734591659972948,Salaried,male,1,3,Standard,3,2,0,3,Senior Manager,12.818392018639724,0,Single,Has Car,0_child,50s,0,3,49.99172887269492,0,16,1.3363839196801655,8.138661599136332,18.330300586654808,0,1.0986122886681098,2.09861228866811,1,1.0
28,52,Self Enquiry,1,6.928537818164665,Salaried,male,1,3,Deluxe,3,4,0,3,AVP,13.031138043246484,0,Married,Has Car,0_child,50s,0,3,50.82143836866129,0,8,1.298975373477005,7.55428292362115,20.067952586599585,0,1.6094379124341003,2.6094379124341005,17,0.8
29,22,Self Enquiry,2,6.398594934535208,Salaried,male,1,3,Basic,3,1,0,4,Executive,12.46414308934512,1,Single,No Car,0_child,20s,0,3,32.40677203229731,0,48,1.8754117306648475,9.587802376419322,15.081613138107597,0,0.6931471805599453,1.6931471805599454,12,1.0
30,36,Company Invited,2,6.803505257608338,Salaried,female,1,3,Deluxe,3,1,1,3,Manager,12.665650237042165,0,Married,No Car,0_child,30s,0,13,25.33130047408433,0,8,1.3228475115728513,8.857098067861653,16.71865831289566,0,0.6931471805599453,1.6931471805599454,15,0.8
31,52,Self Enquiry,3,7.560601162768557,Salaried,female,1,3,Deluxe,3,2,1,5,AVP,13.122365377402328,0,Divorced,Has Car,0_child,50s,0,13,13.122365377402328,0,8,1.9839692211071835,12.497490835621264,20.208442681199585,0,1.0986122886681098,2.09861228866811,18,0.8
32,46,Company Invited,3,6.175867270105761,Salaried,male,1,3,Standard,3,5,1,4,Senior Manager,12.7931118089004,0,Single,Has Car,0_child,40s,0,13,16.63104535157052,0,16,1.9430469398340067,12.183916008476572,18.294149886727574,1,1.791759469228055,2.791759469228055,19,1.0
33,30,Company Invited,2,6.803505257608338,Salaried,female,1,3,Standard,3,2,1,3,Senior Manager,12.923914877701906,0,Married,No Car,0_child,30s,0,13,25.84782975540381,0,8,1.3228475115728513,9.037702711679653,18.48119827511373,0,1.0986122886681098,2.09861228866811,20,1.0
34,28,Self Enquiry,1,6.293419278846481,Salaried,female,1,3,Basic,3,5,1,3,Executive,12.506180941677355,0,Single,No Car,0_child,20s,0,13,37.518542825032064,0,48,1.4300652159392766,8.337453961118237,15.132478939429602,1,1.791759469228055,2.791759469228055,13,1.0
35,25,Self Enquiry,2,6.734591659972948,Salaried,male,1,3,Basic,3,2,1,4,Executive,12.45060971486532,1,Single,Has Car,0_child,20s,0,13,32.37158525864984,0,48,1.7818452262402205,9.12132579843613,15.06523775498704,0,1.0986122886681098,2.09861228866811,12,1.0
36,51,Company Invited,1,7.353081920515432,Small Business,female,1,4,Deluxe,3,1,0,2,AVP,13.092019627171702,0,Single,Has Car,0_child,50s,0,4,39.276058881515105,0,16,1.087979174783792,8.31239341407727,16.495944730236342,0,0.6931471805599453,1.6931471805599454,9,0.8
37,50,Self Enquiry,3,6.660575149839686,Salaried,female,1,4,Standard,4,5,0,1,Senior Manager,12.821260987319455,0,Single,No Car,0_child,50s,0,4,12.821260987319455,0,16,0.6005487379113613,12.821260987319455,18.334403211866825,1,1.791759469228055,4.187639203842083,19,0.8
38,48,Company Invited,1,6.580639137284949,Salaried,female,1,4,Standard,3,2,0,1,Senior Manager,12.903649998369437,0,Single,Has Car,0_child,40s,0,4,38.71094999510831,0,16,0.6078436936826666,8.192793649758372,18.452219497668295,0,1.0986122886681098,2.09861228866811,1,1.0
39,50,Company Invited,1,6.175867270105761,Small Business,female,1,5,Standard,3,4,0,3,Senior Manager,13.07527386630434,0,Married,Has Car,0_child,50s,0,5,39.225821598913015,0,8,2.428808674792508,7.579868908002515,15.298070423576078,0,1.6094379124341003,2.6094379124341005,8,1.0
40,38,Company Invited,2,6.734591659972948,Salaried,male,1,3,Standard,3,1,0,2,Senior Manager,12.843207519923666,1,Married,No Car,0_child,30s,0,3,33.392339551801534,0,8,0.8909226131201102,8.981263999946618,18.365786753490845,0,0.6931471805599453,1.6931471805599454,20,1.0
41,33,Self Enquiry,2,6.734591659972948,Large Business,female,1,3,Basic,3,8,0,2,Executive,12.423161906559136,1,Single,Has Car,0_child,30s,0,3,24.84632381311827,0,48,0.8909226131201102,9.101217513962736,16.39857371665806,1,2.1972245773362196,3.1972245773362196,0,1.0
42,42,Company Invited,2,6.398594934535208,Salaried,male,1,3,Deluxe,3,2,0,2,Manager,12.500386429492476,0,Married,No Car,0_child,40s,0,3,32.50100471668044,0,8,0.9377058653324237,8.741528971673059,16.50051008693007,0,1.0986122886681098,2.09861228866811,15,0.8
43,50,Company Invited,2,7.13966033596492,Salaried,male,1,3,Standard,3,1,0,2,Senior Manager,12.80100317659188,0,Single,No Car,0_child,50s,0,3,33.28260825913889,0,16,0.8403761128209336,9.846925520455292,18.305434542526392,0,0.6931471805599453,1.6931471805599454,20,1.0
45,35,Company Invited,1,6.660575149839686,Large Business,female,1,3,Standard,4,1,0,1,Senior Manager,12.784821368781037,0,Married,Has Car,0_child,30s,0,3,38.35446410634311,0,8,0.450411553433521,7.411490648568717,19.944321335298415,0,0.6931471805599453,2.539720770839918,7,0.8
46,59,Company Invited,2,6.175867270105761,Small Business,male,1,3,Standard,3,1,0,2,Senior Manager,12.80760057641521,0,Married,No Car,0_child,50s,0,3,33.299761498679544,0,8,0.9715234699170033,8.956364039451195,14.984892674405796,0,0.6931471805599453,1.6931471805599454,3,1.0
47,43,Company Invited,2,6.734591659972948,Small Business,male,1,3,Standard,3,5,0,2,Manager,12.76657661034828,0,Married,Has Car,0_child,40s,0,3,33.19309918690553,0,8,0.8909226131201102,8.539516127323262,13.787902739176142,1,1.791759469228055,2.791759469228055,21,1.0
48,32,Company Invited,2,7.313886831633462,Salaried,male,1,4,Standard,3,3,0,2,Senior Manager,12.970542315242756,1,Single,No Car,0_child,30s,0,4,33.72341001963117,0,16,1.093809650622295,9.977340242494428,18.547875510797144,0,1.3862943611198906,2.386294361119891,20,1.0
49,47,Self Enquiry,1,6.803505257608338,Small Business,female,1,3,Basic,3,1,0,1,Executive,12.515305815812251,0,Divorced,No Car,0_child,40s,0,3,37.54591744743675,0,24,0.4409491705242838,8.3435372105415,12.39015275765413,0,0.6931471805599453,1.6931471805599454,11,1.0
50,42,Company Invited,2,6.8679744089702925,Small Business,male,1,3,Basic,3,2,0,1,Executive,12.520302924964854,0,Divorced,No Car,0_child,40s,0,3,32.55278760490862,0,24,0.4368100143299437,9.631002249972964,12.395099895715207,0,1.0986122886681098,2.09861228866811,5,1.0
51,53,Self Enquiry,1,6.580639137284949,Salaried,male,1,3,Standard,3,1,0,1,Senior Manager,12.827054964872984,0,Single,Has Car,0_child,50s,0,3,50.02551436300464,0,16,0.4558827702619999,8.144161882459036,18.34268859976837,0,0.6931471805599453,1.6931471805599454,1,1.0
52,56,Self Enquiry,1,6.493753839851686,Salaried,male,1,3,Deluxe,4,20,0,1,AVP,13.044652615297654,0,Married,Has Car,0_child,50s,0,3,50.87414519966086,0,8,0.46198240247254563,7.562117458143567,20.088765027558388,2,3.044522437723423,6.066783656585134,17,1.0
53,33,Company Invited,1,6.493753839851686,Salaried,male,1,3,Standard,3,5,0,2,Senior Manager,12.75330059143718,0,Single,No Car,0_child,30s,0,3,49.737872306605,0,16,0.9239648049450913,8.502200394291453,18.23721984575517,1,1.791759469228055,2.791759469228055,1,1.0
54,58,Company Invited,1,6.734591659972948,Salaried,female,1,3,Deluxe,3,4,0,1,Manager,12.892311015122338,0,Single,No Car,0_child,50s,0,3,38.676933045367015,0,16,0.4454613065600551,8.59487401008156,17.017850539961486,0,1.6094379124341003,2.6094379124341005,16,0.8
55,33,Company Invited,2,6.8679744089702925,Salaried,female,1,3,Deluxe,3,5,0,2,Manager,12.604365427221907,0,Married,Has Car,0_child,30s,0,3,25.208730854443814,0,8,0.8736200286598874,8.431013663693582,16.637762363932918,1,1.791759469228055,2.791759469228055,15,0.8
56,32,Company Invited,1,6.293419278846481,Small Business,male,1,3,Basic,3,4,0,1,Executive,12.505791978592455,0,Single,Has Car,0_child,30s,0,3,48.772588716510576,0,48,0.47668840531309226,7.940185383233304,12.380734058806532,0,1.6094379124341003,2.6094379124341005,11,1.0
57,50,Company Invited,2,6.8679744089702925,Salaried,male,1,3,Standard,4,5,1,1,Senior Manager,12.96465872301773,1,Married,Has Car,0_child,50s,0,13,33.708112679846096,0,8,0.4368100143299437,8.672012523757676,18.539461973915355,1,1.791759469228055,4.187639203842083,20,0.8
58,40,Company Invited,1,6.734591659972948,Salaried,female,1,3,Standard,3,2,1,1,Senior Manager,12.9434304726383,0,Single,Has Car,0_child,40s,0,13,38.8302914179149,0,16,0.4454613065600551,8.218051093738602,18.50910557587277,0,1.0986122886681098,2.09861228866811,1,1.0
59,26,Company Invited,2,6.928537818164665,Large Business,male,1,3,Basic,3,2,1,2,Executive,12.486034997466737,1,Single,No Car,0_child,20s,0,13,32.463690993413515,0,48,0.8659835823180034,9.604642305743644,16.481566196656093,0,1.0986122886681098,2.09861228866811,0,1.0
60,47,Self Enquiry,2,6.803505257608338,Small Business,male,1,3,Standard,3,8,1,1,Senior Manager,12.937348597137708,0,Single,No Car,0_child,40s,0,13,33.63710635255804,0,16,0.4409491705242838,9.951806613182852,15.136697858651118,1,2.1972245773362196,3.1972245773362196,3,1.0
61,47,Company Invited,2,6.398594934535208,Large Business,male,1,3,Basic,3,1,1,2,Executive,12.464258963752842,1,Divorced,Has Car,0_child,40s,0,13,32.40707330575739,0,24,0.9377058653324237,9.13132524817058,16.452821832153752,0,0.6931471805599453,1.6931471805599454,0,1.0
62,52,Company Invited,2,6.8679744089702925,Salaried,female,1,3,Deluxe,4,5,0,1,AVP,13.137982757305284,0,Single,Has Car,0_child,50s,0,3,26.27596551461057,0,16,0.4368100143299437,9.624895792897643,20.23249344625014,1,1.791759469228055,4.187639203842083,14,1.0
63,29,Company Invited,2,6.660575149839686,Small Business,male,1,5,Deluxe,3,7,0,1,Manager,12.624654682684875,0,Divorced,No Car,0_child,20s,0,5,32.82410217498068,0,8,0.7506859223892017,9.711272832834519,13.634627057299666,1,2.0794415416798357,3.0794415416798357,21,0.8
64,44,Self Enquiry,2,6.042632833682381,Small Business,male,1,5,Deluxe,3,1,0,2,Manager,12.64318498847234,0,Married,No Car,0_child,40s,0,5,32.872280970028086,0,8,1.6549077654129116,8.84138810382681,13.654639787550128,0,0.6931471805599453,1.6931471805599454,21,0.8
65,54,Company Invited,1,6.580639137284949,Small Business,male,2,4,Standard,3,2,0,1,Senior Manager,12.899222326086994,0,Divorced,Has Car,0_child,50s,0,8,50.30696707173928,0,6,0.6078436936826666,8.189982429261583,15.092090121521784,0,1.0986122886681098,2.09861228866811,8,1.0
66,51,Company Invited,2,6.042632833682381,Salaried,male,2,4,Super Deluxe,3,3,0,2,AVP,13.080730637652293,0,Married,Has Car,0_child,50s,0,8,34.009899657895964,0,0,1.3239262123303295,8.749652600436315,20.14432518198453,0,1.3862943611198906,2.386294361119891,14,0.6
67,59,Company Invited,1,6.660575149839686,Salaried,male,2,4,Deluxe,3,4,0,1,AVP,13.04559247819008,0,Married,Has Car,0_child,50s,0,8,50.877810664941315,0,6,0.6005487379113613,7.562662306197148,20.090212416412726,0,1.6094379124341003,2.6094379124341005,17,0.8
68,25,Company Invited,1,6.042632833682381,Small Business,male,2,4,Basic,3,8,0,2,Executive,12.508899455308407,0,Single,No Car,0_child,20s,0,8,48.784707875702786,0,36,1.3239262123303295,8.339266303538938,12.383810460755324,1,2.1972245773362196,3.1972245773362196,11,1.0
69,29,Company Invited,1,6.803505257608338,Salaried,female,2,4,Basic,3,5,0,2,Executive,12.483196677510696,0,Divorced,No Car,0_child,20s,0,8,37.449590032532086,0,18,1.1758644547314234,8.322131118340463,15.104667979787944,1,1.791759469228055,2.791759469228055,13,1.0
70,21,Self Enquiry,2,6.660575149839686,Small Business,female,2,4,Basic,3,3,0,2,Executive,12.66593439432829,1,Married,No Car,0_child,20s,0,8,25.33186878865658,0,18,1.2010974758227226,8.85729677925055,12.539275050385008,0,1.3862943611198906,2.386294361119891,5,1.0
71,56,Self Enquiry,1,6.398594934535208,Small Business,male,2,4,Deluxe,3,6,0,1,AVP,12.899222326086994,0,Married,Has Car,0_child,50s,0,8,50.30696707173928,0,6,0.6251372435549492,7.477810044108402,16.25302013086961,1,1.9459101490553132,2.9459101490553135,9,0.8
72,50,Self Enquiry,3,5.8888779583328805,Small Business,male,2,4,Standard,3,4,0,2,Senior Manager,12.790899378597398,0,Single,Has Car,0_child,50s,0,8,16.628169192176617,0,12,1.3584930875804344,12.181808931997521,14.965352272958958,0,1.6094379124341003,2.6094379124341005,22,1.0
73,57,Company Invited,1,6.175867270105761,Small Business,female,2,4,Basic,3,2,0,2,Executive,12.479951135380311,0,Single,Has Car,0_child,50s,0,8,37.439853406140934,0,36,1.2953646265560044,7.923778498654165,12.35515162402651,0,1.0986122886681098,2.09861228866811,11,1.0
74,37,Company Invited,1,6.660575149839686,Large Business,male,2,4,Basic,4,7,0,2,Executive,12.520522006212012,1,Divorced,No Car,0_child,30s,0,8,48.83003582422685,0,18,1.2010974758227226,8.347014670808008,16.527089048199855,1,2.0794415416798357,4.619162312519753,2,0.8
75,20,Self Enquiry,1,6.660575149839686,Salaried,male,2,4,Basic,3,2,0,2,Executive,12.457982452093804,0,Divorced,No Car,0_child,20s,0,8,48.586131563165836,0,18,1.2010974758227226,8.305321634729202,15.074158767033506,0,1.0986122886681098,2.09861228866811,13,1.0
76,53,Company Invited,2,6.734591659972948,Small Business,male,2,4,Standard,4,5,0,2,Senior Manager,12.9904215778499,0,Single,Has Car,0_child,50s,0,8,33.77509610240974,0,12,1.1878968174934803,9.5167923647252,15.198793246084383,1,1.791759469228055,4.187639203842083,3,0.8
77,30,Company Invited,1,6.175867270105761,Small Business,male,2,4,Basic,3,8,0,1,Executive,12.496803814758204,0,Divorced,Has Car,0_child,30s,0,8,48.737534877556996,0,18,0.6476823132780022,7.934478612544891,12.371835776610624,1,2.1972245773362196,3.1972245773362196,11,1.0
78,35,Company Invited,3,6.580639137284949,Salaried,male,2,4,Standard,4,1,0,2,Senior Manager,12.99045580852127,0,Divorced,Has Car,0_child,30s,0,8,16.887592551077653,0,6,1.215687387365333,12.371862674782161,18.576351806185418,0,0.6931471805599453,2.539720770839918,19,0.8
79,36,Company Invited,1,6.493753839851686,Small Business,male,2,4,Standard,3,2,0,2,Senior Manager,12.826167834653992,0,Divorced,Has Car,0_child,30s,0,8,50.02205455515057,0,6,1.2319530732601216,8.143598625177138,15.006616366545172,0,1.0986122886681098,2.09861228866811,8,1.0
80,36,Company Invited,3,6.985641817639208,Small Business,female,2,5,Standard,3,1,0,1,Senior Manager,12.611541086966117,0,Divorced,No Car,0_child,30s,0,10,12.611541086966117,0,6,0.7157538463215605,12.611541086966117,14.755503071750356,0,0.6931471805599453,1.6931471805599454,22,1.0
81,38,Self Enquiry,2,5.707110264748875,Salaried,male,2,4,Standard,3,5,0,2,Senior Manager,12.923914877701906,0,Divorced,No Car,0_child,30s,0,8,33.602178682024956,0,6,1.401760195420373,9.94147298284762,18.48119827511373,1,1.791759469228055,2.791759469228055,20,1.0
82,49,Self Enquiry,3,6.803505257608338,Small Business,female,2,4,Standard,4,2,0,1,Senior Manager,12.821260987319455,0,Married,Has Car,0_child,40s,0,8,12.821260987319455,0,6,0.5879322273657117,11.14892259766909,15.000875355163764,0,1.0986122886681098,3.147918433002165,22,0.8
83,37,Self Enquiry,1,7.528869256642251,Large Business,male,2,4,Standard,3,2,0,1,Senior Manager,12.88335971684618,0,Single,No Car,0_child,30s,0,8,50.2451028957001,0,12,0.5312882803046487,8.588906477897453,20.09804115828004,0,1.0986122886681098,2.09861228866811,7,1.0
84,50,Self Enquiry,2,6.734591659972948,Small Business,female,2,4,Basic,3,5,1,2,Executive,12.482684923262866,1,Single,No Car,0_child,50s,0,18,24.965369846525732,0,36,1.1878968174934803,9.60206532558682,12.35785807403024,1,1.791759469228055,2.791759469228055,5,1.0
85,51,Self Enquiry,2,6.398594934535208,Salaried,male,2,4,Standard,3,3,1,2,Senior Manager,12.812847335877953,0,Single,Has Car,0_child,50s,0,18,33.31340307328268,0,12,1.2502744871098983,9.386701344965532,18.322371690305474,0,1.3862943611198906,2.386294361119891,20,1.0
86,43,Self Enquiry,2,6.493753839851686,Small Business,male,2,4,Basic,3,5,1,2,Executive,12.478238714969924,1,Divorced,No Car,0_child,40s,0,18,32.4434206589218,0,18,1.2319530732601216,9.59864516536148,12.353456327820226,1,1.791759469228055,2.791759469228055,5,1.0
87,40,Self Enquiry,2,6.803505257608338,Small Business,female,2,4,Deluxe,3,2,1,1,Manager,12.989736718242176,0,Divorced,No Car,0_child,40s,0,18,25.97947343648435,0,6,0.5879322273657117,9.992105167878597,14.02891565570155,0,1.0986122886681098,2.09861228866811,21,0.8
89,54,Self Enquiry,2,6.8679744089702925,Small Business,male,1,1,Deluxe,4,4,1,4,AVP,12.968305026647943,0,Married,Has Car,0_child,50s,0,11,33.71759306928465,0,8,0.5824133524399249,8.674451522841432,16.34006433357641,0,1.6094379124341003,3.9141568686511508,10,1.0
91,26,Company Invited,2,6.928537818164665,Salaried,female,1,3,Basic,3,2,0,4,Executive,12.454712388917288,0,Single,No Car,0_child,20s,0,3,24.909424777834577,0,48,1.7319671646360069,9.580547991474837,15.07020199058992,0,1.0986122886681098,2.09861228866811,12,1.0
92,40,Company Invited,1,7.2305631534092925,Salaried,male,1,3,Basic,3,1,0,5,Executive,12.438615881070016,0,Married,Has Car,0_child,40s,0,3,48.51060193617307,0,24,2.0745272092571834,7.210791815113052,15.05072521609472,0,0.6931471805599453,1.6931471805599454,13,1.0
93,31,Company Invited,3,6.734591659972948,Salaried,female,1,3,Basic,3,2,0,3,Executive,12.468440756144114,0,Divorced,Has Car,0_child,30s,0,3,12.468440756144114,0,24,1.3363839196801655,11.874705482042012,15.08681331493438,0,1.0986122886681098,2.09861228866811,23,1.0
94,27,Company Invited,2,6.803505257608338,Salaried,female,1,1,Basic,3,8,0,3,Executive,12.456407149397496,0,Married,Has Car,0_child,20s,0,1,24.91281429879499,0,24,0.4409491705242838,8.332044915984945,15.072252650770972,1,2.1972245773362196,3.1972245773362196,12,1.0
95,40,Self Enquiry,1,6.493753839851686,Salaried,female,1,2,Deluxe,3,1,0,3,Manager,12.711431352903343,0,Single,No Car,0_child,40s,0,2,38.134294058710026,0,16,0.9239648049450913,8.474287568602229,16.779089385832414,0,0.6931471805599453,1.6931471805599454,16,0.8
97,33,Self Enquiry,2,6.293419278846481,Small Business,male,2,4,Basic,3,1,0,4,Executive,12.676079399771028,1,Single,Has Car,0_child,30s,0,8,32.95780643940468,0,36,2.542338161669825,9.286505054777308,12.549318605773319,0,0.6931471805599453,1.6931471805599454,5,1.0
98,20,Self Enquiry,2,7.650168700845001,Small Business,male,2,4,Basic,3,3,0,3,Executive,12.47801017053037,1,Married,No Car,0_child,20s,0,8,32.44282644337896,0,18,1.5685928597462875,8.725881238133125,12.353230068825066,0,1.3862943611198906,2.386294361119891,5,1.0
99,58,Company Invited,2,6.803505257608338,Small Business,female,2,4,Basic,3,2,0,3,Executive,12.494220859321198,0,Divorced,No Car,0_child,50s,0,8,24.988441718642395,0,18,1.7637966820971351,9.610939122554766,12.369278650727987,0,1.0986122886681098,2.09861228866811,5,1.0
100,33,Self Enquiry,1,6.928537818164665,Small Business,female,2,4,Basic,4,2,1,3,Executive,12.513487489897129,1,Single,No Car,0_child,30s,0,18,37.540462469691384,0,36,1.7319671646360069,8.342324993264752,12.388352614998158,0,1.0986122886681098,3.147918433002165,11,0.8
101,20,Company Invited,2,6.493753839851686,Small Business,male,2,4,Basic,3,2,1,4,Executive,12.611541086966117,1,Single,Has Car,0_child,20s,0,18,32.790006826111906,0,36,2.463906146520243,9.239224239535615,12.485425676096456,0,1.0986122886681098,2.09861228866811,5,1.0
102,32,Self Enquiry,2,7.427144133408616,Small Business,male,2,4,Basic,3,5,1,4,Executive,12.76567700482886,1,Divorced,Has Car,0_child,30s,0,18,33.190760212555034,0,18,2.154260064515128,9.352144325881946,12.638020234780571,1,1.791759469228055,2.791759469228055,5,1.0
