id,Age_int,TypeofContact_int,CityTier,Duration_int,Occupation_int,Gender_int,NumberOfPersonVisiting,NumberOfFollowups_normalized,ProductPitched_int,PreferredPropertyStar,NumberOfTrips_int,Passport,PitchSatisfactionScore,Designation_int,MonthlyIncome_int,customer_info_kekkon_int,customer_info_car_int,customer_info_child_int,ProdTaken
47,43,1,2,840,1,0,1.0,3.0,1,3.0,5,0,2,1,350310.0,1,1,0,0
48,32,1,2,1500,0,0,1.0,4.0,1,3.0,3,0,2,2,429570.0,0,0,0,1
49,47,0,1,900,1,1,1.0,3.0,0,3.0,1,0,1,0,272475.0,2,0,0,0
50,42,1,2,960,1,0,1.0,3.0,0,3.0,2,0,1,0,273840.0,2,0,0,0
51,53,0,1,720,0,0,1.0,3.0,1,3.0,1,0,1,2,372150.0,0,1,0,0
52,56,0,1,660,0,0,1.0,3.0,3,4.0,5,0,1,3,462615.0,1,1,0,0
53,33,1,1,660,0,0,1.0,3.0,1,3.0,5,0,2,2,345690.0,0,0,0,0
54,58,1,1,840,0,1,1.0,3.0,2,3.0,4,0,1,1,397245.0,0,0,0,0
55,33,1,2,960,0,1,1.0,3.0,2,3.0,5,0,2,1,297855.0,1,1,0,0
56,32,1,1,540,1,0,1.0,3.0,0,3.0,1,0,1,0,269895.0,0,1,0,0
57,50,1,2,960,0,0,1.0,3.0,1,4.0,5,1,1,2,427050.0,1,1,0,1
58,45,1,1,840,0,1,1.0,3.0,1,3.0,2,1,1,2,418080.0,0,1,0,0
59,26,1,2,1020,2,0,1.0,3.0,0,3.0,2,1,2,0,264615.0,0,0,0,1
60,47,0,2,900,1,0,1.0,3.0,1,3.0,2,1,1,2,415545.0,0,0,0,0
61,47,1,2,600,2,0,1.0,3.0,0,3.0,1,1,2,0,258915.0,2,1,0,1
62,52,1,2,960,0,1,1.0,3.0,3,4.0,5,0,1,3,507870.0,0,1,0,0
63,29,1,2,780,1,0,1.0,5.0,2,3.0,7,0,1,1,303960.0,2,0,0,0
64,44,0,2,420,1,0,1.0,5.0,2,3.0,1,0,2,1,309645.0,1,0,0,0
65,54,1,1,720,1,0,2.0,4.0,1,3.0,2,0,1,2,400000.0,2,1,0,0
66,51,1,2,420,0,0,2.0,4.0,3,3.0,3,0,2,3,479610.0,1,1,0,0
67,59,1,1,780,0,0,2.0,4.0,3,3.0,4,0,1,3,463050.0,1,1,0,0
68,25,1,1,420,1,0,2.0,4.0,0,3.0,2,0,2,0,270735.0,0,0,0,0
69,29,1,1,900,0,1,2.0,4.0,0,3.0,5,0,2,0,263865.0,2,0,0,0
70,21,0,2,780,1,1,2.0,4.0,0,3.0,3,0,2,0,316770.0,1,0,0,1
71,56,0,1,600,1,0,2.0,4.0,3,3.0,6,0,1,3,400000.0,1,1,0,0
72,10,0,3,360,1,1,2.0,4.0,1,3.0,4,0,2,2,358935.0,0,1,0,0
73,57,1,1,480,1,1,2.0,4.0,0,3.0,2,0,2,0,263010.0,0,1,0,0
74,37,1,1,780,2,0,2.0,4.0,0,4.0,7,0,2,0,273900.0,2,0,0,1
75,25,0,1,780,0,0,2.0,4.0,0,3.0,2,0,2,0,257295.0,2,0,0,0
76,53,1,2,840,1,0,2.0,4.0,1,4.0,5,0,2,2,438195.0,0,1,0,0
77,35,1,1,480,1,0,2.0,4.0,0,3.0,2,0,1,0,267480.0,2,1,0,0
78,35,1,3,720,0,0,2.0,4.0,1,4.0,1,0,2,2,438210.0,2,1,0,0
79,36,1,1,660,1,1,2.0,4.0,1,3.0,2,0,2,2,371820.0,2,1,0,0
80,36,1,3,1080,1,1,2.0,5.0,1,3.0,1,0,1,2,300000.0,2,0,0,0
81,38,0,2,300,0,0,2.0,4.0,1,3.0,5,0,2,2,410000.0,2,0,0,0
82,49,0,3,900,1,1,2.0,4.0,1,4.0,2,0,1,2,370000.0,1,1,0,0
83,37,0,1,1860,2,1,2.0,4.0,1,3.0,2,0,1,2,393705.0,0,0,0,0
84,50,0,2,840,1,1,2.0,4.0,0,3.0,5,1,2,0,263730.0,0,0,0,1
85,51,0,2,600,0,0,2.0,4.0,1,3.0,3,1,2,2,366900.0,0,1,0,0
86,43,0,2,660,1,0,2.0,4.0,0,3.0,5,1,2,0,262560.0,2,0,0,1
87,4,0,2,900,1,1,2.0,4.0,2,3.0,2,1,1,1,437895.0,2,0,0,0
89,54,0,2,960,1,0,1.0,1.0,3,4.0,1,1,4,3,428610.0,1,1,0,0
91,26,1,2,1020,0,1,1.0,3.0,0,3.0,2,0,4,0,256455.0,0,0,0,0
92,45,1,1,1380,0,0,1.0,3.0,0,3.0,1,0,5,0,252360.0,1,1,0,0
93,31,1,3,840,0,1,1.0,3.0,0,3.0,2,0,3,0,260000.0,2,1,0,0
94,27,1,2,900,0,1,1.0,1.0,0,3.0,2,0,3,0,256890.0,1,1,0,0
95,40,0,1,660,0,1,1.0,2.0,2,3.0,1,0,3,1,331515.0,0,0,0,0
97,33,0,2,540,1,0,2.0,4.0,0,3.0,1,0,4,0,320000.0,0,1,0,1
98,20,0,2,2100,1,0,2.0,4.0,0,3.0,3,0,3,0,262500.0,1,0,0,1
99,58,1,2,900,1,1,2.0,4.0,0,3.0,2,0,3,0,266790.0,2,0,0,0
100,33,0,1,1020,1,1,2.0,4.0,0,4.0,2,1,3,0,271980.0,0,0,0,1
101,20,1,2,660,1,0,2.0,4.0,0,3.0,2,1,4,0,300000.0,0,1,0,1
102,32,0,2,1680,1,0,2.0,4.0,0,3.0,5,1,4,0,349995.0,2,1,0,1
103,34,0,2,1200,0,1,2.0,4.0,0,3.0,7,0,4,0,270405.0,2,0,0,1
104,25,1,2,900,0,1,2.0,4.0,0,3.0,7,0,3,0,295065.0,0,1,0,1
105,51,0,2,900,1,1,1.0,4.0,0,3.0,2,0,2,0,274395.0,2,1,0,0
106,40,1,2,420,0,0,1.0,4.0,3,3.0,5,0,2,3,280200.0,2,1,0,0
107,26,1,3,660,0,0,1.0,4.0,1,3.0,3,1,2,2,370000.0,1,1,0,1
108,22,1,2,540,2,0,1.0,4.0,0,3.0,2,1,2,0,254535.0,0,1,0,1
110,21,0,1,540,1,1,2.0,3.0,0,3.0,3,0,1,0,258405.0,0,1,0,0
111,24,1,2,840,0,0,2.0,3.0,1,3.0,3,0,2,2,344400.0,0,1,0,1
112,45,0,2,720,0,0,2.0,3.0,2,3.0,5,0,2,1,330000.0,2,1,0,0
113,33,0,1,420,1,1,2.0,3.0,0,3.0,1,0,1,0,254205.0,2,1,0,0
114,33,1,1,960,0,0,2.0,3.0,2,3.0,2,0,2,1,288480.0,2,1,0,0
115,56,1,2,900,0,1,2.0,3.0,3,3.0,2,0,2,3,500000.0,1,1,0,0
116,36,0,1,780,0,1,2.0,3.0,1,3.0,2,0,2,2,500000.0,1,1,0,0
117,41,1,1,1020,0,0,2.0,3.0,3,4.0,3,0,2,3,413865.0,0,1,0,0
118,50,0,2,360,1,0,2.0,3.0,3,4.0,1,0,2,3,460000.0,2,1,0,0
119,31,0,1,1020,2,1,2.0,4.0,0,3.0,5,0,1,0,257340.0,0,0,0,0
120,22,1,3,960,0,1,2.0,3.0,0,3.0,2,0,1,0,255405.0,0,1,0,0
121,38,1,2,960,1,1,2.0,3.0,0,4.0,5,0,2,0,270000.0,0,1,0,1
122,38,1,1,1080,1,1,1.0,3.0,0,3.0,5,0,3,0,249315.0,0,0,0,0
123,31,1,2,960,0,0,2.0,3.0,0,3.0,2,0,1,0,259680.0,2,1,0,0
124,18,1,2,480,2,0,2.0,3.0,0,3.0,7,0,2,0,242280.0,0,1,0,1
125,52,1,3,480,1,0,1.0,3.0,1,3.0,1,0,5,4,274515.0,0,0,0,0
126,45,1,3,540,2,1,1.0,3.0,0,3.0,4,0,3,0,264480.0,1,0,0,0
127,30,1,1,720,1,1,2.0,3.0,0,3.0,5,0,1,0,258390.0,2,1,0,0
128,38,1,2,840,0,0,2.0,3.0,2,3.0,2,0,2,1,260310.0,0,0,0,1
129,43,1,2,480,0,0,2.0,3.0,1,3.0,2,0,1,2,445575.0,2,1,0,0
130,43,0,3,960,1,0,2.0,3.0,1,4.0,2,0,1,2,436320.0,0,1,0,0
131,35,1,3,960,0,1,2.0,4.0,2,3.0,3,0,1,1,371775.0,1,0,0,0
132,26,1,1,840,1,1,1.0,3.0,0,3.0,2,0,4,0,267015.0,0,0,0,1
133,46,1,3,1020,2,1,2.0,3.0,1,4.0,5,0,2,2,336735.0,2,1,0,0
134,52,0,2,1020,1,0,2.0,3.0,1,4.0,2,0,1,2,404385.0,0,1,0,0
135,39,0,1,420,0,0,2.0,3.0,1,3.0,2,0,2,2,365130.0,2,0,0,0
136,46,0,2,540,2,1,2.0,3.0,3,4.0,2,0,2,3,483855.0,0,1,-1,0
137,43,0,1,960,0,1,2.0,3.0,1,4.0,1,0,1,4,474720.0,0,0,0,0
138,46,0,1,780,1,0,2.0,3.0,0,3.0,4,0,2,0,257970.0,0,0,0,0
139,9,0,1,1020,1,1,2.0,3.0,0,3.0,1,0,2,0,268350.0,0,1,0,0
140,55,0,1,1020,0,1,2.0,3.0,2,3.0,1,0,2,1,400320.0,1,0,0,0
141,55,0,2,480,0,1,1.0,3.0,1,3.0,2,0,3,4,420780.0,1,1,0,0
142,50,1,1,780,0,0,1.0,3.0,1,3.0,1,0,4,0,269235.0,2,0,0,0
143,58,0,2,660,0,0,2.0,3.0,0,3.0,2,1,1,0,270540.0,0,0,0,0
144,27,0,2,420,0,1,2.0,3.0,0,3.0,1,1,2,0,258285.0,2,1,0,1
145,55,0,2,900,0,1,2.0,3.0,1,3.0,2,1,1,2,274380.0,0,0,0,1
146,36,1,3,840,1,1,2.0,3.0,3,3.0,4,1,1,3,431010.0,0,0,0,0
147,50,1,3,780,0,1,2.0,3.0,1,3.0,2,1,2,2,373845.0,0,0,0,0
149,24,1,3,900,0,1,3.0,4.0,1,3.0,2,0,2,2,353670.0,1,1,0,0
150,53,0,1,840,0,0,3.0,4.0,3,3.0,3,0,2,3,449715.0,0,1,0,0
151,38,0,2,600,0,1,3.0,4.0,1,3.0,1,0,2,2,398475.0,2,1,0,0
152,45,0,1,480,0,1,3.0,4.0,1,3.0,2,0,2,2,390000.0,0,0,0,0
153,50,0,1,2160,1,0,3.0,4.0,3,3.0,3,0,1,4,490000.0,1,1,-1,0
154,38,0,3,840,1,0,3.0,4.0,0,4.0,2,0,2,0,265110.0,0,0,0,0
155,41,0,1,480,2,0,3.0,4.0,3,3.0,3,0,2,3,385905.0,0,1,0,0
156,39,0,1,540,1,1,1.0,3.0,1,3.0,3,0,2,2,411855.0,0,0,0,0
157,30,0,1,480,0,0,1.0,3.0,0,3.0,1,0,2,0,257025.0,2,1,0,0
158,27,1,1,480,1,0,1.0,3.0,0,3.0,2,0,1,0,264345.0,0,1,0,0
159,31,0,2,480,1,0,1.0,3.0,0,3.0,7,0,2,0,251850.0,0,0,0,1
160,46,0,1,660,1,0,1.0,3.0,1,3.0,6,0,2,4,467460.0,2,0,0,0
161,45,1,1,420,0,1,1.0,3.0,3,3.0,2,0,2,3,476955.0,1,0,0,0
162,52,1,1,960,1,0,1.0,3.0,0,3.0,4,0,2,0,277005.0,0,0,0,0
163,8,0,1,420,2,1,2.0,4.0,0,3.0,2,0,2,0,245340.0,0,0,0,0
164,43,0,1,540,1,1,2.0,4.0,0,3.0,1,0,2,0,278595.0,2,1,0,0
165,27,1,2,900,2,0,2.0,4.0,0,3.0,6,1,2,0,296055.0,0,0,0,1
166,36,0,2,480,0,0,2.0,4.0,0,3.0,2,0,2,0,264990.0,0,1,0,0
167,40,1,1,840,1,1,1.0,1.0,1,3.0,1,0,1,2,430470.0,1,1,0,0
168,33,1,2,1080,1,0,1.0,3.0,3,3.0,1,0,1,4,342585.0,0,0,0,1
169,31,1,2,960,2,1,1.0,3.0,0,3.0,1,0,2,0,260000.0,0,0,0,1
170,31,1,2,840,0,1,1.0,3.0,2,3.0,2,0,1,1,332460.0,0,0,0,0
172,26,0,2,1080,1,0,1.0,1.0,0,3.0,5,0,2,0,256650.0,2,0,0,1
174,55,0,1,1440,1,0,2.0,3.0,3,3.0,7,0,2,3,428025.0,1,1,-1,0
175,58,0,1,960,0,0,1.0,1.0,3,3.0,6,0,1,3,461010.0,1,1,0,0
176,31,1,3,960,1,0,1.0,3.0,0,3.0,2,0,1,0,245805.0,2,1,0,0
177,32,1,2,900,1,0,1.0,3.0,0,3.0,3,0,2,0,256545.0,0,0,0,1
178,65,0,1,660,1,0,1.0,1.0,3,4.0,6,1,1,3,400000.0,1,1,0,0
179,33,0,2,1380,1,1,1.0,1.0,0,3.0,2,1,1,0,260445.0,2,0,0,0
180,27,1,2,360,2,0,1.0,3.0,1,3.0,2,1,2,2,440280.0,0,0,0,1
181,4,0,2,720,0,0,2.0,4.0,3,3.0,2,0,2,3,481905.0,0,1,0,0
182,25,0,2,960,1,0,3.0,5.0,0,3.0,3,0,1,0,333030.0,2,0,0,1
183,28,1,2,540,1,0,3.0,5.0,0,3.0,7,0,2,0,310575.0,0,0,0,1
184,55,0,1,1080,2,0,3.0,5.0,0,3.0,5,0,2,0,306420.0,0,1,0,1
185,27,0,1,540,0,0,3.0,5.0,0,4.0,2,1,1,0,270780.0,2,1,0,1
186,22,0,2,840,0,0,2.0,5.0,0,3.0,3,0,2,0,310245.0,0,1,0,1
187,49,1,1,540,0,0,1.0,3.0,3,3.0,6,0,2,3,502545.0,0,0,0,0
188,24,0,2,480,1,0,2.0,4.0,0,3.0,1,0,3,0,261180.0,0,1,0,1
189,51,0,1,1200,0,0,2.0,4.0,0,3.0,7,0,3,0,300000.0,2,1,0,0
190,24,0,1,480,1,0,2.0,3.0,0,3.0,2,0,4,0,263715.0,1,1,0,1
191,31,1,2,840,1,0,2.0,3.0,0,4.0,2,0,4,0,261225.0,2,0,0,1
193,32,0,2,600,1,1,2.0,3.0,2,3.0,1,0,4,1,262635.0,1,1,0,0
194,60,1,1,540,1,1,2.0,3.0,1,4.0,1,0,5,4,456855.0,2,1,0,0
195,46,1,2,1440,1,1,2.0,3.0,0,3.0,2,0,3,0,258810.0,2,0,0,0
196,39,1,2,540,1,1,2.0,3.0,0,4.0,2,0,4,0,268290.0,0,1,0,0
197,48,0,1,540,2,0,2.0,3.0,1,4.0,6,0,5,4,474525.0,2,1,0,0
198,54,0,2,840,1,0,2.0,3.0,1,3.0,5,0,4,2,440000.0,2,0,0,0
200,47,0,2,660,1,1,2.0,3.0,1,4.0,2,0,3,2,400000.0,0,0,0,0
201,45,0,1,900,1,1,2.0,4.0,0,3.0,4,0,3,0,255885.0,2,1,0,0
202,28,0,1,960,2,1,2.0,4.0,0,4.0,2,0,3,0,260100.0,1,0,0,0
203,40,0,1,1080,2,1,2.0,4.0,0,3.0,5,0,3,0,267270.0,1,0,0,0
204,29,1,3,480,1,1,2.0,3.0,1,3.0,1,0,4,2,406605.0,0,1,0,0
205,59,1,1,600,1,1,2.0,3.0,1,3.0,5,0,3,2,450000.0,1,1,0,0
206,34,0,1,480,2,1,2.0,3.0,1,3.0,2,0,4,2,274290.0,0,0,0,0
207,47,1,1,780,2,1,2.0,3.0,1,4.0,2,0,5,2,358770.0,1,1,0,0
209,37,1,2,1440,1,1,2.0,3.0,1,3.0,2,1,4,2,426015.0,0,1,0,0
210,35,1,1,1020,2,0,2.0,3.0,0,3.0,2,1,5,0,267405.0,1,0,0,0
211,52,0,1,900,0,0,2.0,3.0,1,4.0,3,0,3,2,412440.0,1,1,0,0
212,46,0,1,1500,0,1,2.0,3.0,0,3.0,1,0,4,0,270000.0,2,0,0,0
213,24,0,2,840,0,0,2.0,3.0,2,3.0,3,0,4,1,259515.0,2,1,0,0
214,35,0,2,780,0,0,2.0,3.0,1,3.0,2,0,3,1,265800.0,2,1,0,0
215,47,0,2,1920,0,0,2.0,3.0,2,3.0,5,0,3,1,343440.0,2,1,0,0
217,58,0,1,840,0,0,2.0,3.0,1,3.0,5,0,4,2,364680.0,1,0,0,0
218,33,0,3,840,0,0,2.0,3.0,3,3.0,2,0,4,3,413730.0,2,1,0,0
219,31,1,2,540,0,0,2.0,3.0,0,3.0,3,0,4,0,397935.0,1,0,0,1
220,49,0,2,900,0,0,2.0,4.0,0,4.0,2,0,4,0,348930.0,1,1,0,0
221,50,1,2,540,0,0,2.0,3.0,0,3.0,1,0,4,0,274260.0,1,1,0,0
222,25,0,3,780,0,1,2.0,3.0,0,3.0,2,1,4,0,254850.0,2,1,0,0
223,26,1,2,840,0,1,2.0,3.0,0,4.0,1,1,3,0,349590.0,0,0,0,1
224,22,1,2,540,0,0,2.0,3.0,0,3.0,3,1,3,0,263400.0,1,1,0,1
225,55,1,2,600,0,0,1.0,4.0,3,3.0,2,0,1,3,546660.0,1,0,0,0
226,59,1,2,600,0,1,1.0,3.0,3,4.0,6,0,2,3,600000.0,0,1,0,0
227,39,1,1,1020,0,1,1.0,3.0,3,3.0,2,0,2,3,539070.0,0,0,0,0
228,45,0,2,780,1,0,2.0,4.0,1,3.0,7,0,3,2,360000.0,1,1,0,0
229,25,0,1,600,1,1,3.0,4.0,0,4.0,2,0,5,0,300000.0,2,1,0,0
230,57,0,2,480,1,1,1.0,5.0,1,4.0,4,0,1,4,538425.0,1,1,0,0
231,39,1,2,540,0,0,3.0,4.0,0,3.0,2,0,3,1,271605.0,2,0,0,0
232,38,0,3,1200,1,0,2.0,4.0,2,3.0,2,0,4,1,340000.0,2,0,1,0
233,36,0,3,900,1,1,2.0,4.0,2,4.0,5,0,3,1,400000.0,0,0,1,0
234,24,0,3,1620,0,0,2.0,5.0,2,3.0,3,0,4,1,334365.0,0,0,1,0
236,23,0,2,780,1,0,2.0,4.0,2,3.0,1,1,3,1,343260.0,0,0,1,0
237,33,0,1,840,1,0,2.0,4.0,1,3.0,4,0,3,2,414075.0,2,1,1,0
238,32,1,1,540,1,1,2.0,4.0,0,3.0,2,0,3,0,322530.0,2,1,1,0
239,52,0,1,900,1,1,2.0,4.0,2,3.0,2,0,3,1,366495.0,1,1,1,0
240,30,1,1,600,1,0,2.0,4.0,0,3.0,5,0,3,0,259425.0,1,1,1,0
242,42,1,1,960,0,0,2.0,4.0,1,3.0,5,1,3,2,428265.0,1,1,1,0
243,45,0,1,420,0,0,2.0,4.0,3,4.0,6,0,1,3,560000.0,0,0,-1,0
244,40,1,2,900,2,0,2.0,4.0,1,3.0,1,0,2,2,340095.0,1,0,1,0
245,52,0,2,960,1,1,2.0,4.0,2,3.0,2,0,1,1,300000.0,0,1,1,0
246,45,1,3,960,1,1,2.0,4.0,1,3.0,2,0,1,2,406695.0,2,0,1,0
247,56,0,2,660,0,0,2.0,4.0,2,3.0,1,0,1,1,350340.0,1,1,1,0
248,45,0,1,840,1,0,3.0,4.0,1,3.0,1,0,2,2,390375.0,2,1,0,0
249,51,1,1,480,2,1,2.0,4.0,3,3.0,3,0,2,0,393765.0,1,0,1,0
250,47,0,1,780,1,1,2.0,4.0,2,3.0,2,0,2,1,350000.0,1,0,1,0
251,36,0,1,360,1,0,2.0,4.0,0,4.0,1,0,2,0,270000.0,1,1,1,0
252,29,0,2,540,0,0,3.0,4.0,0,3.0,1,1,1,0,400000.0,0,0,0,1
253,45,0,1,1260,1,1,2.0,4.0,1,3.0,2,1,1,2,418560.0,0,0,1,0
254,32,1,1,720,1,1,2.0,4.0,0,3.0,4,1,2,0,259680.0,2,1,1,0
255,43,1,2,1980,1,0,2.0,5.0,2,3.0,8,0,3,1,454845.0,1,0,1,0
256,35,1,2,540,0,1,2.0,5.0,2,3.0,1,0,3,1,324465.0,0,0,1,0
257,38,0,2,1500,0,0,2.0,5.0,2,4.0,8,0,3,1,339690.0,0,0,1,0
258,43,0,2,600,0,0,2.0,5.0,2,3.0,7,0,3,1,300000.0,2,0,1,0
260,40,0,1,540,0,0,2.0,5.0,2,3.0,3,1,3,1,337515.0,1,1,1,0
261,45,0,1,840,1,0,2.0,3.0,1,4.0,3,0,2,4,320000.0,1,0,0,0
262,40,1,1,1020,0,0,2.0,3.0,0,3.0,4,0,2,0,300000.0,2,1,0,0
263,38,1,1,780,1,0,2.0,1.0,0,3.0,2,0,2,0,300000.0,2,0,0,0
265,40,0,3,600,0,0,2.0,2.0,2,3.0,3,0,1,1,331935.0,0,0,0,0
266,32,1,1,540,1,1,2.0,3.0,0,3.0,1,0,2,0,264420.0,0,0,0,1
267,35,0,2,900,1,0,2.0,1.0,0,3.0,2,0,2,0,265020.0,0,1,0,1
268,51,1,2,480,0,0,2.0,2.0,1,3.0,2,0,2,2,405225.0,0,0,0,0
269,39,0,3,660,1,0,2.0,5.0,2,3.0,2,0,2,1,333015.0,0,0,1,0
270,35,1,1,660,1,1,2.0,5.0,2,3.0,2,0,2,1,340275.0,0,0,1,0
272,45,1,2,480,0,0,2.0,3.0,0,3.0,1,0,2,0,270000.0,0,1,0,0
273,51,0,2,540,1,0,2.0,3.0,1,3.0,1,0,1,4,300000.0,0,1,0,0
274,48,1,2,1380,1,1,2.0,4.0,2,3.0,2,0,2,1,363255.0,0,1,1,0
275,52,0,3,600,1,1,2.0,4.0,0,3.0,3,0,1,0,266460.0,0,0,1,1
276,54,1,2,900,1,0,2.0,4.0,2,3.0,5,0,1,1,400000.0,2,1,1,0
277,30,0,1,540,2,0,2.0,4.0,0,3.0,7,1,1,0,268770.0,2,0,0,1
278,49,0,2,540,0,1,2.0,3.0,1,3.0,5,1,1,4,285540.0,1,0,0,0
279,35,1,2,960,0,1,2.0,3.0,1,3.0,2,0,1,2,463860.0,2,1,0,0
280,55,0,1,960,1,0,2.0,4.0,3,3.0,3,0,2,3,340590.0,2,1,1,0
281,40,0,1,900,1,0,2.0,4.0,0,3.0,3,0,2,0,262995.0,0,0,1,0
282,55,1,1,960,0,0,2.0,3.0,3,3.0,5,0,2,3,489660.0,1,1,0,0
283,46,1,2,300,0,0,3.0,4.0,1,3.0,2,0,1,2,404640.0,1,0,2,0
284,21,1,2,540,1,1,3.0,4.0,0,3.0,3,0,2,0,311865.0,0,0,2,0
286,30,0,2,900,0,0,3.0,4.0,3,3.0,2,0,1,3,400000.0,1,1,2,0
287,40,0,2,480,1,0,3.0,4.0,1,3.0,3,0,1,2,342195.0,2,0,2,0
288,29,0,2,600,0,0,3.0,4.0,2,3.0,3,0,2,1,347145.0,0,0,2,0
289,55,0,3,1920,0,0,3.0,4.0,3,3.0,5,0,2,3,525795.0,2,1,2,0
290,57,1,2,360,2,1,3.0,4.0,1,3.0,5,0,2,2,525735.0,2,1,2,0
291,38,1,2,840,0,1,3.0,4.0,1,4.0,2,0,2,2,375135.0,0,1,2,0
292,46,0,2,480,1,1,3.0,4.0,2,3.0,2,0,2,1,357540.0,0,0,2,0
294,41,0,2,780,0,0,3.0,4.0,1,3.0,2,0,1,2,416505.0,1,1,2,0
296,26,0,2,780,1,1,3.0,4.0,2,3.0,3,0,2,1,350000.0,0,0,2,0
297,54,0,2,960,1,0,3.0,4.0,1,4.0,5,0,2,2,384840.0,0,1,2,0
298,30,0,2,840,0,0,3.0,4.0,1,4.0,5,0,2,2,440220.0,1,0,2,0
299,9,0,2,1860,1,0,3.0,4.0,2,3.0,2,0,1,1,310000.0,2,0,2,0
