id,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,Designation,MonthlyIncome,customer_info,ProdTaken,Age_int
13,51歳,Self Enquiry,2,17分,Small Business,FEMALE,1.0,3.0,Super Deluxe,4.0,5,0,4,AVP,月収44.0万円,結婚済み、車所持、非育児家庭,0,51
14,53才,Company Invited,2,840秒,Small Business,FEMALE,1.0,3.0,Basic,3.0,1,0,3,Executive,月収30.0万円,独身／車所持／無子,1,53
15,20歳,Self Enquiry,1,24分,Small Business,female,1.0,3.0,Basic,3.0,年に2回,0,4,Executive,253665.0,独身 車所持 子供なし,1,20
16,25歳,Company Invited,2,1380秒,Small Business,male,1.0,3.0,Basic,3.0,1,0,3,Executive,258600.0,独身　車未所持　子供なし,1,25
17,五十三歳,Self Enquiry,2,35分,Small Business,male,1.0,3.0,super deluxe,3.0,4,0,3,AVP,月収50.0万円,未婚、車所持、子供無し,1,53
18,20代,Company Invited,2,420秒,Small Business,Female,1.0,3.0,Standard,3.0,1,1,3,Senior Manager,月収40.0万円,結婚済み、自動車未所有、子供無し,0,25
19,44歳,Company Invited,2,5分,Small Business,Ｍａｌｅ,1.0,3.0,Super Deluxe,3.0,1,1,4,AVP,286245.0,結婚済み	自動車未所有	子供なし,0,44
20,30歳,Self Enquiry,1,480秒,Salaried,Fe Male,1.0,3.0,Standard,3.0,2,0,3,Senior Manager,455250.0,未婚/車保有なし/子供なし,0,30
21,34歳,Company Invited,2,16分,Salaried,Female,1.0,3.0,BASIC,3.0,2,0,4,Executive,263715.0,離婚済み、乗用車所持、子供なし,0,34
22,29歳,Company Invited,1,8分,Salaried,Female,1.0,3.0,BASIC,3.0,1,0,3,Executive,262725.0,離婚済み 自動車未所有　子供なし,1,29
23,56歳,Company Invited,2,15分,Salaried,Male,1.0,3.0,Super Deluxe,3.0,1,0,3,AVP,431265.0,結婚済み、車あり、子供無し,0,56
24,30代,Self Enquiry,2,960秒,Salaried,male,1.0,3.0,Basic,3.0,2,0,4,Executive,250275.0,離婚済み、車所持、子供なし,0,35
27,50代,Company Invited,1,14分,Salaried,Fe Male,1.0,3.0,STANᗞARD,3.0,2,0,3,Senior Manager,368940.0,未婚、自動車所有、子供なし,0,55
28,52歳,Self Enquiry,1,1020秒,Salaried,Fe Male,1.0,3.0,Super Deluxe,3.0,4,0,3,AVP,456405.0,結婚済み　自家用車あり　子供なし,0,52
29,22歳,Self Enquiry,2,10分,Salaried,MALE,1.0,3.0,Basic,3.0,1,0,4,Executive,258885.0,"独身,車未所持,子供なし",1,22
30,３６歳,Company Invited,2,900秒,Salaried,FEMALE,1.0,3.0,Deluxe,3.0,1,1,3,Manager,316680.0,結婚済み 車未所持 子供無し,0,36
31,52歳,Self Enquiry,3,32分,Salaried,female,1.0,3.0,Super Deluxe,3.0,2,1,5,AVP,月収50.0万円,"離婚済み,自動車所有,子供なし",0,52
32,46歳,Company Invited,3,8分,Salaried,male,1.0,3.0,Standard,3.0,5,1,4,Senior Manager,359730.0,未婚、車所持、子供なし,0,46
33,30歳,Company Invited,2,15分,Salaried,Female,1.0,3.0,Standard,3.0,2,1,3,Senior Manage𝙧,月収41.0万円,"結婚済み
自動車未所有
子供なし",0,30
34,28歳,Self Enquiry,1,540秒,Salaried,female,1.0,3.0,Basic,3.0,5,1,3,Executive,月収27.0万円,独身／車未所持／子供なし,0,28
35,25才,Self Enquiry,2,14分,Salaried,Male,1.0,3.0,Basic,3.0,2,1,4,Executive,255405.0,独身 車保有 子供無し,1,25
36,五十一歳,Company Invited,1,26分,Small Business,FEMALE,1.0,4.0,Super Deluxe,3.0,1,0,2,AVP,485055.0,独身、車所持、子供ゼロ,0,51
37,50歳,Self Enquiry,3,13分,Salaried,ｆｅ　ｍａｌｅ,1.0,4.0,STANDARD,4.0,5,0,1,Senior Manager,月収37.0万円,未婚 車未所持 子供なし,0,50
38,48才,Company Invited,1,12分,Salaried,female,1.0,4.0,Standard,3.0,2,0,1,Senior Manager,401775.0,未婚、車所持、子供無し,0,48
39,50代,Company Invited,1,8分,Small Business,female,1.0,5.0,Standard,3.0,4,0,3,Senior Manager,477000.0,結婚済み、車所持、無子,0,55
40,38才,Company Invited,2,14分,Salaried,Male,1.0,3.0,Standard,3.0,1,0,2,Senior Manager,378210.0,結婚済み、自動車未所有、子供無し,1,38
41,三十三歳,Self Enquiry,2,14分,Large Business,Female,1.0,3.0,Basic,3.0,年に2回,0,2,Executive,248490.0,独身/自家用車あり/子供無し,1,33
42,42際,Company Invited,2,10分,Salaried,male,1.0,3.0,Deluxe,3.0,2,0,2,Manager,268440.0,結婚済み　車未所持　子供なし,0,42
43,５０代,Company Invited,2,21分,Salaried,MALE,1.0,3.0,Standard,3.0,1,0,2,Senior Manager,362580.0,独身、車未所持、子供なし,0,10
45,35才,Company Invited,1,13分,Large Business,FEMALE,1.0,3.0,Standard,4.0,1,0,1,Senior Manager,356760.0,結婚済み、車所持、子供なし,0,35
46,59歳,Company Invited,2,480秒,Small Business,Male,1.0,3.0,Standard,3.0,1,0,2,Senior Manager,364980.0,結婚済み、自動車未所有、子供なし,0,59
47,四十三歳,Company Invited,2,14分,Small Business,Male,1.0,3.0,STANDARD,3.0,5,0,2,Manager,350310.0,結婚済み、自動車所有、子供無し,0,43
48,32歳,Company Invited,2,25分,Salaried,Male,1.0,4.0,STANDARD,3.0,3,0,2,Senior Manager,429570.0,"未婚,自家用車なし,子供なし",1,32
49,47歳,Self Enquiry,1,15分,Small Business,Female,1.0,3.0,Вasic,3.0,1,0,1,Executive,272475.0,離婚済み／自家用車なし/子供なし,0,47
50,４２才,Company Invited,2,960秒,Small Business,male,1.0,3.0,Basic,3.0,2,0,1,Executive,273840.0,離婚済み 車未所持 子供ゼロ,0,42
51,53歳,Self Enquiry,1,720秒,Salaried,Male,1.0,3.0,Standard,3.0,1,0,1,Senior Manager,372150.0,未婚 車保有 子供なし,0,53
52,56歳,Self Enquiry,1,11分,Salaried,Male,1.0,3.0,Super Deluxe,4.0,年に5回,0,1,AVP,462615.0,結婚済み　車所持　子供なし,0,56
53,33歳,Company Invited,1,11分,Salaried,Male,1.0,3.0,Standard,3.0,5,0,2,Senior Manager,345690.0,未婚、車未所持、子供無し,0,33
54,58歳,Company Invited,1,14分,Salaried,Female,1.0,3.0,Deluxe,3.0,4,0,1,Manager,397245.0,未婚 車保有なし 子供ゼロ,0,58
55,33歳,Company Invited,2,960秒,Salaried,Female,1.0,3.0,DELUXE,3.0,5,0,2,Manager,297855.0,結婚済み/車所持/子供なし,0,33
56,32歳,Company Invited,1,9分,Small Business,Male,1.0,3.0,BASIC,3.0,年に1回,0,1,Executive,269895.0,独身 車所持 子供無し,0,32
57,50歳,Company Invited,2,16分,Salaried,male,1.0,3.0,Standard,4.0,5,1,1,Senior Manager,427050.0,結婚済み、車所持、無子,1,50
58,40代,Company Invited,1,14分,Salaried,Female,1.0,3.0,STANDARD,3.0,2,1,1,Senior Manager,418080.0,未婚、車所持、子供無し,0,45
59,二十六歳,Company Invited,2,1020秒,Large Business,male,1.0,3.0,Basic,3.0,2,1,2,Executive,264615.0,"独身、車未所持,子供無し",1,26
60,47歳,Self Enquiry,2,900秒,Small Business,Male,1.0,3.0,Standard,3.0,年に2回,1,1,Senior Manager,415545.0,独身、車保有なし、非育児家庭,0,47
61,47歳,Company Invited,2,10分,Large Business,Male,1.0,3.0,Basic,3.0,1,1,2,Executive,258915.0,離婚済み、車所持、子供なし,1,47
62,52際,Company Invited,2,16分,Salaried,female,1.0,3.0,Super Deluxe,4.0,5,0,1,AVP,507870.0,"独身,自動車所有,子供なし",0,52
63,29歳,Company Invited,2,13分,Small Business,Ｍａｌｅ,1.0,5.0,deluxe,3.0,7,0,1,Manager,303960.0,離婚済み、自動車未所有、子供なし,0,29
64,44歳,Self Enquiry,2,7分,Small Business,Male,1.0,5.0,Deluxe,3.0,1,0,2,Manager,309645.0,結婚済み　車なし　子供なし,0,44
65,54歳,Company Invited,1,12分,Small Business,male,2.0,4.0,Standard,3.0,2,0,1,Senior Manager,月収40.0万円,離婚済み/車所持/子供無し,0,54
66,51歳,Company Invited,2,7分,Salaried,Male,2.0,4.0,ꓢuper De|uxe,3.0,3,0,2,AVP,479610.0,結婚済み　自動車所有　子供無し,0,51
67,59才,Company Invited,1,13分,Salaried,Male,2.0,4.0,Ѕuper Deluxe,3.0,4,0,1,AVP,463050.0,"結婚済み,自家用車あり,子供なし",0,59
68,25歳,Company Invited,1,420秒,Small Business,Male,2.0,4.0,BASIC,3.0,年に2回,0,2,Execuｔive,270735.0,独身／車未所持／子供無し,0,25
69,29才,Company Invited,1,15分,Salaried,Female,2.0,4.0,BASIC,3.0,5,0,2,Executive,263865.0,離婚済み	車未所持	子供なし,0,29
70,21才,Self Enquiry,2,780秒,Small Business,Female,2.0,4.0,Basic,3.0,3,0,2,Executive,316770.0,結婚済み 自動車未所有 子供なし,1,21
71,56歳,Self Enquiry,1,10分,Small Business,Male,2.0,4.0,Super Deluxe,3.0,6,0,1,AVP,月収40.0万円,結婚済み 車所持 非育児家庭,0,56
72,５０代,Self Enquiry,3,6分,Small Business,Fe Male,2.0,4.0,Standard,3.0,4,0,2,Senior Manager,358935.0,未婚／車あり／子供無し,0,10
73,57歳,Company Invited,1,480秒,Small Business,female,2.0,4.0,Basic,3.0,2,0,2,Executive,263010.0,独身、車所持、子供無し,0,57
74,37歳,Company Invited,1,780秒,Large Business,MALE,2.0,4.0,basic,4.0,7,0,2,Executive,273900.0,離婚済み 車未所持 子供なし,1,37
75,20代,Self Enquiry,1,13分,Salaried,male,2.0,4.0,Basic,3.0,2,0,2,Executive,257295.0,離婚済み／車未所持／子供なし,0,25
76,53才,Company Invited,2,14分,Small Business,Male,2.0,4.0,Standard,4.0,5,0,2,Senior Manager,438195.0,未婚、自動車所有、子供なし,0,53
77,30代,Company Invited,1,8分,Small Business,MALE,2.0,4.0,Basic,3.0,年に2回,0,1,Executive,267480.0,離婚済み 車所持 子供なし,0,35
78,35歳,Company Invited,3,12分,Salaried,Ｍａｌｅ,2.0,4.0,Standard,4.0,1,0,2,Senior Manager,438210.0,"離婚済み,自家用車あり、子供なし",0,35
79,３６歳,Company Invited,1,11分,Small Business,Fe Male,2.0,4.0,STANDARD,3.0,2,0,2,Senior Manager,371820.0,"離婚済み,自動車所有,非育児家庭",0,36
80,36才,Company Invited,3,18分,Small Business,female,2.0,5.0,STANDARD,3.0,1,0,1,Senior Manager,月収30.0万円,離婚済み／車未所持／子供なし,0,36
81,38歳,Self Enquiry,2,5分,Salaried,male,2.0,4.0,Standard,3.0,5,0,2,Senior Manager,月収41.0万円,離婚済み　車未所持　無子,0,38
82,４９歳,Self Enquiry,3,15分,Small Business,Female,2.0,4.0,Standard,4.0,2,0,1,Senior Manager,月収37.0万円,結婚済み、自動車所有、子供無し,0,49
83,３７歳,Self Enquiry,1,31分,Large Business,fe male,2.0,4.0,Standard,3.0,2,0,1,Senior Manager,393705.0,"未婚,車未所持,子供なし",0,37
84,50才,Self Enquiry,2,14分,Small Business,Female,2.0,4.0,Basic,3.0,5,1,2,Executive,263730.0,"独身,車未所持、無子",1,50
85,51才,Self Enquiry,2,600秒,Salaried,Ｍａｌｅ,2.0,4.0,Standard,3.0,3,1,2,Senior Manager,366900.0,独身/車所持/子供なし,0,51
86,43歳,Self Enquiry,2,11分,Small Business,male,2.0,4.0,Вasic,3.0,5,1,2,Executive,262560.0,離婚済み／車未所持／子供なし,1,43
87,四十歳,Self Enquiry,2,15分,Small Business,ｆｅｍａｌｅ,2.0,4.0,deluxe,3.0,2,1,1,Manager,437895.0,"離婚済み,車未所持,子供なし",0,4
89,54歳,Self Enquiry,2,16分,Small Business,Male,1.0,1.0,Super Deluxe,4.0,年に1回,1,4,AVP,428610.0,結婚済み	自動車所有	子供なし,0,54
91,26歳,Company Invited,2,17分,Salaried,Female,1.0,3.0,Basic,3.0,2,0,4,Executive,256455.0,独身	車未所持	子供なし,0,26
92,40代,Company Invited,1,23分,Salaried,Male,1.0,3.0,Basic,3.0,1,0,5,Executive,252360.0,結婚済み	自家用車あり	子供なし,0,45
93,31歳,Company Invited,3,840秒,Salaried,Female,1.0,3.0,Basic,3.0,2,0,3,Executive,月収26.0万円,離婚済み 車所持 子供なし,0,31
94,27歳,Company Invited,2,15分,Salaried,Ｆｅｍａｌｅ,1.0,1.0,BAՏIC,3.0,年に2回,0,3,Executive,256890.0,結婚済み	自動車所有	子供なし,0,27
95,40歳,Self Enquiry,1,11分,Salaried,Female,1.0,2.0,Deluxe,3.0,1,0,3,Μanager,331515.0,独身	自家用車なし	子供なし,0,40
97,33歳,Self Enquiry,2,9分,Small Business,Male,2.0,4.0,Basic,3.0,1,0,4,Executive,月収32.0万円,"独身,自家用車あり,子供無し",1,33
98,20歳,Self Enquiry,2,35分,Small Business,Male,2.0,4.0,Basic,3.0,3,0,3,Executive,262500.0,結婚済み/車未所持/子供なし,1,20
99,58歳,Company Invited,2,15分,Small Business,ｆｅｍａｌｅ,2.0,4.0,BASIC,3.0,2,0,3,Executive,266790.0,離婚済み、車未所持、子供なし,0,58
100,33歳,Self Enquiry,1,17分,Small Business,FEMALE,2.0,4.0,Basic,4.0,2,1,3,Executive,271980.0,独身/車未所持/子供なし,1,33
101,20歳,Company Invited,2,11分,Small Business,Male,2.0,4.0,Basic,3.0,2,1,4,Executive,月収30.0万円,独身 自動車所有　子供なし,1,20
102,32歳,Self Enquiry,2,28分,Small Business,male,2.0,4.0,basic,3.0,5,1,4,Executive,349995.0,離婚済み 車所持 子供無し,1,32
103,３４歳,Self Enquiry,2,20分,Salaried,Female,2.0,4.0,Basic,3.0,7,0,4,Executive,270405.0,離婚済み、自動車未所有、子供無し,1,34
104,20代,Company Invited,2,15分,Salaried,female,2.0,4.0,Basıc,3.0,7,0,3,Executive,295065.0,独身/車所持/子供ゼロ,1,25
105,51歳,Self Enquiry,2,15分,Small Business,Female,1.0,4.0,Basic,3.0,年に2回,0,2,Executive,274395.0,離婚済み、自動車所有、無子,0,51
106,40際,Company Invited,2,7分,Salaried,Male,1.0,4.0,Super Deluxe,3.0,5,0,2,AVP,280200.0,離婚済み／車あり／子供なし,0,40
107,26歳,Company Invited,3,11分,Salaried,male,1.0,4.0,Standard,3.0,3,1,2,Senior Manager,月収37.0万円,結婚済み/車所持/子供なし,1,26
108,22歳,Company Invited,2,9分,Large Business,Male,1.0,4.0,Basic,3.0,2,1,2,Executive,254535.0,独身、自家用車あり、無子,1,22
110,21歳,Self Enquiry,1,9分,Small Business,Female,2.0,3.0,Basic,3.0,3,0,1,Executive,258405.0,独身	自家用車あり	子供なし,0,21
111,24才,Company Invited,2,14分,Salaried,Male,2.0,3.0,Standard,3.0,3,0,2,Senior Manager,344400.0,"独身,乗用車所持,子供なし",1,24
112,45歳,Self Enquiry,2,12分,Salaried,Male,2.0,3.0,Deluxe,3.0,5,0,2,Manager,月収33.0万円,"離婚済み,自家用車あり,子供なし",0,45
113,33歳,Self Enquiry,1,7分,Small Business,female,2.0,3.0,Basic,3.0,年に1回,0,1,Executive,254205.0,離婚済み 自家用車あり 子供なし,0,33
114,33歳,Company Invited,1,16分,Salaried,Male,2.0,3.0,Deluxe,3.0,2,0,2,Manager,288480.0,離婚済み、車保有、子供なし,0,33
115,56歳,Company Invited,2,900秒,Salaried,Female,2.0,3.0,Super Deluxe,3.0,2,0,2,AVP,月収50.0万円,結婚済み/自動車所有/子供無し,0,56
116,36歳,Self Enquiry,1,13分,Salaried,Ｆｅｍａｌｅ,2.0,3.0,Standard,3.0,年に2回,0,2,Senior Manager,月収50.0万円,結婚済み 車所持 子供なし,0,36
117,41才,Company Invited,1,1020秒,Salaried,Ｍａｌｅ,2.0,3.0,Super Deluxe,4.0,3,0,2,AVP,413865.0,独身、自動車所有、子供なし,0,41
118,50才,Self Enquiry,2,6分,Small Business,Male,2.0,3.0,super deluxe,4.0,1,0,2,AVP,月収46.0万円,"離婚済み,自家用車あり,子供ゼロ",0,50
119,31歳,Self Enquiry,1,17分,Large Business,Female,2.0,4.0,BASIC,3.0,5,0,1,Executive,257340.0,独身 自動車未所有 子供なし,0,31
120,22歳,Company Invited,3,16分,Salaried,ｆｅｍａｌｅ,2.0,3.0,Basic,3.0,2,0,1,Executive,255405.0,独身、車所持、子供なし,0,22
121,38際,Company Invited,2,960秒,Small Business,Female,2.0,3.0,Basic,4.0,5,0,2,Executive,月収27.0万円,独身 車所持 無子,1,38
122,38歳,Company Invited,1,18分,Small Business,Female,1.0,3.0,Basic,3.0,5,0,3,Executive,249315.0,"独身
車保有なし
子供なし",0,38
123,31歳,Company Invited,2,16分,Salaried,Male,2.0,3.0,basic,3.0,2,0,1,Executive,259680.0,"離婚済み、自動車所有,子供なし",0,31
124,18歳,Company Invited,2,8分,Large Business,male,2.0,3.0,Basic,3.0,7,0,2,Executive,242280.0,独身 車所持　子供無し,1,18
125,52歳,Company Invited,3,8分,Small Business,Male,1.0,3.0,King,3.0,1,0,5,VP,274515.0,独身　自動車未所有　子供なし,0,52
126,45歳,Company Invited,3,9分,Large Business,Female,1.0,3.0,Basic,3.0,4,0,3,Executive,264480.0,結婚済み/自家用車なし/子供なし,0,45
127,30歳,Company Invited,1,720秒,Small Business,Female,2.0,3.0,BASIC,3.0,5,0,1,Executive,258390.0,離婚済み 自家用車あり　子供なし,0,30
128,38才,Company Invited,2,14分,Salaried,Male,2.0,3.0,Deluxe,3.0,年に2回,0,2,Manager,260310.0,独身 自動車未所有 子供なし,1,38
129,43歳,Company Invited,2,8分,Salaried,Male,2.0,3.0,Standard,3.0,2,0,1,Senior Manager,445575.0,離婚済み、自動車所有、子供無し,0,43
130,43歳,Self Enquiry,3,16分,Small Business,Male,2.0,3.0,Standard,4.0,2,0,1,Senior Manager,436320.0,独身 自動車所有 子供無し,0,43
131,35歳,Company Invited,3,16分,Salaried,FEMALE,2.0,4.0,DELUXE,3.0,3,0,1,Manager,371775.0,結婚済み、車未所持、子供無し,0,35
132,26歳,Company Invited,1,14分,Small Business,FEMALE,1.0,3.0,Basic,3.0,年に2回,0,4,Executive,267015.0,"独身,車未所持,子供無し",1,26
133,46歳,Company Invited,3,17分,Large Business,Female,2.0,3.0,Standard,4.0,5,0,2,Senior Manager,336735.0,離婚済み、車あり、非育児家庭,0,46
134,52歳,Self Enquiry,2,17分,Small Business,Male,2.0,3.0,Standard,4.0,2,0,1,Senior Manager,404385.0,独身 車保有 非育児家庭,0,52
135,39歳,Self Enquiry,1,7分,Salaried,ｍａｌｅ,2.0,3.0,STANDARD,3.0,2,0,2,Senior Manager,365130.0,離婚済み/車未所持／子供なし,0,39
136,４６歳,Self Enquiry,2,9分,Large Business,Female,2.0,3.0,Super De|uxe,4.0,2,0,2,AVP,483855.0,独身、車所持、子育て状況不明,0,46
137,43歳,Self Enquiry,1,960秒,Salaried,female,2.0,3.0,king,4.0,1,0,1,VP,474720.0,独身、自動車未所有、子供なし,0,43
138,46歳,Self Enquiry,1,13分,Small Business,Male,2.0,3.0,Basic,3.0,4,0,2,Executive,257970.0,"独身,自家用車なし,子供無し",0,46
139,４０代,Self Enquiry,1,1020秒,Small Business,Female,2.0,3.0,basic,3.0,1,0,2,Executive,268350.0,独身／車保有／子供無し,0,9
140,50代,Self Enquiry,1,17分,Salaried,female,2.0,3.0,Deluxe,3.0,1,0,2,Manager,400320.0,結婚済み、車未所持、子供なし,0,55
141,５５歳,Self Enquiry,2,8分,Salaried,Female,1.0,3.0,King,3.0,2,0,3,VP,420780.0,結婚済み	車保有	無子,0,55
142,50歳,Company Invited,1,13分,Salaried,Male,1.0,3.0,Standard,3.0,1,0,4,Executive,269235.0,離婚済み/車なし/子供なし,0,50
143,58際,Self Enquiry,2,11分,Salaried,Male,2.0,3.0,BASIC,3.0,年に2回,1,1,Executive,270540.0,独身、自動車未所有、子供なし,0,58
144,27歳,Self Enquiry,2,420秒,Salaried,Female,2.0,3.0,BASIC,3.0,年に1回,1,2,Executive,258285.0,離婚済み 車所持 子供無し,1,27
145,50代,Self Enquiry,2,15分,Salaried,female,2.0,3.0,Standard,3.0,年に2回,1,1,Senior Manager,274380.0,独身 車未所持 非育児家庭,1,55
146,36歳,Company Invited,3,14分,Small Business,FEMALE,2.0,3.0,Super Deluxe,3.0,4,1,1,AVP,431010.0,"独身、車未所持,子供なし",0,36
147,50歳,Company Invited,3,13分,Salaried,Fe Male,2.0,3.0,Standard,3.0,2,1,2,Senior Manager,373845.0,未婚／車未所持／子供なし,0,50
149,24歳,Company Invited,3,15分,Salaried,FEMALE,3.0,4.0,Standard,3.0,2,0,2,Sеnior Manager,353670.0,"結婚済み,車所持、子供ゼロ",0,24
150,53歳,Self Enquiry,1,14分,Salaried,Male,3.0,4.0,Super Deluxe,3.0,3,0,2,AVP,449715.0,独身、自動車所有、子供無し,0,53
151,38歳,Self Enquiry,2,10分,Salaried,Female,3.0,4.0,Standard,3.0,1,0,2,Senior Manager,398475.0,離婚済み 車所持 子供ゼロ,0,38
152,45歳,Self Enquiry,1,8分,Salaried,Fe Male,3.0,4.0,Standard,3.0,2,0,2,Senior Manager,月収39.0万円,未婚、車保有なし、子供なし,0,45
153,50歳,Self Enquiry,1,2160秒,Small Business,male,3.0,4.0,Super Deluxe,3.0,3,0,1,ΑVP,月収49.0万円,結婚済み　車所持　子の数不詳,0,50
154,38歳,Self Enquiry,3,840秒,Small Business,Male,3.0,4.0,basic,4.0,2,0,2,Executive,265110.0,独身、自動車未所有、子供ゼロ,0,38
155,41際,Self Enquiry,1,8分,Large Business,Male,3.0,4.0,Super Deluxe,3.0,3,0,2,AVP,385905.0,独身、自動車所有、子供ゼロ,0,41
156,39歳,Self Enquiry,1,540秒,Small Business,Fe Male,1.0,3.0,standard,3.0,3,0,2,Senior Manager,411855.0,独身、車未所持、子供なし,0,39
157,30歳,Self Enquiry,1,8分,Salaried,Male,1.0,3.0,Basic,3.0,年に1回,0,2,Executive,257025.0,離婚済み、車所持、非育児家庭,0,30
158,27歳,Company Invited,1,8分,Small Business,Male,1.0,3.0,Basic,3.0,半年に1回,0,1,Executive,264345.0,独身／自動車所有/子供ゼロ,0,27
159,三十一歳,Self Enquiry,2,8分,Small Business,Ｍａｌｅ,1.0,3.0,Basic,3.0,7,0,2,Executive,251850.0,独身、自家用車なし、子供なし,1,31
160,46歳,Self Enquiry,1,660秒,Small Business,Male,1.0,3.0,KING,3.0,6,0,2,VP,467460.0,離婚済み、自動車未所有、子供なし,0,46
161,40代,Company Invited,1,7分,Salaried,Female,1.0,3.0,Super Deluxe,3.0,2,0,2,AVP,476955.0,結婚済み、乗用車なし、子供無し,0,45
162,52才,Company Invited,1,16分,Small Business,ｍａｌｅ,1.0,3.0,Basic,3.0,年に4回,0,2,Executive,277005.0,独身 車未所持 子供なし,0,52
163,３０代,Self Enquiry,1,7分,Large Business,female,2.0,4.0,Basic,3.0,2,0,2,Executive,245340.0,独身	車未所持	子供無し,0,8
164,43歳,Self Enquiry,1,9分,Small Business,Female,2.0,4.0,Basic,3.0,1,0,2,Executive,278595.0,"離婚済み
車所持
子供無し",0,43
165,27歳,Company Invited,2,15分,Large Business,Male,2.0,4.0,BASIC,3.0,6,1,2,Executive,296055.0,"独身,車なし,子供なし",1,27
166,36歳,Self Enquiry,2,8分,Salaried,Male,2.0,4.0,Basic,3.0,2,0,2,Executive,264990.0,"独身,自動車所有,子供なし",0,36
167,40歳,Company Invited,1,14分,Small Business,female,1.0,100.0,Standard,3.0,1,0,1,Senior Manager,430470.0,"結婚済み、車所持,子供無し",0,40
168,33歳,Company Invited,2,18分,Small Business,Male,1.0,3.0,Super Deluxe,3.0,1,0,1,АVP,342585.0,独身 自家用車なし 子供無し,1,33
169,31歳,Company Invited,2,960秒,Large Business,Female,1.0,3.0,Basic,3.0,1,0,2,Executive,月収26.0万円,独身／車なし/子供無し,1,31
170,31歳,Company Invited,2,14分,Salaried,Female,1.0,3.0,Deluxe,3.0,2,0,1,Manager,332460.0,独身 自動車未所有 子供ゼロ,0,31
172,26歳,Self Enquiry,2,18分,Small Business,Male,1.0,1.0,BASIC,3.0,5,0,2,Executive,256650.0,"離婚済み,自動車未所有,非育児家庭",1,26
174,55際,Self Enquiry,1,24分,Small Business,Male,2.0,3.0,super deluxe,3.0,7,0,2,AVP,428025.0,結婚済み、自家用車あり、子供の数不明,0,55
175,58歳,Self Enquiry,1,16分,Salaried,MALE,1.0,1.0,Super Deluxe,3.0,6,0,1,AVP,461010.0,結婚済み/車所持/子供なし,0,58
176,31歳,Company Invited,3,16分,Small Business,ｍａｌｅ,1.0,3.0,Basic,3.0,2,0,1,Executive,245805.0,離婚済み	車所持	子供なし,0,31
177,32歳,Company Invited,2,15分,Small Business,male,1.0,3.0,Basic,3.0,3,0,2,Executive,256545.0,独身、車未所持、子供無し,1,32
178,60代,Self Enquiry,1,660秒,Small Business,Male,1.0,1.0,Super Deluxe,4.0,6,1,1,AVP,月収40.0万円,結婚済み、車あり、子供なし,0,65
179,33歳,Self Enquiry,2,1380秒,Small Business,Female,1.0,1.0,basic,3.0,2,1,1,Executive,260445.0,離婚済み、自動車未所有、子供なし,0,33
180,27歳,Company Invited,2,6分,Large Business,Male,1.0,3.0,standard,3.0,年に2回,1,2,Senior Manager,440280.0,独身	車未所持	子供無し,1,27
181,四十歳,Self Enquiry,2,12分,Salaried,Male,2.0,4.0,Super Deluxe,3.0,2,0,2,AVP,481905.0,独身、自動車所有、子供なし,0,4
