id,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,Designation,MonthlyIncome,ProdTaken,Marry,Car,Child,AgeGroup
87,40,Self Enquiry,2,900.0,Small Business,female,2.0,4.0,Deluxe,3.0,2.0,1,1,Manager,12.989736718242176,0,Divorced,No Car,0_child,40s
88,32,Self Enquiry,1,540.0,Large Business,male,1.0,3.0,Basic,3.0,1.0,0,3,Executive,12.503343597380802,0,Married,No Car,0_child,30s
89,54,Self Enquiry,2,960.0,Small Business,male,1.0,1.0,Deluxe,4.0,4.0,1,4,AVP,12.968305026647943,0,Married,Has Car,0_child,50s
90,29,Company Invited,2,900.0,Large Business,female,1.0,4.0,Basic,3.0,4.0,0,3,Executive,12.403040585154235,1,Single,No Car,0_child,20s
91,26,Company Invited,2,1020.0,Salaried,female,1.0,3.0,Basic,3.0,2.0,0,4,Executive,12.454712388917288,0,Single,No Car,0_child,20s
92,40,Company Invited,1,1380.0,Salaried,male,1.0,3.0,Basic,3.0,1.0,0,5,Executive,12.438615881070016,0,Married,Has Car,0_child,40s
93,31,Company Invited,3,840.0,Salaried,female,1.0,3.0,Basic,3.0,2.0,0,3,Executive,12.468440756144114,0,Divorced,Has Car,0_child,30s
94,27,Company Invited,2,900.0,Salaried,female,1.0,1.0,Basic,3.0,8.0,0,3,Executive,12.456407149397496,0,Married,Has Car,0_child,20s
95,40,Self Enquiry,1,660.0,Salaried,female,1.0,2.0,Deluxe,3.0,1.0,0,3,Manager,12.711431352903343,0,Single,No Car,0_child,40s
96,40,Company Invited,1,1020.0,Salaried,female,1.0,3.0,Deluxe,3.0,6.0,1,4,Manager,12.509397971770698,1,Married,No Car,0_child,40s
97,33,Self Enquiry,2,540.0,Small Business,male,2.0,4.0,Basic,3.0,1.0,0,4,Executive,12.676079399771028,1,Single,Has Car,0_child,30s
98,20,Self Enquiry,2,2100.0,Small Business,male,2.0,4.0,Basic,3.0,3.0,0,3,Executive,12.47801017053037,1,Married,No Car,0_child,20s
99,58,Company Invited,2,900.0,Small Business,female,2.0,4.0,Basic,3.0,2.0,0,3,Executive,12.494220859321198,0,Divorced,No Car,0_child,50s
100,33,Self Enquiry,1,1020.0,Small Business,female,2.0,4.0,Basic,4.0,2.0,1,3,Executive,12.513487489897129,1,Single,No Car,0_child,30s
101,20,Company Invited,2,660.0,Small Business,male,2.0,4.0,Basic,3.0,2.0,1,4,Executive,12.611541086966117,1,Single,Has Car,0_child,20s
102,32,Self Enquiry,2,1680.0,Small Business,male,2.0,4.0,Basic,3.0,5.0,1,4,Executive,12.76567700482886,1,Divorced,Has Car,0_child,30s
103,34,Self Enquiry,2,1200.0,Salaried,female,2.0,4.0,Basic,3.0,7.0,0,4,Executive,12.507679812253878,1,Divorced,No Car,0_child,30s
104,20,Company Invited,2,900.0,Salaried,female,2.0,4.0,Basic,3.0,7.0,0,3,Executive,12.594954339111958,1,Single,Has Car,0_child,20s
105,51,Self Enquiry,2,900.0,Small Business,female,1.0,4.0,Basic,3.0,8.0,0,2,Executive,12.522327597468143,0,Divorced,Has Car,0_child,50s
106,40,Company Invited,2,420.0,Salaried,male,1.0,4.0,Deluxe,3.0,5.0,0,2,AVP,12.543262481758047,0,Divorced,Has Car,0_child,40s
107,26,Company Invited,3,660.0,Salaried,male,1.0,4.0,Standard,3.0,3.0,1,2,Senior Manager,12.821260987319455,1,Married,Has Car,0_child,20s
108,22,Company Invited,2,540.0,Large Business,male,1.0,4.0,Basic,3.0,2.0,1,2,Executive,12.447197558800106,1,Single,Has Car,0_child,20s
109,46,Self Enquiry,1,600.0,Salaried,male,2.0,3.0,Deluxe,3.0,3.0,0,2,Manager,12.691287874869245,0,Married,No Car,0_child,40s
110,21,Self Enquiry,1,540.0,Small Business,female,2.0,3.0,Basic,3.0,3.0,0,1,Executive,12.46228727043525,0,Single,Has Car,0_child,20s
111,24,Company Invited,2,840.0,Salaried,male,2.0,3.0,Standard,3.0,3.0,0,2,Senior Manager,12.749561955131965,1,Single,Has Car,0_child,20s
112,45,Self Enquiry,2,720.0,Salaried,male,2.0,3.0,Deluxe,3.0,5.0,0,2,Manager,12.706850963741102,0,Divorced,Has Car,0_child,40s
113,33,Self Enquiry,1,420.0,Small Business,female,2.0,3.0,Basic,3.0,4.0,0,1,Executive,12.445900240920777,0,Divorced,Has Car,0_child,30s
114,33,Company Invited,1,960.0,Salaried,male,2.0,3.0,Deluxe,3.0,2.0,0,2,Manager,12.57238450487595,0,Divorced,Has Car,0_child,30s
115,56,Company Invited,2,900.0,Salaried,female,2.0,3.0,Deluxe,3.0,2.0,0,2,AVP,13.122365377402328,0,Married,Has Car,0_child,50s
116,36,Self Enquiry,1,780.0,Salaried,female,2.0,3.0,Standard,3.0,8.0,0,2,Senior Manager,13.122365377402328,0,Married,Has Car,0_child,30s
117,41,Company Invited,1,1020.0,Salaried,male,2.0,3.0,Deluxe,4.0,3.0,0,2,AVP,12.933297528916942,0,Single,Has Car,0_child,40s
118,50,Self Enquiry,2,360.0,Small Business,male,2.0,3.0,Deluxe,4.0,1.0,0,2,AVP,13.03898394237596,0,Divorced,Has Car,0_child,50s
119,31,Self Enquiry,1,1020.0,Large Business,female,2.0,4.0,Basic,3.0,5.0,0,1,Executive,12.458157332641122,0,Single,No Car,0_child,30s
120,22,Company Invited,3,960.0,Salaried,female,2.0,3.0,Basic,3.0,2.0,0,1,Executive,12.45060971486532,0,Single,Has Car,0_child,20s
121,38,Company Invited,2,960.0,Small Business,female,2.0,3.0,Basic,4.0,5.0,0,2,Executive,12.506180941677355,1,Single,Has Car,0_child,30s
122,38,Company Invited,1,1080.0,Small Business,female,1.0,3.0,Basic,3.0,5.0,0,3,Executive,12.42647644715539,0,Single,No Car,0_child,30s
123,31,Company Invited,2,960.0,Salaried,male,2.0,3.0,Basic,3.0,2.0,0,1,Executive,12.46720923363441,0,Divorced,Has Car,0_child,30s
124,18,Company Invited,2,480.0,Large Business,male,2.0,3.0,Basic,3.0,7.0,0,2,Executive,12.397853488542202,1,Single,Has Car,0_child,10s
125,52,Company Invited,3,480.0,Small Business,male,1.0,3.0,King,3.0,1.0,0,5,VP,12.522764826029048,0,Single,No Car,0_child,50s
126,45,Company Invited,3,540.0,Large Business,female,1.0,3.0,Basic,3.0,4.0,0,3,Executive,12.485524694051938,0,Married,No Car,0_child,40s
127,30,Company Invited,1,720.0,Small Business,female,2.0,3.0,Basic,3.0,5.0,0,1,Executive,12.462229220562651,0,Divorced,Has Car,0_child,30s
128,38,Company Invited,2,840.0,Salaried,male,2.0,3.0,Deluxe,3.0,8.0,0,2,Manager,12.469632349021774,1,Single,No Car,0_child,30s
129,43,Company Invited,2,480.0,Salaried,male,2.0,3.0,Standard,3.0,2.0,0,1,Senior Manager,13.007123106180618,0,Divorced,Has Car,0_child,40s
130,43,Self Enquiry,3,960.0,Small Business,male,2.0,3.0,Standard,4.0,2.0,0,1,Senior Manager,12.986133489972646,0,Single,Has Car,0_child,40s
131,35,Company Invited,3,960.0,Salaried,female,2.0,4.0,Deluxe,3.0,3.0,0,1,Manager,12.826046801352204,0,Married,No Car,0_child,30s
132,26,Company Invited,1,840.0,Small Business,female,1.0,3.0,Basic,3.0,8.0,0,4,Executive,12.495063860680585,1,Single,No Car,0_child,20s
133,46,Company Invited,3,1020.0,Large Business,female,2.0,3.0,Standard,4.0,5.0,0,2,Senior Manager,12.72705451954054,0,Divorced,Has Car,0_child,40s
134,52,Self Enquiry,2,1020.0,Small Business,male,2.0,3.0,Standard,4.0,2.0,0,1,Senior Manager,12.910125146340274,0,Single,Has Car,0_child,50s
135,39,Self Enquiry,1,420.0,Salaried,male,2.0,3.0,Standard,3.0,2.0,0,2,Senior Manager,12.808011472283544,0,Divorced,No Car,0_child,30s
136,46,Self Enquiry,2,540.0,Large Business,female,2.0,3.0,Super Deluxe,4.0,2.0,0,2,AVP,13.08954262076956,0,Single,Has Car,0_child,40s
137,43,Self Enquiry,1,960.0,Salaried,female,2.0,3.0,King,4.0,1.0,0,1,VP,13.070482542027316,0,Single,No Car,0_child,40s
138,46,Self Enquiry,1,780.0,Small Business,male,2.0,3.0,Basic,3.0,4.0,0,2,Executive,12.460602454485278,0,Single,No Car,0_child,40s
139,40,Self Enquiry,1,1020.0,Small Business,female,2.0,3.0,Basic,3.0,1.0,0,2,Executive,12.500051104074648,0,Single,Has Car,0_child,40s
140,50,Self Enquiry,1,1020.0,Salaried,female,2.0,3.0,Deluxe,3.0,1.0,0,2,Manager,12.900022004259162,0,Married,No Car,0_child,50s
141,55,Self Enquiry,2,480.0,Salaried,female,1.0,3.0,King,3.0,2.0,0,3,VP,12.949867787294997,0,Married,Has Car,0_child,50s
142,50,Company Invited,1,780.0,Salaried,male,1.0,3.0,Standard,3.0,1.0,0,4,Executive,12.503343597380802,0,Divorced,No Car,0_child,50s
143,58,Self Enquiry,2,660.0,Salaried,male,2.0,3.0,Basic,3.0,8.0,1,1,Executive,12.508178936947434,0,Single,No Car,0_child,50s
144,27,Self Enquiry,2,420.0,Salaried,female,2.0,3.0,Basic,3.0,4.0,1,2,Executive,12.461822777073024,1,Divorced,Has Car,0_child,20s
145,50,Self Enquiry,2,900.0,Salaried,female,2.0,3.0,Standard,3.0,8.0,1,1,Senior Manager,12.522272930454022,1,Single,No Car,0_child,50s
146,36,Company Invited,3,840.0,Small Business,female,2.0,3.0,Deluxe,3.0,4.0,1,1,AVP,12.973888890801966,0,Single,No Car,0_child,30s
147,50,Company Invited,3,780.0,Salaried,male,2.0,3.0,Standard,3.0,2.0,1,2,Senior Manager,12.831599226892422,0,Single,No Car,0_child,50s
148,34,Company Invited,2,840.0,Small Business,male,3.0,5.0,Basic,3.0,6.0,0,1,Executive,12.602831356869752,0,Single,No Car,0_child,30s
149,24,Company Invited,3,900.0,Salaried,female,3.0,4.0,Standard,3.0,2.0,0,2,Senior Manager,12.776122381444845,0,Married,Has Car,0_child,20s
150,53,Self Enquiry,1,840.0,Salaried,male,3.0,4.0,Deluxe,3.0,3.0,0,2,AVP,13.016371551400944,0,Single,Has Car,0_child,50s
151,38,Self Enquiry,2,600.0,Salaried,female,3.0,4.0,Standard,3.0,1.0,0,2,Senior Manager,12.895402549551832,0,Divorced,Has Car,0_child,30s
152,45,Self Enquiry,1,480.0,Salaried,male,3.0,4.0,Standard,3.0,2.0,0,2,Senior Manager,12.873904582205109,0,Single,No Car,0_child,40s
153,50,Self Enquiry,1,2160.0,Small Business,male,3.0,4.0,Deluxe,3.0,3.0,0,1,AVP,13.102162710901052,0,Married,Has Car,0_child,50s
154,38,Self Enquiry,3,840.0,Small Business,male,3.0,4.0,Basic,4.0,2.0,0,2,Executive,12.487903885192209,0,Single,No Car,0_child,30s
155,41,Self Enquiry,1,480.0,Large Business,male,3.0,4.0,Deluxe,3.0,3.0,0,2,AVP,12.863349095474288,0,Single,Has Car,0_child,40s
156,39,Self Enquiry,1,540.0,Small Business,male,1.0,3.0,Standard,3.0,3.0,0,2,Senior Manager,12.928429052674106,0,Single,No Car,0_child,30s
157,30,Self Enquiry,1,480.0,Salaried,male,1.0,3.0,Basic,3.0,4.0,0,2,Executive,12.456932526075464,0,Divorced,Has Car,0_child,30s
158,27,Company Invited,1,480.0,Small Business,male,1.0,3.0,Basic,3.0,1.0,0,1,Executive,12.485014130094603,0,Single,Has Car,0_child,20s
159,31,Self Enquiry,2,480.0,Small Business,male,1.0,3.0,Basic,3.0,7.0,0,2,Executive,12.436592921783344,1,Single,No Car,0_child,30s
160,46,Self Enquiry,1,660.0,Small Business,male,1.0,3.0,King,3.0,6.0,0,2,VP,13.055071201771138,0,Divorced,No Car,0_child,40s
161,40,Company Invited,1,420.0,Salaried,female,1.0,3.0,Deluxe,3.0,2.0,0,2,AVP,13.07517952242923,0,Married,No Car,0_child,40s
162,52,Company Invited,1,960.0,Small Business,male,1.0,3.0,Basic,3.0,16.0,0,2,Executive,12.531794445584708,0,Single,No Car,0_child,50s
163,30,Self Enquiry,1,420.0,Large Business,female,2.0,4.0,Basic,3.0,2.0,0,2,Executive,12.410404358554633,0,Single,No Car,0_child,30s
164,43,Self Enquiry,1,540.0,Small Business,female,2.0,4.0,Basic,3.0,1.0,0,2,Executive,12.537517982722978,0,Divorced,Has Car,0_child,40s
165,27,Company Invited,2,900.0,Large Business,male,2.0,4.0,Basic,3.0,6.0,1,2,Executive,12.59830390460137,1,Single,No Car,0_child,20s
166,36,Self Enquiry,2,480.0,Salaried,male,2.0,4.0,Basic,3.0,2.0,0,2,Executive,12.487451142127478,0,Single,Has Car,0_child,30s
167,40,Company Invited,1,840.0,Small Business,female,1.0,1.0,Standard,3.0,1.0,0,1,Senior Manager,12.97263523705012,0,Married,Has Car,0_child,40s
168,33,Company Invited,2,1080.0,Small Business,male,1.0,3.0,Deluxe,3.0,1.0,0,1,AVP,12.744278000055882,1,Single,No Car,0_child,30s
169,31,Company Invited,2,960.0,Large Business,female,1.0,3.0,Basic,3.0,1.0,0,2,Executive,12.468440756144114,1,Single,No Car,0_child,30s
170,31,Company Invited,2,840.0,Salaried,female,1.0,3.0,Deluxe,3.0,2.0,0,1,Manager,12.714277838965574,0,Single,No Car,0_child,30s
171,28,Company Invited,1,840.0,Salaried,male,1.0,0.0,Deluxe,3.0,12.0,0,2,Manager,12.611541086966117,0,Single,Has Car,0_child,20s
172,26,Self Enquiry,2,1080.0,Small Business,male,1.0,1.0,Basic,3.0,5.0,0,2,Executive,12.455472464337763,1,Divorced,No Car,0_child,20s
173,33,Company Invited,1,780.0,Small Business,male,1.0,3.0,Basic,3.0,2.0,0,1,Executive,12.52511165988251,0,Divorced,No Car,0_child,30s
174,55,Self Enquiry,1,1440.0,Small Business,male,2.0,3.0,Deluxe,3.0,7.0,0,2,AVP,12.96693922038242,0,Married,Has Car,0_child,50s
