Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,Designation,MonthlyIncome,ProdTaken,Marry,Car,Child
29,Company Invited,1,480.0,Salaried,female,1.0,3.0,Basic,3.0,1,0,3,Executive,262725.0,1,Divorced,No Car,0_child
56,Company Invited,2,900.0,Salaried,male,1.0,3.0,Deluxe,3.0,1,0,3,AVP,431265.0,0,Married,Has Car,0_child
30,Self Enquiry,2,960.0,Salaried,male,1.0,3.0,Basic,3.0,2,0,4,Executive,250275.0,0,Divorced,Has Car,0_child
41,Company Invited,2,,Salaried,male,1.0,3.0,Deluxe,3.0,1,0,4,Manager,303345.0,0,Married,No Car,0_child
0,Self Enquiry,1,,Salaried,female,1.0,3.0,Deluxe,3.0,1,0,4,Manager,256845.0,0,Single,Has Car,0_child
50,Company Invited,1,840.0,Salaried,male,1.0,3.0,Standard,3.0,2,0,3,Senior Manager,368940.0,0,Single,Has Car,0_child
52,Self Enquiry,1,1020.0,Salaried,male,1.0,3.0,Deluxe,3.0,4,0,3,AVP,456405.0,0,Married,Has Car,0_child
22,Self Enquiry,2,600.0,Salaried,male,1.0,3.0,Basic,3.0,1,0,4,Executive,258885.0,1,Single,No Car,0_child
36,Company Invited,2,900.0,Salaried,female,1.0,3.0,Deluxe,3.0,1,1,3,Manager,316680.0,0,Married,No Car,0_child
52,Self Enquiry,3,1920.0,Salaried,female,1.0,3.0,Deluxe,3.0,2,1,5,AVP,500000.0,0,Divorced,Has Car,0_child
46,Company Invited,3,480.0,Salaried,male,1.0,3.0,Standard,3.0,5,1,4,Senior Manager,359730.0,0,Single,Has Car,0_child
30,Company Invited,2,900.0,Salaried,female,1.0,3.0,Standard,3.0,2,1,3,Senior Manager,410000.0,0,Married,No Car,0_child
28,Self Enquiry,1,540.0,Salaried,female,1.0,3.0,Basic,3.0,5,1,3,Executive,270000.0,0,Single,No Car,0_child
25,Self Enquiry,2,840.0,Salaried,male,1.0,3.0,Basic,3.0,2,1,4,Executive,255405.0,1,Single,Has Car,0_child
51,Company Invited,1,1560.0,Small Business,female,1.0,4.0,Deluxe,3.0,1,0,2,AVP,485055.0,0,Single,Has Car,0_child
50,Self Enquiry,3,780.0,Salaried,female,1.0,4.0,Standard,4.0,5,0,1,Senior Manager,370000.0,0,Single,No Car,0_child
48,Company Invited,1,720.0,Salaried,female,1.0,4.0,Standard,3.0,2,0,1,Senior Manager,401775.0,0,Single,Has Car,0_child
50,Company Invited,1,480.0,Small Business,female,1.0,5.0,Standard,3.0,4,0,3,Senior Manager,477000.0,0,Married,Has Car,0_child
38,Company Invited,2,840.0,Salaried,male,1.0,3.0,Standard,3.0,1,0,2,Senior Manager,378210.0,1,Married,No Car,0_child
33,Self Enquiry,2,840.0,Large Business,female,1.0,3.0,Basic,3.0,8,0,2,Executive,248490.0,1,Single,Has Car,0_child
42,Company Invited,2,600.0,Salaried,male,1.0,3.0,Deluxe,3.0,2,0,2,Manager,268440.0,0,Married,No Car,0_child
50,Company Invited,2,1260.0,Salaried,male,1.0,3.0,Standard,3.0,1,0,2,Senior Manager,362580.0,0,Single,No Car,0_child
33,No,1,,Salaried,female,1.0,3.0,Deluxe,3.0,1,0,1,Manager,282075.0,0,Married,No Car,0_child
35,Company Invited,1,780.0,Large Business,female,1.0,3.0,Standard,4.0,1,0,1,Senior Manager,356760.0,0,Married,Has Car,0_child
59,Company Invited,2,480.0,Small Business,male,1.0,3.0,Standard,3.0,1,0,2,Senior Manager,364980.0,0,Married,No Car,0_child
43,Company Invited,2,840.0,Small Business,male,1.0,3.0,Standard,3.0,5,0,2,Manager,350310.0,0,Married,Has Car,0_child
32,Company Invited,2,1500.0,Salaried,male,1.0,4.0,Standard,3.0,3,0,2,Senior Manager,429570.0,1,Single,No Car,0_child
47,Self Enquiry,1,900.0,Small Business,female,1.0,3.0,Basic,3.0,1,0,1,Executive,272475.0,0,Divorced,No Car,0_child
42,Company Invited,2,960.0,Small Business,male,1.0,3.0,Basic,3.0,2,0,1,Executive,273840.0,0,Divorced,No Car,0_child
53,Self Enquiry,1,720.0,Salaried,male,1.0,3.0,Standard,3.0,1,0,1,Senior Manager,372150.0,0,Single,Has Car,0_child
56,Self Enquiry,1,660.0,Salaried,male,1.0,3.0,Deluxe,4.0,20,0,1,AVP,462615.0,0,Married,Has Car,0_child
33,Company Invited,1,660.0,Salaried,male,1.0,3.0,Standard,3.0,5,0,2,Senior Manager,345690.0,0,Single,No Car,0_child
58,Company Invited,1,840.0,Salaried,female,1.0,3.0,Deluxe,3.0,4,0,1,Manager,397245.0,0,Single,No Car,0_child
33,Company Invited,2,960.0,Salaried,female,1.0,3.0,Deluxe,3.0,5,0,2,Manager,297855.0,0,Married,Has Car,0_child
32,Company Invited,1,540.0,Small Business,male,1.0,3.0,Basic,3.0,4,0,1,Executive,269895.0,0,Single,Has Car,0_child
50,Company Invited,2,960.0,Salaried,male,1.0,3.0,Standard,4.0,5,1,1,Senior Manager,427050.0,1,Married,Has Car,0_child
40,Company Invited,1,840.0,Salaried,female,1.0,3.0,Standard,3.0,2,1,1,Senior Manager,418080.0,0,Single,Has Car,0_child
26,Company Invited,2,1020.0,Large Business,male,1.0,3.0,Basic,3.0,2,1,2,Executive,264615.0,1,Single,No Car,0_child
47,Self Enquiry,2,900.0,Small Business,male,1.0,3.0,Standard,3.0,8,1,1,Senior Manager,415545.0,0,Single,No Car,0_child
47,Company Invited,2,600.0,Large Business,male,1.0,3.0,Basic,3.0,1,1,2,Executive,258915.0,1,Divorced,Has Car,0_child
52,Company Invited,2,960.0,Salaried,female,1.0,3.0,Deluxe,4.0,5,0,1,AVP,507870.0,0,Single,Has Car,0_child
29,Company Invited,2,780.0,Small Business,male,1.0,5.0,Deluxe,3.0,7,0,1,Manager,303960.0,0,Divorced,No Car,0_child
44,Self Enquiry,2,420.0,Small Business,male,1.0,5.0,Deluxe,3.0,1,0,2,Manager,309645.0,0,Married,No Car,0_child
54,Company Invited,1,720.0,Small Business,male,2.0,4.0,Standard,3.0,2,0,1,Senior Manager,400000.0,0,Divorced,Has Car,0_child
51,Company Invited,2,420.0,Salaried,male,2.0,4.0,Super Deluxe,3.0,3,0,2,AVP,479610.0,0,Married,Has Car,0_child
59,Company Invited,1,780.0,Salaried,male,2.0,4.0,Deluxe,3.0,4,0,1,AVP,463050.0,0,Married,Has Car,0_child
25,Company Invited,1,420.0,Small Business,male,2.0,4.0,Basic,3.0,8,0,2,Executive,270735.0,0,Single,No Car,0_child
29,Company Invited,1,900.0,Salaried,female,2.0,4.0,Basic,3.0,5,0,2,Executive,263865.0,0,Divorced,No Car,0_child
21,Self Enquiry,2,780.0,Small Business,female,2.0,4.0,Basic,3.0,3,0,2,Executive,316770.0,1,Married,No Car,0_child
56,Self Enquiry,1,600.0,Small Business,male,2.0,4.0,Deluxe,3.0,6,0,1,AVP,400000.0,0,Married,Has Car,0_child
50,Self Enquiry,3,360.0,Small Business,male,2.0,4.0,Standard,3.0,4,0,2,Senior Manager,358935.0,0,Single,Has Car,0_child
57,Company Invited,1,480.0,Small Business,female,2.0,4.0,Basic,3.0,2,0,2,Executive,263010.0,0,Single,Has Car,0_child
37,Company Invited,1,780.0,Large Business,male,2.0,4.0,Basic,4.0,7,0,2,Executive,273900.0,1,Divorced,No Car,0_child
20,Self Enquiry,1,780.0,Salaried,male,2.0,4.0,Basic,3.0,2,0,2,Executive,257295.0,0,Divorced,No Car,0_child
53,Company Invited,2,840.0,Small Business,male,2.0,4.0,Standard,4.0,5,0,2,Senior Manager,438195.0,0,Single,Has Car,0_child
30,Company Invited,1,480.0,Small Business,male,2.0,4.0,Basic,3.0,8,0,1,Executive,267480.0,0,Divorced,Has Car,0_child
35,Company Invited,3,720.0,Salaried,male,2.0,4.0,Standard,4.0,1,0,2,Senior Manager,438210.0,0,Divorced,Has Car,0_child
36,Company Invited,1,660.0,Small Business,male,2.0,4.0,Standard,3.0,2,0,2,Senior Manager,371820.0,0,Divorced,Has Car,0_child
36,Company Invited,3,1080.0,Small Business,female,2.0,5.0,Standard,3.0,1,0,1,Senior Manager,300000.0,0,Divorced,No Car,0_child
38,Self Enquiry,2,300.0,Salaried,male,2.0,4.0,Standard,3.0,5,0,2,Senior Manager,410000.0,0,Divorced,No Car,0_child
49,Self Enquiry,3,900.0,Small Business,female,2.0,4.0,Standard,4.0,2,0,1,Senior Manager,370000.0,0,Married,Has Car,0_child
37,Self Enquiry,1,1860.0,Large Business,male,2.0,4.0,Standard,3.0,2,0,1,Senior Manager,393705.0,0,Single,No Car,0_child
50,Self Enquiry,2,840.0,Small Business,female,2.0,4.0,Basic,3.0,5,1,2,Executive,263730.0,1,Single,No Car,0_child
51,Self Enquiry,2,600.0,Salaried,male,2.0,4.0,Standard,3.0,3,1,2,Senior Manager,366900.0,0,Single,Has Car,0_child
43,Self Enquiry,2,660.0,Small Business,male,2.0,4.0,Basic,3.0,5,1,2,Executive,262560.0,1,Divorced,No Car,0_child
40,Self Enquiry,2,900.0,Small Business,female,2.0,4.0,Deluxe,3.0,2,1,1,Manager,437895.0,0,Divorced,No Car,0_child
0,Self Enquiry,1,540.0,Large Business,male,1.0,3.0,Basic,3.0,1,0,3,Executive,269235.0,0,Married,No Car,0_child
54,Self Enquiry,2,960.0,Small Business,male,1.0,1.0,Deluxe,4.0,4,1,4,AVP,428610.0,0,Married,Has Car,0_child
0,Company Invited,2,900.0,Large Business,female,1.0,4.0,Basic,3.0,4,0,3,Executive,243540.0,1,Single,No Car,0_child
26,Company Invited,2,1020.0,Salaried,female,1.0,3.0,Basic,3.0,2,0,4,Executive,256455.0,0,Single,No Car,0_child
40,Company Invited,1,1380.0,Salaried,male,1.0,3.0,Basic,3.0,1,0,5,Executive,252360.0,0,Married,Has Car,0_child
31,Company Invited,3,840.0,Salaried,female,1.0,3.0,Basic,3.0,2,0,3,Executive,260000.0,0,Divorced,Has Car,0_child
27,Company Invited,2,900.0,Salaried,female,1.0,1.0,Basic,3.0,8,0,3,Executive,256890.0,0,Married,Has Car,0_child
40,Self Enquiry,1,660.0,Salaried,female,1.0,2.0,Deluxe,3.0,1,0,3,Manager,331515.0,0,Single,No Car,0_child
0,Company Invited,1,1020.0,Salaried,female,1.0,3.0,Deluxe,3.0,6,1,4,Manager,270870.0,1,Married,No Car,0_child
33,Self Enquiry,2,540.0,Small Business,male,2.0,4.0,Basic,3.0,1,0,4,Executive,320000.0,1,Single,Has Car,0_child
20,Self Enquiry,2,2100.0,Small Business,male,2.0,4.0,Basic,3.0,3,0,3,Executive,262500.0,1,Married,No Car,0_child
58,Company Invited,2,900.0,Small Business,female,2.0,4.0,Basic,3.0,2,0,3,Executive,266790.0,0,Divorced,No Car,0_child
33,Self Enquiry,1,1020.0,Small Business,female,2.0,4.0,Basic,4.0,2,1,3,Executive,271980.0,1,Single,No Car,0_child
20,Company Invited,2,660.0,Small Business,male,2.0,4.0,Basic,3.0,2,1,4,Executive,300000.0,1,Single,Has Car,0_child
32,Self Enquiry,2,1680.0,Small Business,male,2.0,4.0,Basic,3.0,5,1,4,Executive,349995.0,1,Divorced,Has Car,0_child
34,Self Enquiry,2,1200.0,Salaried,female,2.0,4.0,Basic,3.0,7,0,4,Executive,270405.0,1,Divorced,No Car,0_child
20,Company Invited,2,900.0,Salaried,female,2.0,4.0,Basic,3.0,7,0,3,Executive,295065.0,1,Single,Has Car,0_child
51,Self Enquiry,2,900.0,Small Business,female,1.0,4.0,Basic,3.0,8,0,2,Executive,274395.0,0,Divorced,Has Car,0_child
40,Company Invited,2,420.0,Salaried,male,1.0,4.0,Deluxe,3.0,5,0,2,AVP,280200.0,0,Divorced,Has Car,0_child
26,Company Invited,3,660.0,Salaried,male,1.0,4.0,Standard,3.0,3,1,2,Senior Manager,370000.0,1,Married,Has Car,0_child
22,Company Invited,2,540.0,Large Business,male,1.0,4.0,Basic,3.0,2,1,2,Executive,254535.0,1,Single,Has Car,0_child
46,Self Enquiry,1,600.0,Salaried,male,2.0,3.0,Deluxe,3.0,3,0,2,Manager,,0,Married,No Car,0_child
21,Self Enquiry,1,540.0,Small Business,female,2.0,3.0,Basic,3.0,3,0,1,Executive,258405.0,0,Single,Has Car,0_child
24,Company Invited,2,840.0,Salaried,male,2.0,3.0,Standard,3.0,3,0,2,Senior Manager,344400.0,1,Single,Has Car,0_child
45,Self Enquiry,2,720.0,Salaried,male,2.0,3.0,Deluxe,3.0,5,0,2,Manager,330000.0,0,Divorced,Has Car,0_child
33,Self Enquiry,1,420.0,Small Business,female,2.0,3.0,Basic,3.0,4,0,1,Executive,254205.0,0,Divorced,Has Car,0_child
33,Company Invited,1,960.0,Salaried,male,2.0,3.0,Deluxe,3.0,2,0,2,Manager,288480.0,0,Divorced,Has Car,0_child
56,Company Invited,2,900.0,Salaried,female,2.0,3.0,Deluxe,3.0,2,0,2,AVP,500000.0,0,Married,Has Car,0_child
36,Self Enquiry,1,780.0,Salaried,female,2.0,3.0,Standard,3.0,8,0,2,Senior Manager,500000.0,0,Married,Has Car,0_child
41,Company Invited,1,1020.0,Salaried,male,2.0,3.0,Deluxe,4.0,3,0,2,AVP,413865.0,0,Single,Has Car,0_child
50,Self Enquiry,2,360.0,Small Business,male,2.0,3.0,Deluxe,4.0,1,0,2,AVP,460000.0,0,Divorced,Has Car,0_child
31,Self Enquiry,1,1020.0,Large Business,female,2.0,4.0,Basic,3.0,5,0,1,Executive,257340.0,0,Single,No Car,0_child
22,Company Invited,3,960.0,Salaried,female,2.0,3.0,Basic,3.0,2,0,1,Executive,255405.0,0,Single,Has Car,0_child
38,Company Invited,2,960.0,Small Business,female,2.0,3.0,Basic,4.0,5,0,2,Executive,270000.0,1,Single,Has Car,0_child
38,Company Invited,1,1080.0,Small Business,female,1.0,3.0,Basic,3.0,5,0,3,Executive,249315.0,0,Single,No Car,0_child
31,Company Invited,2,960.0,Salaried,male,2.0,3.0,Basic,3.0,2,0,1,Executive,259680.0,0,Divorced,Has Car,0_child
18,Company Invited,2,480.0,Large Business,male,2.0,3.0,Basic,3.0,7,0,2,Executive,242280.0,1,Single,Has Car,0_child
52,Company Invited,3,480.0,Small Business,male,1.0,3.0,King,3.0,1,0,5,VP,274515.0,0,Single,No Car,0_child
45,Company Invited,3,540.0,Large Business,female,1.0,3.0,Basic,3.0,4,0,3,Executive,264480.0,0,Married,No Car,0_child
30,Company Invited,1,720.0,Small Business,female,2.0,3.0,Basic,3.0,5,0,1,Executive,258390.0,0,Divorced,Has Car,0_child
38,Company Invited,2,840.0,Salaried,male,2.0,3.0,Deluxe,3.0,8,0,2,Manager,260310.0,1,Single,No Car,0_child
43,Company Invited,2,480.0,Salaried,male,2.0,3.0,Standard,3.0,2,0,1,Senior Manager,445575.0,0,Divorced,Has Car,0_child
43,Self Enquiry,3,960.0,Small Business,male,2.0,3.0,Standard,4.0,2,0,1,Senior Manager,436320.0,0,Single,Has Car,0_child
35,Company Invited,3,960.0,Salaried,female,2.0,4.0,Deluxe,3.0,3,0,1,Manager,371775.0,0,Married,No Car,0_child
26,Company Invited,1,840.0,Small Business,female,1.0,3.0,Basic,3.0,8,0,4,Executive,267015.0,1,Single,No Car,0_child
46,Company Invited,3,1020.0,Large Business,female,2.0,3.0,Standard,4.0,5,0,2,Senior Manager,336735.0,0,Divorced,Has Car,0_child
52,Self Enquiry,2,1020.0,Small Business,male,2.0,3.0,Standard,4.0,2,0,1,Senior Manager,404385.0,0,Single,Has Car,0_child
39,Self Enquiry,1,420.0,Salaried,male,2.0,3.0,Standard,3.0,2,0,2,Senior Manager,365130.0,0,Divorced,No Car,0_child
46,Self Enquiry,2,540.0,Large Business,female,2.0,3.0,Super Deluxe,4.0,2,0,2,AVP,483855.0,0,Single,Has Car,0_child
43,Self Enquiry,1,960.0,Salaried,female,2.0,3.0,King,4.0,1,0,1,VP,474720.0,0,Single,No Car,0_child
46,Self Enquiry,1,780.0,Small Business,male,2.0,3.0,Basic,3.0,4,0,2,Executive,257970.0,0,Single,No Car,0_child
40,Self Enquiry,1,1020.0,Small Business,female,2.0,3.0,Basic,3.0,1,0,2,Executive,268350.0,0,Single,Has Car,0_child
50,Self Enquiry,1,1020.0,Salaried,female,2.0,3.0,Deluxe,3.0,1,0,2,Manager,400320.0,0,Married,No Car,0_child
55,Self Enquiry,2,480.0,Salaried,female,1.0,3.0,King,3.0,2,0,3,VP,420780.0,0,Married,Has Car,0_child
50,Company Invited,1,780.0,Salaried,male,1.0,3.0,Standard,3.0,1,0,4,Executive,269235.0,0,Divorced,No Car,0_child
58,Self Enquiry,2,660.0,Salaried,male,2.0,3.0,Basic,3.0,8,1,1,Executive,270540.0,0,Single,No Car,0_child
27,Self Enquiry,2,420.0,Salaried,female,2.0,3.0,Basic,3.0,4,1,2,Executive,258285.0,1,Divorced,Has Car,0_child
50,Self Enquiry,2,900.0,Salaried,female,2.0,3.0,Standard,3.0,8,1,1,Senior Manager,274380.0,1,Single,No Car,0_child
36,Company Invited,3,840.0,Small Business,female,2.0,3.0,Deluxe,3.0,4,1,1,AVP,431010.0,0,Single,No Car,0_child
50,Company Invited,3,780.0,Salaried,male,2.0,3.0,Standard,3.0,2,1,2,Senior Manager,373845.0,0,Single,No Car,0_child
34,Company Invited,2,840.0,Small Business,male,3.0,5.0,Basic,3.0,6,0,1,Executive,,0,Single,No Car,0_child
24,Company Invited,3,900.0,Salaried,female,3.0,4.0,Standard,3.0,2,0,2,Senior Manager,353670.0,0,Married,Has Car,0_child
53,Self Enquiry,1,840.0,Salaried,male,3.0,4.0,Deluxe,3.0,3,0,2,AVP,449715.0,0,Single,Has Car,0_child
38,Self Enquiry,2,600.0,Salaried,female,3.0,4.0,Standard,3.0,1,0,2,Senior Manager,398475.0,0,Divorced,Has Car,0_child
45,Self Enquiry,1,480.0,Salaried,male,3.0,4.0,Standard,3.0,2,0,2,Senior Manager,390000.0,0,Single,No Car,0_child
50,Self Enquiry,1,2160.0,Small Business,male,3.0,4.0,Deluxe,3.0,3,0,1,AVP,490000.0,0,Married,Has Car,0_child
38,Self Enquiry,3,840.0,Small Business,male,3.0,4.0,Basic,4.0,2,0,2,Executive,265110.0,0,Single,No Car,0_child
41,Self Enquiry,1,480.0,Large Business,male,3.0,4.0,Deluxe,3.0,3,0,2,AVP,385905.0,0,Single,Has Car,0_child
39,Self Enquiry,1,540.0,Small Business,male,1.0,3.0,Standard,3.0,3,0,2,Senior Manager,411855.0,0,Single,No Car,0_child
30,Self Enquiry,1,480.0,Salaried,male,1.0,3.0,Basic,3.0,4,0,2,Executive,257025.0,0,Divorced,Has Car,0_child
27,Company Invited,1,480.0,Small Business,male,1.0,3.0,Basic,3.0,1,0,1,Executive,264345.0,0,Single,Has Car,0_child
31,Self Enquiry,2,480.0,Small Business,male,1.0,3.0,Basic,3.0,7,0,2,Executive,251850.0,1,Single,No Car,0_child
46,Self Enquiry,1,660.0,Small Business,male,1.0,3.0,King,3.0,6,0,2,VP,467460.0,0,Divorced,No Car,0_child
40,Company Invited,1,420.0,Salaried,female,1.0,3.0,Deluxe,3.0,2,0,2,AVP,476955.0,0,Married,No Car,0_child
52,Company Invited,1,960.0,Small Business,male,1.0,3.0,Basic,3.0,16,0,2,Executive,277005.0,0,Single,No Car,0_child
30,Self Enquiry,1,420.0,Large Business,female,2.0,4.0,Basic,3.0,2,0,2,Executive,245340.0,0,Single,No Car,0_child
43,Self Enquiry,1,540.0,Small Business,female,2.0,4.0,Basic,3.0,1,0,2,Executive,278595.0,0,Divorced,Has Car,0_child
27,Company Invited,2,900.0,Large Business,male,2.0,4.0,Basic,3.0,6,1,2,Executive,296055.0,1,Single,No Car,0_child
36,Self Enquiry,2,480.0,Salaried,male,2.0,4.0,Basic,3.0,2,0,2,Executive,264990.0,0,Single,Has Car,0_child
40,Company Invited,1,840.0,Small Business,female,1.0,1.0,Standard,3.0,1,0,1,Senior Manager,430470.0,0,Married,Has Car,0_child
33,Company Invited,2,1080.0,Small Business,male,1.0,3.0,Deluxe,3.0,1,0,1,AVP,342585.0,1,Single,No Car,0_child
31,Company Invited,2,960.0,Large Business,female,1.0,3.0,Basic,3.0,1,0,2,Executive,260000.0,1,Single,No Car,0_child
31,Company Invited,2,840.0,Salaried,female,1.0,3.0,Deluxe,3.0,2,0,1,Manager,332460.0,0,Single,No Car,0_child
28,Company Invited,1,840.0,Salaried,male,1.0,0.0,Deluxe,3.0,12,0,2,Manager,300000.0,0,Single,Has Car,0_child
26,Self Enquiry,2,1080.0,Small Business,male,1.0,1.0,Basic,3.0,5,0,2,Executive,256650.0,1,Divorced,No Car,0_child
0,Company Invited,1,780.0,Small Business,male,1.0,3.0,Basic,3.0,2,0,1,Executive,275160.0,0,Divorced,No Car,0_child
55,Self Enquiry,1,1440.0,Small Business,male,2.0,3.0,Deluxe,3.0,7,0,2,AVP,428025.0,0,Married,Has Car,0_child
58,Self Enquiry,1,960.0,Salaried,male,1.0,1.0,Deluxe,3.0,6,0,1,AVP,461010.0,0,Married,Has Car,0_child
31,Company Invited,3,960.0,Small Business,male,1.0,3.0,Basic,3.0,2,0,1,Executive,245805.0,0,Divorced,Has Car,0_child
32,Company Invited,2,900.0,Small Business,male,1.0,3.0,Basic,3.0,3,0,2,Executive,256545.0,1,Single,No Car,0_child
60,Self Enquiry,1,660.0,Small Business,male,1.0,1.0,Deluxe,4.0,6,1,1,AVP,400000.0,0,Married,Has Car,0_child
33,Self Enquiry,2,1380.0,Small Business,female,1.0,1.0,Basic,3.0,2,1,1,Executive,260445.0,0,Divorced,No Car,0_child
27,Company Invited,2,360.0,Large Business,male,1.0,3.0,Standard,3.0,8,1,2,Senior Manager,440280.0,1,Single,No Car,0_child
40,Self Enquiry,2,720.0,Salaried,male,2.0,4.0,Deluxe,3.0,2,0,2,AVP,481905.0,0,Single,Has Car,0_child
25,Self Enquiry,2,960.0,Small Business,male,3.0,5.0,Basic,3.0,3,0,1,Executive,333030.0,1,Divorced,No Car,0_child
28,Company Invited,2,540.0,Small Business,male,3.0,5.0,Basic,3.0,7,0,2,Executive,310575.0,1,Single,No Car,0_child
50,Self Enquiry,1,1080.0,Large Business,male,3.0,5.0,Basic,3.0,5,0,2,Executive,306420.0,1,Single,Has Car,0_child
27,Self Enquiry,1,540.0,Salaried,male,3.0,5.0,Basic,4.0,2,1,1,Executive,270780.0,1,Divorced,Has Car,0_child
22,Self Enquiry,2,840.0,Salaried,male,2.0,5.0,Basic,3.0,3,0,2,Executive,310245.0,1,Single,Has Car,0_child
49,Company Invited,1,540.0,Salaried,male,1.0,3.0,Deluxe,3.0,6,0,2,AVP,502545.0,0,Single,No Car,0_child
24,Self Enquiry,2,480.0,Small Business,male,2.0,4.0,Basic,3.0,1,0,3,Executive,261180.0,1,Single,Has Car,0_child
51,Self Enquiry,1,1200.0,Salaried,male,2.0,4.0,Basic,3.0,7,0,3,Executive,300000.0,0,Divorced,Has Car,0_child
24,Self Enquiry,1,480.0,Small Business,male,2.0,3.0,Basic,3.0,2,0,4,Executive,263715.0,1,Married,Has Car,0_child
31,Company Invited,2,840.0,Small Business,male,2.0,3.0,Basic,4.0,8,0,4,Executive,261225.0,1,Divorced,No Car,0_child
0,Self Enquiry,1,600.0,Small Business,male,2.0,3.0,Basic,4.0,6,0,4,Executive,,0,Married,No Car,0_child
32,Self Enquiry,2,600.0,Small Business,female,2.0,3.0,Deluxe,3.0,1,0,4,Manager,262635.0,0,Married,Has Car,0_child
60,Company Invited,1,540.0,Small Business,female,2.0,3.0,King,4.0,1,0,5,VP,456855.0,0,Divorced,Has Car,0_child
46,Company Invited,2,1440.0,Small Business,female,2.0,3.0,Basic,3.0,2,0,3,Executive,258810.0,0,Divorced,No Car,0_child
39,Company Invited,2,540.0,Small Business,female,2.0,3.0,Basic,4.0,2,0,4,Executive,268290.0,0,Single,Has Car,0_child
48,Self Enquiry,1,540.0,Large Business,male,2.0,3.0,King,4.0,24,0,5,VP,474525.0,0,Divorced,Has Car,0_child
54,Self Enquiry,2,840.0,Small Business,male,2.0,3.0,Standard,3.0,5,0,4,Senior Manager,440000.0,0,Divorced,No Car,0_child
0,Company Invited,3,480.0,Small Business,female,2.0,3.0,Deluxe,3.0,6,0,4,Manager,262305.0,0,Married,No Car,0_child
47,Self Enquiry,2,660.0,Small Business,female,2.0,3.0,Standard,4.0,2,0,3,Senior Manager,400000.0,0,Single,No Car,0_child
