TypeofContact,CityTier,Occupation,NumberOfPersonVisiting,PreferredPropertyStar,Passport,PitchSatisfactionScore,ProdTaken,age,duration,gender,follow,product_pitched,trip_per_year,designation,income,info_1,info_2,info_3
Self Enquiry,2,Salaried,1,3,1,4,1,25,840.0,male,3,Basic,2,Executive,255405.0,Single,Has Car,0
Company Invited,1,Small Business,1,3,0,2,0,51,1560.0,female,4,Deluxe,1,AVP,485055.0,Single,Has Car,0
Self Enquiry,3,Salaried,1,4,0,1,0,50,780.0,female,4,Standard,5,Senior Manager,370000.0,Single,No Car,0
Company Invited,1,Salaried,1,3,0,1,0,48,720.0,female,4,Standard,2,Senior Manager,401775.0,Single,Has Car,0
Company Invited,1,Small Business,1,3,0,3,0,50,480.0,female,5,Standard,4,Senior Manager,477000.0,Married,Has Car,0
Company Invited,2,Salaried,1,3,0,2,1,38,840.0,male,3,Standard,1,Senior Manager,378210.0,Married,No Car,0
Self Enquiry,2,Large Business,1,3,0,2,1,33,840.0,female,3,Basic,8,Executive,248490.0,Single,Has Car,0
Company Invited,2,Salaried,1,3,0,2,0,42,600.0,male,3,Deluxe,2,Manager,268440.0,Married,No Car,0
Company Invited,2,Salaried,1,3,0,2,0,50,1260.0,male,3,Standard,1,Senior Manager,362580.0,Single,No Car,0
Company Invited,1,Large Business,1,4,0,1,0,35,780.0,female,3,Standard,1,Senior Manager,356760.0,Married,Has Car,0
Company Invited,2,Small Business,1,3,0,2,0,59,480.0,male,3,Standard,1,Senior Manager,364980.0,Married,No Car,0
Company Invited,2,Small Business,1,3,0,2,0,43,840.0,male,3,Standard,5,Manager,350310.0,Married,Has Car,0
Company Invited,2,Salaried,1,3,0,2,1,32,1500.0,male,4,Standard,3,Senior Manager,429570.0,Single,No Car,0
Self Enquiry,1,Small Business,1,3,0,1,0,47,900.0,female,3,Basic,1,Executive,272475.0,Divorced,No Car,0
Company Invited,2,Small Business,1,3,0,1,0,42,960.0,male,3,Basic,2,Executive,273840.0,Divorced,No Car,0
Self Enquiry,1,Salaried,1,3,0,1,0,53,720.0,male,3,Standard,1,Senior Manager,372150.0,Single,Has Car,0
Self Enquiry,1,Salaried,1,4,0,1,0,56,660.0,male,3,Deluxe,20,AVP,462615.0,Married,Has Car,0
Company Invited,1,Salaried,1,3,0,2,0,33,660.0,male,3,Standard,5,Senior Manager,345690.0,Single,No Car,0
Company Invited,1,Salaried,1,3,0,1,0,58,840.0,female,3,Deluxe,4,Manager,397245.0,Single,No Car,0
Company Invited,2,Salaried,1,3,0,2,0,33,960.0,female,3,Deluxe,5,Manager,297855.0,Married,Has Car,0
Company Invited,1,Small Business,1,3,0,1,0,32,540.0,male,3,Basic,4,Executive,269895.0,Single,Has Car,0
Company Invited,2,Salaried,1,4,1,1,1,50,960.0,male,3,Standard,5,Senior Manager,427050.0,Married,Has Car,0
Company Invited,1,Salaried,1,3,1,1,0,40,840.0,female,3,Standard,2,Senior Manager,418080.0,Single,Has Car,0
Company Invited,2,Large Business,1,3,1,2,1,26,1020.0,male,3,Basic,2,Executive,264615.0,Single,No Car,0
Self Enquiry,2,Small Business,1,3,1,1,0,47,900.0,male,3,Standard,8,Senior Manager,415545.0,Single,No Car,0
Company Invited,2,Large Business,1,3,1,2,1,47,600.0,male,3,Basic,1,Executive,258915.0,Divorced,Has Car,0
Company Invited,2,Salaried,1,4,0,1,0,52,960.0,female,3,Deluxe,5,AVP,507870.0,Single,Has Car,0
Company Invited,2,Small Business,1,3,0,1,0,29,780.0,male,5,Deluxe,7,Manager,303960.0,Divorced,No Car,0
Self Enquiry,2,Small Business,1,3,0,2,0,44,420.0,male,5,Deluxe,1,Manager,309645.0,Married,No Car,0
Company Invited,1,Small Business,2,3,0,1,0,54,720.0,male,4,Standard,2,Senior Manager,400000.0,Divorced,Has Car,0
Company Invited,2,Salaried,2,3,0,2,0,51,420.0,male,4,Super Deluxe,3,AVP,479610.0,Married,Has Car,0
Company Invited,1,Salaried,2,3,0,1,0,59,780.0,male,4,Deluxe,4,AVP,463050.0,Married,Has Car,0
Company Invited,1,Small Business,2,3,0,2,0,25,420.0,male,4,Basic,8,Executive,270735.0,Single,No Car,0
Company Invited,1,Salaried,2,3,0,2,0,29,900.0,female,4,Basic,5,Executive,263865.0,Divorced,No Car,0
Self Enquiry,2,Small Business,2,3,0,2,1,21,780.0,female,4,Basic,3,Executive,316770.0,Married,No Car,0
Self Enquiry,1,Small Business,2,3,0,1,0,56,600.0,male,4,Deluxe,6,AVP,400000.0,Married,Has Car,0
Self Enquiry,3,Small Business,2,3,0,2,0,50,360.0,male,4,Standard,4,Senior Manager,358935.0,Single,Has Car,0
Company Invited,1,Small Business,2,3,0,2,0,57,480.0,female,4,Basic,2,Executive,263010.0,Single,Has Car,0
Company Invited,1,Large Business,2,4,0,2,1,37,780.0,male,4,Basic,7,Executive,273900.0,Divorced,No Car,0
Self Enquiry,1,Salaried,2,3,0,2,0,20,780.0,male,4,Basic,2,Executive,257295.0,Divorced,No Car,0
Company Invited,2,Small Business,2,4,0,2,0,53,840.0,male,4,Standard,5,Senior Manager,438195.0,Single,Has Car,0
Company Invited,1,Small Business,2,3,0,1,0,30,480.0,male,4,Basic,8,Executive,267480.0,Divorced,Has Car,0
Company Invited,3,Salaried,2,4,0,2,0,35,720.0,male,4,Standard,1,Senior Manager,438210.0,Divorced,Has Car,0
Company Invited,1,Small Business,2,3,0,2,0,36,660.0,male,4,Standard,2,Senior Manager,371820.0,Divorced,Has Car,0
Company Invited,3,Small Business,2,3,0,1,0,36,1080.0,female,5,Standard,1,Senior Manager,300000.0,Divorced,No Car,0
Self Enquiry,2,Salaried,2,3,0,2,0,38,300.0,male,4,Standard,5,Senior Manager,410000.0,Divorced,No Car,0
Self Enquiry,3,Small Business,2,4,0,1,0,49,900.0,female,4,Standard,2,Senior Manager,370000.0,Married,Has Car,0
Self Enquiry,1,Large Business,2,3,0,1,0,37,1860.0,male,4,Standard,2,Senior Manager,393705.0,Single,No Car,0
Self Enquiry,2,Small Business,2,3,1,2,1,50,840.0,female,4,Basic,5,Executive,263730.0,Single,No Car,0
Self Enquiry,2,Salaried,2,3,1,2,0,51,600.0,male,4,Standard,3,Senior Manager,366900.0,Single,Has Car,0
Self Enquiry,2,Small Business,2,3,1,2,1,43,660.0,male,4,Basic,5,Executive,262560.0,Divorced,No Car,0
Self Enquiry,2,Small Business,2,3,1,1,0,40,900.0,female,4,Deluxe,2,Manager,437895.0,Divorced,No Car,0
Self Enquiry,1,Large Business,1,3,0,3,0,38,540.0,male,3,Basic,1,Executive,269235.0,Married,No Car,0
Self Enquiry,2,Small Business,1,4,1,4,0,54,960.0,male,1,Deluxe,4,AVP,428610.0,Married,Has Car,0
Company Invited,2,Large Business,1,3,0,3,1,38,900.0,female,4,Basic,4,Executive,243540.0,Single,No Car,0
Company Invited,2,Salaried,1,3,0,4,0,26,1020.0,female,3,Basic,2,Executive,256455.0,Single,No Car,0
Company Invited,1,Salaried,1,3,0,5,0,40,1380.0,male,3,Basic,1,Executive,252360.0,Married,Has Car,0
Company Invited,3,Salaried,1,3,0,3,0,31,840.0,female,3,Basic,2,Executive,260000.0,Divorced,Has Car,0
Company Invited,2,Salaried,1,3,0,3,0,27,900.0,female,1,Basic,8,Executive,256890.0,Married,Has Car,0
Self Enquiry,1,Salaried,1,3,0,3,0,40,660.0,female,2,Deluxe,1,Manager,331515.0,Single,No Car,0
Company Invited,1,Salaried,1,3,1,4,1,38,1020.0,female,3,Deluxe,6,Manager,270870.0,Married,No Car,0
Self Enquiry,2,Small Business,2,3,0,4,1,33,540.0,male,4,Basic,1,Executive,320000.0,Single,Has Car,0
Self Enquiry,2,Small Business,2,3,0,3,1,20,2100.0,male,4,Basic,3,Executive,262500.0,Married,No Car,0
Company Invited,2,Small Business,2,3,0,3,0,58,900.0,female,4,Basic,2,Executive,266790.0,Divorced,No Car,0
Self Enquiry,1,Small Business,2,4,1,3,1,33,1020.0,female,4,Basic,2,Executive,271980.0,Single,No Car,0
Company Invited,2,Small Business,2,3,1,4,1,20,660.0,male,4,Basic,2,Executive,300000.0,Single,Has Car,0
Self Enquiry,2,Small Business,2,3,1,4,1,32,1680.0,male,4,Basic,5,Executive,349995.0,Divorced,Has Car,0
Self Enquiry,2,Salaried,2,3,0,4,1,34,1200.0,female,4,Basic,7,Executive,270405.0,Divorced,No Car,0
Company Invited,2,Salaried,2,3,0,3,1,20,900.0,female,4,Basic,7,Executive,295065.0,Single,Has Car,0
Self Enquiry,2,Small Business,1,3,0,2,0,51,900.0,female,4,Basic,8,Executive,274395.0,Divorced,Has Car,0
Company Invited,2,Salaried,1,3,0,2,0,40,420.0,male,4,Deluxe,5,AVP,280200.0,Divorced,Has Car,0
Company Invited,3,Salaried,1,3,1,2,1,26,660.0,male,4,Standard,3,Senior Manager,370000.0,Married,Has Car,0
Company Invited,2,Large Business,1,3,1,2,1,22,540.0,male,4,Basic,2,Executive,254535.0,Single,Has Car,0
Self Enquiry,1,Small Business,2,3,0,1,0,21,540.0,female,3,Basic,3,Executive,258405.0,Single,Has Car,0
Company Invited,2,Salaried,2,3,0,2,1,24,840.0,male,3,Standard,3,Senior Manager,344400.0,Single,Has Car,0
Self Enquiry,2,Salaried,2,3,0,2,0,45,720.0,male,3,Deluxe,5,Manager,330000.0,Divorced,Has Car,0
Self Enquiry,1,Small Business,2,3,0,1,0,33,420.0,female,3,Basic,4,Executive,254205.0,Divorced,Has Car,0
Company Invited,1,Salaried,2,3,0,2,0,33,960.0,male,3,Deluxe,2,Manager,288480.0,Divorced,Has Car,0
Company Invited,2,Salaried,2,3,0,2,0,56,900.0,female,3,Deluxe,2,AVP,500000.0,Married,Has Car,0
Self Enquiry,1,Salaried,2,3,0,2,0,36,780.0,female,3,Standard,8,Senior Manager,500000.0,Married,Has Car,0
Company Invited,1,Salaried,2,4,0,2,0,41,1020.0,male,3,Deluxe,3,AVP,413865.0,Single,Has Car,0
Self Enquiry,2,Small Business,2,4,0,2,0,50,360.0,male,3,Deluxe,1,AVP,460000.0,Divorced,Has Car,0
Self Enquiry,1,Large Business,2,3,0,1,0,31,1020.0,female,4,Basic,5,Executive,257340.0,Single,No Car,0
Company Invited,3,Salaried,2,3,0,1,0,22,960.0,female,3,Basic,2,Executive,255405.0,Single,Has Car,0
Company Invited,2,Small Business,2,4,0,2,1,38,960.0,female,3,Basic,5,Executive,270000.0,Single,Has Car,0
Company Invited,1,Small Business,1,3,0,3,0,38,1080.0,female,3,Basic,5,Executive,249315.0,Single,No Car,0
Company Invited,2,Salaried,2,3,0,1,0,31,960.0,male,3,Basic,2,Executive,259680.0,Divorced,Has Car,0
Company Invited,2,Large Business,2,3,0,2,1,18,480.0,male,3,Basic,7,Executive,242280.0,Single,Has Car,0
Company Invited,3,Small Business,1,3,0,5,0,52,480.0,male,3,King,1,VP,274515.0,Single,No Car,0
Company Invited,3,Large Business,1,3,0,3,0,45,540.0,female,3,Basic,4,Executive,264480.0,Married,No Car,0
Company Invited,1,Small Business,2,3,0,1,0,30,720.0,female,3,Basic,5,Executive,258390.0,Divorced,Has Car,0
Company Invited,2,Salaried,2,3,0,2,1,38,840.0,male,3,Deluxe,8,Manager,260310.0,Single,No Car,0
Company Invited,2,Salaried,2,3,0,1,0,43,480.0,male,3,Standard,2,Senior Manager,445575.0,Divorced,Has Car,0
Self Enquiry,3,Small Business,2,4,0,1,0,43,960.0,male,3,Standard,2,Senior Manager,436320.0,Single,Has Car,0
Company Invited,3,Salaried,2,3,0,1,0,35,960.0,female,4,Deluxe,3,Manager,371775.0,Married,No Car,0
Company Invited,1,Small Business,1,3,0,4,1,26,840.0,female,3,Basic,8,Executive,267015.0,Single,No Car,0
Company Invited,3,Large Business,2,4,0,2,0,46,1020.0,female,3,Standard,5,Senior Manager,336735.0,Divorced,Has Car,0
Self Enquiry,2,Small Business,2,4,0,1,0,52,1020.0,male,3,Standard,2,Senior Manager,404385.0,Single,Has Car,0
Self Enquiry,1,Salaried,2,3,0,2,0,39,420.0,male,3,Standard,2,Senior Manager,365130.0,Divorced,No Car,0
Self Enquiry,2,Large Business,2,4,0,2,0,46,540.0,female,3,Super Deluxe,2,AVP,483855.0,Single,Has Car,0
Self Enquiry,1,Salaried,2,4,0,1,0,43,960.0,female,3,King,1,VP,474720.0,Single,No Car,0
Self Enquiry,1,Small Business,2,3,0,2,0,46,780.0,male,3,Basic,4,Executive,257970.0,Single,No Car,0
Self Enquiry,1,Small Business,2,3,0,2,0,40,1020.0,female,3,Basic,1,Executive,268350.0,Single,Has Car,0
Self Enquiry,1,Salaried,2,3,0,2,0,50,1020.0,female,3,Deluxe,1,Manager,400320.0,Married,No Car,0
Self Enquiry,2,Salaried,1,3,0,3,0,55,480.0,female,3,King,2,VP,420780.0,Married,Has Car,0
Company Invited,1,Salaried,1,3,0,4,0,50,780.0,male,3,Standard,1,Executive,269235.0,Divorced,No Car,0
Self Enquiry,2,Salaried,2,3,1,1,0,58,660.0,male,3,Basic,8,Executive,270540.0,Single,No Car,0
Self Enquiry,2,Salaried,2,3,1,2,1,27,420.0,female,3,Basic,4,Executive,258285.0,Divorced,Has Car,0
Self Enquiry,2,Salaried,2,3,1,1,1,50,900.0,female,3,Standard,8,Senior Manager,274380.0,Single,No Car,0
Company Invited,3,Small Business,2,3,1,1,0,36,840.0,female,3,Deluxe,4,AVP,431010.0,Single,No Car,0
Company Invited,3,Salaried,2,3,1,2,0,50,780.0,male,3,Standard,2,Senior Manager,373845.0,Single,No Car,0
Company Invited,3,Salaried,3,3,0,2,0,24,900.0,female,4,Standard,2,Senior Manager,353670.0,Married,Has Car,0
Self Enquiry,1,Salaried,3,3,0,2,0,53,840.0,male,4,Deluxe,3,AVP,449715.0,Single,Has Car,0
Self Enquiry,2,Salaried,3,3,0,2,0,38,600.0,female,4,Standard,1,Senior Manager,398475.0,Divorced,Has Car,0
Self Enquiry,1,Salaried,3,3,0,2,0,45,480.0,male,4,Standard,2,Senior Manager,390000.0,Single,No Car,0
Self Enquiry,1,Small Business,3,3,0,1,0,50,2160.0,male,4,Deluxe,3,AVP,490000.0,Married,Has Car,0
Self Enquiry,3,Small Business,3,4,0,2,0,38,840.0,male,4,Basic,2,Executive,265110.0,Single,No Car,0
Self Enquiry,1,Large Business,3,3,0,2,0,41,480.0,male,4,Deluxe,3,AVP,385905.0,Single,Has Car,0
Self Enquiry,1,Small Business,1,3,0,2,0,39,540.0,male,3,Standard,3,Senior Manager,411855.0,Single,No Car,0
Self Enquiry,1,Salaried,1,3,0,2,0,30,480.0,male,3,Basic,4,Executive,257025.0,Divorced,Has Car,0
Company Invited,1,Small Business,1,3,0,1,0,27,480.0,male,3,Basic,1,Executive,264345.0,Single,Has Car,0
Self Enquiry,2,Small Business,1,3,0,2,1,31,480.0,male,3,Basic,7,Executive,251850.0,Single,No Car,0
Self Enquiry,1,Small Business,1,3,0,2,0,46,660.0,male,3,King,6,VP,467460.0,Divorced,No Car,0
Company Invited,1,Salaried,1,3,0,2,0,40,420.0,female,3,Deluxe,2,AVP,476955.0,Married,No Car,0
Company Invited,1,Small Business,1,3,0,2,0,52,960.0,male,3,Basic,16,Executive,277005.0,Single,No Car,0
Self Enquiry,1,Large Business,2,3,0,2,0,30,420.0,female,4,Basic,2,Executive,245340.0,Single,No Car,0
Self Enquiry,1,Small Business,2,3,0,2,0,43,540.0,female,4,Basic,1,Executive,278595.0,Divorced,Has Car,0
Company Invited,2,Large Business,2,3,1,2,1,27,900.0,male,4,Basic,6,Executive,296055.0,Single,No Car,0
Self Enquiry,2,Salaried,2,3,0,2,0,36,480.0,male,4,Basic,2,Executive,264990.0,Single,Has Car,0
Company Invited,1,Small Business,1,3,0,1,0,40,840.0,female,1,Standard,1,Senior Manager,430470.0,Married,Has Car,0
Company Invited,2,Small Business,1,3,0,1,1,33,1080.0,male,3,Deluxe,1,AVP,342585.0,Single,No Car,0
Company Invited,2,Large Business,1,3,0,2,1,31,960.0,female,3,Basic,1,Executive,260000.0,Single,No Car,0
Company Invited,2,Salaried,1,3,0,1,0,31,840.0,female,3,Deluxe,2,Manager,332460.0,Single,No Car,0
Self Enquiry,2,Small Business,1,3,0,2,1,26,1080.0,male,1,Basic,5,Executive,256650.0,Divorced,No Car,0
Company Invited,1,Small Business,1,3,0,1,0,38,780.0,male,3,Basic,2,Executive,275160.0,Divorced,No Car,0
Self Enquiry,1,Small Business,2,3,0,2,0,55,1440.0,male,3,Deluxe,7,AVP,428025.0,Married,Has Car,0
Self Enquiry,1,Salaried,1,3,0,1,0,58,960.0,male,1,Deluxe,6,AVP,461010.0,Married,Has Car,0
Company Invited,3,Small Business,1,3,0,1,0,31,960.0,male,3,Basic,2,Executive,245805.0,Divorced,Has Car,0
Company Invited,2,Small Business,1,3,0,2,1,32,900.0,male,3,Basic,3,Executive,256545.0,Single,No Car,0
Self Enquiry,1,Small Business,1,4,1,1,0,60,660.0,male,1,Deluxe,6,AVP,400000.0,Married,Has Car,0
Self Enquiry,2,Small Business,1,3,1,1,0,33,1380.0,female,1,Basic,2,Executive,260445.0,Divorced,No Car,0
Company Invited,2,Large Business,1,3,1,2,1,27,360.0,male,3,Standard,8,Senior Manager,440280.0,Single,No Car,0
Self Enquiry,2,Salaried,2,3,0,2,0,40,720.0,male,4,Deluxe,2,AVP,481905.0,Single,Has Car,0
Self Enquiry,2,Small Business,3,3,0,1,1,25,960.0,male,5,Basic,3,Executive,333030.0,Divorced,No Car,0
Company Invited,2,Small Business,3,3,0,2,1,28,540.0,male,5,Basic,7,Executive,310575.0,Single,No Car,0
Self Enquiry,1,Large Business,3,3,0,2,1,50,1080.0,male,5,Basic,5,Executive,306420.0,Single,Has Car,0
Self Enquiry,1,Salaried,3,4,1,1,1,27,540.0,male,5,Basic,2,Executive,270780.0,Divorced,Has Car,0
Self Enquiry,2,Salaried,2,3,0,2,1,22,840.0,male,5,Basic,3,Executive,310245.0,Single,Has Car,0
Company Invited,1,Salaried,1,3,0,2,0,49,540.0,male,3,Deluxe,6,AVP,502545.0,Single,No Car,0
Self Enquiry,2,Small Business,2,3,0,3,1,24,480.0,male,4,Basic,1,Executive,261180.0,Single,Has Car,0
Self Enquiry,1,Salaried,2,3,0,3,0,51,1200.0,male,4,Basic,7,Executive,300000.0,Divorced,Has Car,0
Self Enquiry,1,Small Business,2,3,0,4,1,24,480.0,male,3,Basic,2,Executive,263715.0,Married,Has Car,0
Company Invited,2,Small Business,2,4,0,4,1,31,840.0,male,3,Basic,8,Executive,261225.0,Divorced,No Car,0
Self Enquiry,2,Small Business,2,3,0,4,0,32,600.0,female,3,Deluxe,1,Manager,262635.0,Married,Has Car,0
Company Invited,1,Small Business,2,4,0,5,0,60,540.0,female,3,King,1,VP,456855.0,Divorced,Has Car,0
Company Invited,2,Small Business,2,3,0,3,0,46,1440.0,female,3,Basic,2,Executive,258810.0,Divorced,No Car,0
Company Invited,2,Small Business,2,4,0,4,0,39,540.0,female,3,Basic,2,Executive,268290.0,Single,Has Car,0
Self Enquiry,1,Large Business,2,4,0,5,0,48,540.0,male,3,King,24,VP,474525.0,Divorced,Has Car,0
Self Enquiry,2,Small Business,2,3,0,4,0,54,840.0,male,3,Standard,5,Senior Manager,440000.0,Divorced,No Car,0
Company Invited,3,Small Business,2,3,0,4,0,38,480.0,female,3,Deluxe,6,Manager,262305.0,Married,No Car,0
Self Enquiry,2,Small Business,2,4,0,3,0,47,660.0,female,3,Standard,2,Senior Manager,400000.0,Single,No Car,0
Self Enquiry,1,Small Business,2,3,0,3,0,45,900.0,female,4,Basic,4,Executive,255885.0,Divorced,Has Car,0
Self Enquiry,1,Large Business,2,4,0,3,0,28,960.0,female,4,Basic,2,Executive,260100.0,Married,No Car,0
Self Enquiry,1,Large Business,2,3,0,3,0,40,1080.0,female,4,Basic,20,Executive,267270.0,Married,No Car,0
Company Invited,3,Small Business,2,3,0,4,0,29,480.0,male,3,Standard,1,Senior Manager,406605.0,Single,Has Car,0
Company Invited,1,Small Business,2,3,0,3,0,59,600.0,female,3,Standard,5,Senior Manager,450000.0,Married,Has Car,0
Self Enquiry,1,Large Business,2,3,0,4,0,34,480.0,female,3,Standard,2,Senior Manager,274290.0,Single,No Car,0
Company Invited,1,Large Business,2,4,0,5,0,47,780.0,female,3,Standard,2,Senior Manager,358770.0,Married,Has Car,0
Company Invited,2,Small Business,2,3,1,4,1,38,660.0,male,3,Basic,2,Executive,272220.0,Married,Has Car,0
Company Invited,2,Small Business,2,3,1,4,0,37,1440.0,male,3,Standard,2,Senior Manager,426015.0,Single,Has Car,0
Company Invited,1,Large Business,2,3,1,5,0,30,1020.0,male,3,Basic,2,Executive,267405.0,Married,No Car,0
Self Enquiry,1,Salaried,2,4,0,3,0,52,900.0,male,3,Standard,3,Senior Manager,412440.0,Married,Has Car,0
Self Enquiry,1,Salaried,2,3,0,4,0,46,1500.0,female,3,Basic,1,Executive,270000.0,Divorced,No Car,0
Self Enquiry,2,Salaried,2,3,0,4,0,24,840.0,male,3,Deluxe,3,Manager,259515.0,Divorced,Has Car,0
Self Enquiry,2,Salaried,2,3,0,3,0,30,780.0,male,3,Standard,2,Manager,265800.0,Divorced,Has Car,0
Self Enquiry,2,Salaried,2,3,0,3,0,47,1920.0,male,3,Deluxe,20,Manager,343440.0,Divorced,Has Car,0
Company Invited,3,Salaried,2,3,0,5,0,38,480.0,male,3,Deluxe,1,Manager,300000.0,Married,Has Car,0
Self Enquiry,1,Salaried,2,3,0,4,0,58,840.0,male,3,Standard,5,Senior Manager,364680.0,Married,No Car,0
Self Enquiry,3,Salaried,2,3,0,4,0,33,840.0,male,3,Super Deluxe,2,AVP,413730.0,Divorced,Has Car,0
Company Invited,2,Salaried,2,3,0,4,1,31,540.0,male,3,Basic,12,Executive,397935.0,Married,No Car,0
Self Enquiry,2,Salaried,2,4,0,4,0,49,900.0,male,4,Basic,2,Executive,348930.0,Married,Has Car,0
Company Invited,2,Salaried,2,3,0,4,0,50,540.0,male,3,Basic,1,Executive,274260.0,Married,Has Car,0
Self Enquiry,3,Salaried,2,3,1,4,0,20,780.0,female,3,Basic,2,Executive,254850.0,Divorced,Has Car,0
Company Invited,2,Salaried,2,4,1,3,1,26,840.0,male,3,Basic,1,Executive,349590.0,Single,No Car,0
Company Invited,2,Salaried,2,3,1,3,1,22,540.0,male,3,Basic,3,Executive,263400.0,Married,Has Car,0
Company Invited,2,Salaried,1,3,0,1,0,50,600.0,male,4,Deluxe,2,AVP,546660.0,Married,No Car,0
Company Invited,2,Salaried,1,4,0,2,0,59,600.0,female,3,Deluxe,6,AVP,600000.0,Single,Has Car,0
Company Invited,1,Salaried,1,3,0,2,0,39,1020.0,female,3,Deluxe,2,AVP,539070.0,Single,No Car,0
Self Enquiry,2,Small Business,2,3,0,3,0,40,780.0,male,4,Standard,7,Senior Manager,360000.0,Married,Has Car,0
Self Enquiry,1,Small Business,3,4,0,5,0,20,600.0,female,4,Basic,2,Executive,300000.0,Divorced,Has Car,0
Self Enquiry,2,Small Business,1,4,0,1,0,57,480.0,female,5,King,16,VP,538425.0,Married,Has Car,0
Company Invited,2,Salaried,3,3,0,3,0,39,540.0,male,4,Basic,2,Manager,271605.0,Divorced,No Car,0
