,TypeofContact,CityTier,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,Designation,MonthlyIncome,customer_info,ProdTaken,age,duration
17,Self Enquiry,2,Small Business,male,1.0,3.0,super deluxe,3.0,4,0,3,AVP,月収50.0万円,未婚、車所持、子供無し,1,53,2100.0
18,Company Invited,2,Small Business,Female,1.0,3.0,Standard,3.0,1,1,3,Senior Manager,月収40.0万円,結婚済み、自動車未所有、子供無し,0,20,420.0
19,Company Invited,2,Small Business,Ｍａｌｅ,1.0,3.0,Super Deluxe,3.0,1,1,4,AVP,286245.0,結婚済み	自動車未所有	子供なし,0,44,300.0
20,Self Enquiry,1,Salaried,Fe Male,1.0,3.0,Standard,3.0,2,0,3,Senior Manager,455250.0,未婚/車保有なし/子供なし,0,30,480.0
21,Company Invited,2,Salaried,Female,1.0,3.0,BASIC,3.0,2,0,4,Executive,263715.0,離婚済み、乗用車所持、子供なし,0,34,960.0
22,Company Invited,1,Salaried,Female,1.0,3.0,BASIC,3.0,1,0,3,Executive,262725.0,離婚済み 自動車未所有　子供なし,1,29,480.0
23,Company Invited,2,Salaried,Male,1.0,3.0,Super Deluxe,3.0,1,0,3,AVP,431265.0,結婚済み、車あり、子供無し,0,56,900.0
24,Self Enquiry,2,Salaried,male,1.0,3.0,Basic,3.0,2,0,4,Executive,250275.0,離婚済み、車所持、子供なし,0,30,960.0
25,Company Invited,2,Salaried,Male,1.0,3.0,Deluxe,3.0,1,0,4,Manager,303345.0,結婚済み、乗用車なし、子供なし,0,41,780.0
26,Self Enquiry,1,Salaried,FEMALE,1.0,3.0,deluxe,3.0,1,0,4,Manager,256845.0,独身 車所持 子供なし,0,38,780.0
27,Company Invited,1,Salaried,Fe Male,1.0,3.0,STANᗞARD,3.0,2,0,3,Senior Manager,368940.0,未婚、自動車所有、子供なし,0,50,840.0
28,Self Enquiry,1,Salaried,Fe Male,1.0,3.0,Super Deluxe,3.0,4,0,3,AVP,456405.0,結婚済み　自家用車あり　子供なし,0,52,1020.0
29,Self Enquiry,2,Salaried,MALE,1.0,3.0,Basic,3.0,1,0,4,Executive,258885.0,"独身,車未所持,子供なし",1,22,600.0
30,Company Invited,2,Salaried,FEMALE,1.0,3.0,Deluxe,3.0,1,1,3,Manager,316680.0,結婚済み 車未所持 子供無し,0,36,900.0
31,Self Enquiry,3,Salaried,female,1.0,3.0,Super Deluxe,3.0,2,1,5,AVP,月収50.0万円,"離婚済み,自動車所有,子供なし",0,52,1920.0
32,Company Invited,3,Salaried,male,1.0,3.0,Standard,3.0,5,1,4,Senior Manager,359730.0,未婚、車所持、子供なし,0,46,480.0
33,Company Invited,2,Salaried,Female,1.0,3.0,Standard,3.0,2,1,3,Senior Manage𝙧,月収41.0万円,"結婚済み
自動車未所有
子供なし",0,30,900.0
34,Self Enquiry,1,Salaried,female,1.0,3.0,Basic,3.0,5,1,3,Executive,月収27.0万円,独身／車未所持／子供なし,0,28,540.0
35,Self Enquiry,2,Salaried,Male,1.0,3.0,Basic,3.0,2,1,4,Executive,255405.0,独身 車保有 子供無し,1,25,840.0
36,Company Invited,1,Small Business,FEMALE,1.0,4.0,Super Deluxe,3.0,1,0,2,AVP,485055.0,独身、車所持、子供ゼロ,0,51,1560.0
37,Self Enquiry,3,Salaried,ｆｅ　ｍａｌｅ,1.0,4.0,STANDARD,4.0,5,0,1,Senior Manager,月収37.0万円,未婚 車未所持 子供なし,0,50,780.0
38,Company Invited,1,Salaried,female,1.0,4.0,Standard,3.0,2,0,1,Senior Manager,401775.0,未婚、車所持、子供無し,0,48,720.0
39,Company Invited,1,Small Business,female,1.0,5.0,Standard,3.0,4,0,3,Senior Manager,477000.0,結婚済み、車所持、無子,0,50,480.0
40,Company Invited,2,Salaried,Male,1.0,3.0,Standard,3.0,1,0,2,Senior Manager,378210.0,結婚済み、自動車未所有、子供無し,1,38,840.0
41,Self Enquiry,2,Large Business,Female,1.0,3.0,Basic,3.0,年に2回,0,2,Executive,248490.0,独身/自家用車あり/子供無し,1,33,840.0
42,Company Invited,2,Salaried,male,1.0,3.0,Deluxe,3.0,2,0,2,Manager,268440.0,結婚済み　車未所持　子供なし,0,42,600.0
43,Company Invited,2,Salaried,MALE,1.0,3.0,Standard,3.0,1,0,2,Senior Manager,362580.0,独身、車未所持、子供なし,0,50,1260.0
45,Company Invited,1,Large Business,FEMALE,1.0,3.0,Standard,4.0,1,0,1,Senior Manager,356760.0,結婚済み、車所持、子供なし,0,35,780.0
46,Company Invited,2,Small Business,Male,1.0,3.0,Standard,3.0,1,0,2,Senior Manager,364980.0,結婚済み、自動車未所有、子供なし,0,59,480.0
47,Company Invited,2,Small Business,Male,1.0,3.0,STANDARD,3.0,5,0,2,Manager,350310.0,結婚済み、自動車所有、子供無し,0,43,840.0
48,Company Invited,2,Salaried,Male,1.0,4.0,STANDARD,3.0,3,0,2,Senior Manager,429570.0,"未婚,自家用車なし,子供なし",1,32,1500.0
49,Self Enquiry,1,Small Business,Female,1.0,3.0,Вasic,3.0,1,0,1,Executive,272475.0,離婚済み／自家用車なし/子供なし,0,47,900.0
50,Company Invited,2,Small Business,male,1.0,3.0,Basic,3.0,2,0,1,Executive,273840.0,離婚済み 車未所持 子供ゼロ,0,42,960.0
51,Self Enquiry,1,Salaried,Male,1.0,3.0,Standard,3.0,1,0,1,Senior Manager,372150.0,未婚 車保有 子供なし,0,53,720.0
52,Self Enquiry,1,Salaried,Male,1.0,3.0,Super Deluxe,4.0,年に5回,0,1,AVP,462615.0,結婚済み　車所持　子供なし,0,56,660.0
53,Company Invited,1,Salaried,Male,1.0,3.0,Standard,3.0,5,0,2,Senior Manager,345690.0,未婚、車未所持、子供無し,0,33,660.0
54,Company Invited,1,Salaried,Female,1.0,3.0,Deluxe,3.0,4,0,1,Manager,397245.0,未婚 車保有なし 子供ゼロ,0,58,840.0
55,Company Invited,2,Salaried,Female,1.0,3.0,DELUXE,3.0,5,0,2,Manager,297855.0,結婚済み/車所持/子供なし,0,33,960.0
56,Company Invited,1,Small Business,Male,1.0,3.0,BASIC,3.0,年に1回,0,1,Executive,269895.0,独身 車所持 子供無し,0,32,540.0
57,Company Invited,2,Salaried,male,1.0,3.0,Standard,4.0,5,1,1,Senior Manager,427050.0,結婚済み、車所持、無子,1,50,960.0
58,Company Invited,1,Salaried,Female,1.0,3.0,STANDARD,3.0,2,1,1,Senior Manager,418080.0,未婚、車所持、子供無し,0,40,840.0
59,Company Invited,2,Large Business,male,1.0,3.0,Basic,3.0,2,1,2,Executive,264615.0,"独身、車未所持,子供無し",1,26,1020.0
60,Self Enquiry,2,Small Business,Male,1.0,3.0,Standard,3.0,年に2回,1,1,Senior Manager,415545.0,独身、車保有なし、非育児家庭,0,47,900.0
61,Company Invited,2,Large Business,Male,1.0,3.0,Basic,3.0,1,1,2,Executive,258915.0,離婚済み、車所持、子供なし,1,47,600.0
62,Company Invited,2,Salaried,female,1.0,3.0,Super Deluxe,4.0,5,0,1,AVP,507870.0,"独身,自動車所有,子供なし",0,52,960.0
63,Company Invited,2,Small Business,Ｍａｌｅ,1.0,5.0,deluxe,3.0,7,0,1,Manager,303960.0,離婚済み、自動車未所有、子供なし,0,29,780.0
64,Self Enquiry,2,Small Business,Male,1.0,5.0,Deluxe,3.0,1,0,2,Manager,309645.0,結婚済み　車なし　子供なし,0,44,420.0
65,Company Invited,1,Small Business,male,2.0,4.0,Standard,3.0,2,0,1,Senior Manager,月収40.0万円,離婚済み/車所持/子供無し,0,54,720.0
66,Company Invited,2,Salaried,Male,2.0,4.0,ꓢuper De|uxe,3.0,3,0,2,AVP,479610.0,結婚済み　自動車所有　子供無し,0,51,420.0
67,Company Invited,1,Salaried,Male,2.0,4.0,Ѕuper Deluxe,3.0,4,0,1,AVP,463050.0,"結婚済み,自家用車あり,子供なし",0,59,780.0
68,Company Invited,1,Small Business,Male,2.0,4.0,BASIC,3.0,年に2回,0,2,Execuｔive,270735.0,独身／車未所持／子供無し,0,25,420.0
69,Company Invited,1,Salaried,Female,2.0,4.0,BASIC,3.0,5,0,2,Executive,263865.0,離婚済み	車未所持	子供なし,0,29,900.0
70,Self Enquiry,2,Small Business,Female,2.0,4.0,Basic,3.0,3,0,2,Executive,316770.0,結婚済み 自動車未所有 子供なし,1,21,780.0
71,Self Enquiry,1,Small Business,Male,2.0,4.0,Super Deluxe,3.0,6,0,1,AVP,月収40.0万円,結婚済み 車所持 非育児家庭,0,56,600.0
72,Self Enquiry,3,Small Business,Fe Male,2.0,4.0,Standard,3.0,4,0,2,Senior Manager,358935.0,未婚／車あり／子供無し,0,50,360.0
73,Company Invited,1,Small Business,female,2.0,4.0,Basic,3.0,2,0,2,Executive,263010.0,独身、車所持、子供無し,0,57,480.0
74,Company Invited,1,Large Business,MALE,2.0,4.0,basic,4.0,7,0,2,Executive,273900.0,離婚済み 車未所持 子供なし,1,37,780.0
75,Self Enquiry,1,Salaried,male,2.0,4.0,Basic,3.0,2,0,2,Executive,257295.0,離婚済み／車未所持／子供なし,0,20,780.0
76,Company Invited,2,Small Business,Male,2.0,4.0,Standard,4.0,5,0,2,Senior Manager,438195.0,未婚、自動車所有、子供なし,0,53,840.0
77,Company Invited,1,Small Business,MALE,2.0,4.0,Basic,3.0,年に2回,0,1,Executive,267480.0,離婚済み 車所持 子供なし,0,30,480.0
78,Company Invited,3,Salaried,Ｍａｌｅ,2.0,4.0,Standard,4.0,1,0,2,Senior Manager,438210.0,"離婚済み,自家用車あり、子供なし",0,35,720.0
79,Company Invited,1,Small Business,Fe Male,2.0,4.0,STANDARD,3.0,2,0,2,Senior Manager,371820.0,"離婚済み,自動車所有,非育児家庭",0,36,660.0
80,Company Invited,3,Small Business,female,2.0,5.0,STANDARD,3.0,1,0,1,Senior Manager,月収30.0万円,離婚済み／車未所持／子供なし,0,36,1080.0
81,Self Enquiry,2,Salaried,male,2.0,4.0,Standard,3.0,5,0,2,Senior Manager,月収41.0万円,離婚済み　車未所持　無子,0,38,300.0
82,Self Enquiry,3,Small Business,Female,2.0,4.0,Standard,4.0,2,0,1,Senior Manager,月収37.0万円,結婚済み、自動車所有、子供無し,0,49,900.0
83,Self Enquiry,1,Large Business,fe male,2.0,4.0,Standard,3.0,2,0,1,Senior Manager,393705.0,"未婚,車未所持,子供なし",0,37,1860.0
84,Self Enquiry,2,Small Business,Female,2.0,4.0,Basic,3.0,5,1,2,Executive,263730.0,"独身,車未所持、無子",1,50,840.0
85,Self Enquiry,2,Salaried,Ｍａｌｅ,2.0,4.0,Standard,3.0,3,1,2,Senior Manager,366900.0,独身/車所持/子供なし,0,51,600.0
86,Self Enquiry,2,Small Business,male,2.0,4.0,Вasic,3.0,5,1,2,Executive,262560.0,離婚済み／車未所持／子供なし,1,43,660.0
87,Self Enquiry,2,Small Business,ｆｅｍａｌｅ,2.0,4.0,deluxe,3.0,2,1,1,Manager,437895.0,"離婚済み,車未所持,子供なし",0,40,900.0
88,Self Enquiry,1,Large Business,Male,1.0,3.0,Basic,3.0,1,0,3,Executive,269235.0,"結婚済み,車保有なし,非育児家庭",0,38,540.0
89,Self Enquiry,2,Small Business,Male,1.0,1.0,Super Deluxe,4.0,年に1回,1,4,AVP,428610.0,結婚済み	自動車所有	子供なし,0,54,960.0
90,Company Invited,2,Large Business,Female,1.0,4.0,Basic,3.0,年に1回,0,3,Executive,243540.0,独身、自動車未所有、子供なし,1,38,900.0
91,Company Invited,2,Salaried,Female,1.0,3.0,Basic,3.0,2,0,4,Executive,256455.0,独身	車未所持	子供なし,0,26,1020.0
92,Company Invited,1,Salaried,Male,1.0,3.0,Basic,3.0,1,0,5,Executive,252360.0,結婚済み	自家用車あり	子供なし,0,40,1380.0
93,Company Invited,3,Salaried,Female,1.0,3.0,Basic,3.0,2,0,3,Executive,月収26.0万円,離婚済み 車所持 子供なし,0,31,840.0
94,Company Invited,2,Salaried,Ｆｅｍａｌｅ,1.0,1.0,BAՏIC,3.0,年に2回,0,3,Executive,256890.0,結婚済み	自動車所有	子供なし,0,27,900.0
95,Self Enquiry,1,Salaried,Female,1.0,2.0,Deluxe,3.0,1,0,3,Μanager,331515.0,独身	自家用車なし	子供なし,0,40,660.0
96,Company Invited,1,Salaried,Female,1.0,3.0,DELUXE,3.0,6,1,4,Manager,270870.0,結婚済み	乗用車なし	子供無し,1,38,1020.0
97,Self Enquiry,2,Small Business,Male,2.0,4.0,Basic,3.0,1,0,4,Executive,月収32.0万円,"独身,自家用車あり,子供無し",1,33,540.0
98,Self Enquiry,2,Small Business,Male,2.0,4.0,Basic,3.0,3,0,3,Executive,262500.0,結婚済み/車未所持/子供なし,1,20,2100.0
99,Company Invited,2,Small Business,ｆｅｍａｌｅ,2.0,4.0,BASIC,3.0,2,0,3,Executive,266790.0,離婚済み、車未所持、子供なし,0,58,900.0
100,Self Enquiry,1,Small Business,FEMALE,2.0,4.0,Basic,4.0,2,1,3,Executive,271980.0,独身/車未所持/子供なし,1,33,1020.0
101,Company Invited,2,Small Business,Male,2.0,4.0,Basic,3.0,2,1,4,Executive,月収30.0万円,独身 自動車所有　子供なし,1,20,660.0
102,Self Enquiry,2,Small Business,male,2.0,4.0,basic,3.0,5,1,4,Executive,349995.0,離婚済み 車所持 子供無し,1,32,1680.0
103,Self Enquiry,2,Salaried,Female,2.0,4.0,Basic,3.0,7,0,4,Executive,270405.0,離婚済み、自動車未所有、子供無し,1,34,1200.0
104,Company Invited,2,Salaried,female,2.0,4.0,Basıc,3.0,7,0,3,Executive,295065.0,独身/車所持/子供ゼロ,1,20,900.0
105,Self Enquiry,2,Small Business,Female,1.0,4.0,Basic,3.0,年に2回,0,2,Executive,274395.0,離婚済み、自動車所有、無子,0,51,900.0
106,Company Invited,2,Salaried,Male,1.0,4.0,Super Deluxe,3.0,5,0,2,AVP,280200.0,離婚済み／車あり／子供なし,0,40,420.0
107,Company Invited,3,Salaried,male,1.0,4.0,Standard,3.0,3,1,2,Senior Manager,月収37.0万円,結婚済み/車所持/子供なし,1,26,660.0
108,Company Invited,2,Large Business,Male,1.0,4.0,Basic,3.0,2,1,2,Executive,254535.0,独身、自家用車あり、無子,1,22,540.0
110,Self Enquiry,1,Small Business,Female,2.0,3.0,Basic,3.0,3,0,1,Executive,258405.0,独身	自家用車あり	子供なし,0,21,540.0
111,Company Invited,2,Salaried,Male,2.0,3.0,Standard,3.0,3,0,2,Senior Manager,344400.0,"独身,乗用車所持,子供なし",1,24,840.0
112,Self Enquiry,2,Salaried,Male,2.0,3.0,Deluxe,3.0,5,0,2,Manager,月収33.0万円,"離婚済み,自家用車あり,子供なし",0,45,720.0
113,Self Enquiry,1,Small Business,female,2.0,3.0,Basic,3.0,年に1回,0,1,Executive,254205.0,離婚済み 自家用車あり 子供なし,0,33,420.0
114,Company Invited,1,Salaried,Male,2.0,3.0,Deluxe,3.0,2,0,2,Manager,288480.0,離婚済み、車保有、子供なし,0,33,960.0
115,Company Invited,2,Salaried,Female,2.0,3.0,Super Deluxe,3.0,2,0,2,AVP,月収50.0万円,結婚済み/自動車所有/子供無し,0,56,900.0
116,Self Enquiry,1,Salaried,Ｆｅｍａｌｅ,2.0,3.0,Standard,3.0,年に2回,0,2,Senior Manager,月収50.0万円,結婚済み 車所持 子供なし,0,36,780.0
117,Company Invited,1,Salaried,Ｍａｌｅ,2.0,3.0,Super Deluxe,4.0,3,0,2,AVP,413865.0,独身、自動車所有、子供なし,0,41,1020.0
118,Self Enquiry,2,Small Business,Male,2.0,3.0,super deluxe,4.0,1,0,2,AVP,月収46.0万円,"離婚済み,自家用車あり,子供ゼロ",0,50,360.0
119,Self Enquiry,1,Large Business,Female,2.0,4.0,BASIC,3.0,5,0,1,Executive,257340.0,独身 自動車未所有 子供なし,0,31,1020.0
120,Company Invited,3,Salaried,ｆｅｍａｌｅ,2.0,3.0,Basic,3.0,2,0,1,Executive,255405.0,独身、車所持、子供なし,0,22,960.0
121,Company Invited,2,Small Business,Female,2.0,3.0,Basic,4.0,5,0,2,Executive,月収27.0万円,独身 車所持 無子,1,38,960.0
122,Company Invited,1,Small Business,Female,1.0,3.0,Basic,3.0,5,0,3,Executive,249315.0,"独身
車保有なし
子供なし",0,38,1080.0
123,Company Invited,2,Salaried,Male,2.0,3.0,basic,3.0,2,0,1,Executive,259680.0,"離婚済み、自動車所有,子供なし",0,31,960.0
124,Company Invited,2,Large Business,male,2.0,3.0,Basic,3.0,7,0,2,Executive,242280.0,独身 車所持　子供無し,1,18,480.0
125,Company Invited,3,Small Business,Male,1.0,3.0,King,3.0,1,0,5,VP,274515.0,独身　自動車未所有　子供なし,0,52,480.0
126,Company Invited,3,Large Business,Female,1.0,3.0,Basic,3.0,4,0,3,Executive,264480.0,結婚済み/自家用車なし/子供なし,0,45,540.0
127,Company Invited,1,Small Business,Female,2.0,3.0,BASIC,3.0,5,0,1,Executive,258390.0,離婚済み 自家用車あり　子供なし,0,30,720.0
128,Company Invited,2,Salaried,Male,2.0,3.0,Deluxe,3.0,年に2回,0,2,Manager,260310.0,独身 自動車未所有 子供なし,1,38,840.0
129,Company Invited,2,Salaried,Male,2.0,3.0,Standard,3.0,2,0,1,Senior Manager,445575.0,離婚済み、自動車所有、子供無し,0,43,480.0
130,Self Enquiry,3,Small Business,Male,2.0,3.0,Standard,4.0,2,0,1,Senior Manager,436320.0,独身 自動車所有 子供無し,0,43,960.0
131,Company Invited,3,Salaried,FEMALE,2.0,4.0,DELUXE,3.0,3,0,1,Manager,371775.0,結婚済み、車未所持、子供無し,0,35,960.0
132,Company Invited,1,Small Business,FEMALE,1.0,3.0,Basic,3.0,年に2回,0,4,Executive,267015.0,"独身,車未所持,子供無し",1,26,840.0
133,Company Invited,3,Large Business,Female,2.0,3.0,Standard,4.0,5,0,2,Senior Manager,336735.0,離婚済み、車あり、非育児家庭,0,46,1020.0
134,Self Enquiry,2,Small Business,Male,2.0,3.0,Standard,4.0,2,0,1,Senior Manager,404385.0,独身 車保有 非育児家庭,0,52,1020.0
135,Self Enquiry,1,Salaried,ｍａｌｅ,2.0,3.0,STANDARD,3.0,2,0,2,Senior Manager,365130.0,離婚済み/車未所持／子供なし,0,39,420.0
136,Self Enquiry,2,Large Business,Female,2.0,3.0,Super De|uxe,4.0,2,0,2,AVP,483855.0,独身、車所持、子育て状況不明,0,46,540.0
137,Self Enquiry,1,Salaried,female,2.0,3.0,king,4.0,1,0,1,VP,474720.0,独身、自動車未所有、子供なし,0,43,960.0
138,Self Enquiry,1,Small Business,Male,2.0,3.0,Basic,3.0,4,0,2,Executive,257970.0,"独身,自家用車なし,子供無し",0,46,780.0
139,Self Enquiry,1,Small Business,Female,2.0,3.0,basic,3.0,1,0,2,Executive,268350.0,独身／車保有／子供無し,0,40,1020.0
140,Self Enquiry,1,Salaried,female,2.0,3.0,Deluxe,3.0,1,0,2,Manager,400320.0,結婚済み、車未所持、子供なし,0,50,1020.0
141,Self Enquiry,2,Salaried,Female,1.0,3.0,King,3.0,2,0,3,VP,420780.0,結婚済み	車保有	無子,0,55,480.0
142,Company Invited,1,Salaried,Male,1.0,3.0,Standard,3.0,1,0,4,Executive,269235.0,離婚済み/車なし/子供なし,0,50,780.0
143,Self Enquiry,2,Salaried,Male,2.0,3.0,BASIC,3.0,年に2回,1,1,Executive,270540.0,独身、自動車未所有、子供なし,0,58,660.0
144,Self Enquiry,2,Salaried,Female,2.0,3.0,BASIC,3.0,年に1回,1,2,Executive,258285.0,離婚済み 車所持 子供無し,1,27,420.0
145,Self Enquiry,2,Salaried,female,2.0,3.0,Standard,3.0,年に2回,1,1,Senior Manager,274380.0,独身 車未所持 非育児家庭,1,50,900.0
146,Company Invited,3,Small Business,FEMALE,2.0,3.0,Super Deluxe,3.0,4,1,1,AVP,431010.0,"独身、車未所持,子供なし",0,36,840.0
147,Company Invited,3,Salaried,Fe Male,2.0,3.0,Standard,3.0,2,1,2,Senior Manager,373845.0,未婚／車未所持／子供なし,0,50,780.0
149,Company Invited,3,Salaried,FEMALE,3.0,4.0,Standard,3.0,2,0,2,Sеnior Manager,353670.0,"結婚済み,車所持、子供ゼロ",0,24,900.0
150,Self Enquiry,1,Salaried,Male,3.0,4.0,Super Deluxe,3.0,3,0,2,AVP,449715.0,独身、自動車所有、子供無し,0,53,840.0
151,Self Enquiry,2,Salaried,Female,3.0,4.0,Standard,3.0,1,0,2,Senior Manager,398475.0,離婚済み 車所持 子供ゼロ,0,38,600.0
152,Self Enquiry,1,Salaried,Fe Male,3.0,4.0,Standard,3.0,2,0,2,Senior Manager,月収39.0万円,未婚、車保有なし、子供なし,0,45,480.0
153,Self Enquiry,1,Small Business,male,3.0,4.0,Super Deluxe,3.0,3,0,1,ΑVP,月収49.0万円,結婚済み　車所持　子の数不詳,0,50,2160.0
154,Self Enquiry,3,Small Business,Male,3.0,4.0,basic,4.0,2,0,2,Executive,265110.0,独身、自動車未所有、子供ゼロ,0,38,840.0
155,Self Enquiry,1,Large Business,Male,3.0,4.0,Super Deluxe,3.0,3,0,2,AVP,385905.0,独身、自動車所有、子供ゼロ,0,41,480.0
156,Self Enquiry,1,Small Business,Fe Male,1.0,3.0,standard,3.0,3,0,2,Senior Manager,411855.0,独身、車未所持、子供なし,0,39,540.0
157,Self Enquiry,1,Salaried,Male,1.0,3.0,Basic,3.0,年に1回,0,2,Executive,257025.0,離婚済み、車所持、非育児家庭,0,30,480.0
158,Company Invited,1,Small Business,Male,1.0,3.0,Basic,3.0,半年に1回,0,1,Executive,264345.0,独身／自動車所有/子供ゼロ,0,27,480.0
159,Self Enquiry,2,Small Business,Ｍａｌｅ,1.0,3.0,Basic,3.0,7,0,2,Executive,251850.0,独身、自家用車なし、子供なし,1,31,480.0
160,Self Enquiry,1,Small Business,Male,1.0,3.0,KING,3.0,6,0,2,VP,467460.0,離婚済み、自動車未所有、子供なし,0,46,660.0
161,Company Invited,1,Salaried,Female,1.0,3.0,Super Deluxe,3.0,2,0,2,AVP,476955.0,結婚済み、乗用車なし、子供無し,0,40,420.0
162,Company Invited,1,Small Business,ｍａｌｅ,1.0,3.0,Basic,3.0,年に4回,0,2,Executive,277005.0,独身 車未所持 子供なし,0,52,960.0
163,Self Enquiry,1,Large Business,female,2.0,4.0,Basic,3.0,2,0,2,Executive,245340.0,独身	車未所持	子供無し,0,30,420.0
164,Self Enquiry,1,Small Business,Female,2.0,4.0,Basic,3.0,1,0,2,Executive,278595.0,"離婚済み
車所持
子供無し",0,43,540.0
165,Company Invited,2,Large Business,Male,2.0,4.0,BASIC,3.0,6,1,2,Executive,296055.0,"独身,車なし,子供なし",1,27,900.0
166,Self Enquiry,2,Salaried,Male,2.0,4.0,Basic,3.0,2,0,2,Executive,264990.0,"独身,自動車所有,子供なし",0,36,480.0
167,Company Invited,1,Small Business,female,1.0,100.0,Standard,3.0,1,0,1,Senior Manager,430470.0,"結婚済み、車所持,子供無し",0,40,840.0
168,Company Invited,2,Small Business,Male,1.0,3.0,Super Deluxe,3.0,1,0,1,АVP,342585.0,独身 自家用車なし 子供無し,1,33,1080.0
169,Company Invited,2,Large Business,Female,1.0,3.0,Basic,3.0,1,0,2,Executive,月収26.0万円,独身／車なし/子供無し,1,31,960.0
170,Company Invited,2,Salaried,Female,1.0,3.0,Deluxe,3.0,2,0,1,Manager,332460.0,独身 自動車未所有 子供ゼロ,0,31,840.0
172,Self Enquiry,2,Small Business,Male,1.0,1.0,BASIC,3.0,5,0,2,Executive,256650.0,"離婚済み,自動車未所有,非育児家庭",1,26,1080.0
173,Company Invited,1,Small Business,Male,1.0,3.0,BΑSIC,3.0,2,0,1,Executive,275160.0,"離婚済み,車なし,子供無し",0,38,780.0
174,Self Enquiry,1,Small Business,Male,2.0,3.0,super deluxe,3.0,7,0,2,AVP,428025.0,結婚済み、自家用車あり、子供の数不明,0,55,1440.0
175,Self Enquiry,1,Salaried,MALE,1.0,1.0,Super Deluxe,3.0,6,0,1,AVP,461010.0,結婚済み/車所持/子供なし,0,58,960.0
176,Company Invited,3,Small Business,ｍａｌｅ,1.0,3.0,Basic,3.0,2,0,1,Executive,245805.0,離婚済み	車所持	子供なし,0,31,960.0
177,Company Invited,2,Small Business,male,1.0,3.0,Basic,3.0,3,0,2,Executive,256545.0,独身、車未所持、子供無し,1,32,900.0
178,Self Enquiry,1,Small Business,Male,1.0,1.0,Super Deluxe,4.0,6,1,1,AVP,月収40.0万円,結婚済み、車あり、子供なし,0,60,660.0
179,Self Enquiry,2,Small Business,Female,1.0,1.0,basic,3.0,2,1,1,Executive,260445.0,離婚済み、自動車未所有、子供なし,0,33,1380.0
180,Company Invited,2,Large Business,Male,1.0,3.0,standard,3.0,年に2回,1,2,Senior Manager,440280.0,独身	車未所持	子供無し,1,27,360.0
181,Self Enquiry,2,Salaried,Male,2.0,4.0,Super Deluxe,3.0,2,0,2,AVP,481905.0,独身、自動車所有、子供なし,0,40,720.0
