id,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,Designation,MonthlyIncome,ProdTaken,Marry,Car,Child,AgeGroup,NumberOfTrips_log,TypeofContactNULL,Motivation,EconomicPower,Child01,TripEasier,SalesPerformance,LivingCost,EconomicStability,TripFreaqency,TravelCost,EconomicSegment,PackageMatch
18,20,Company Invited,2,6.042632833682381,Small Business,female,1,3,Standard,3,1,1,3,Senior Manager,400000.0,0,Married,No Car,0_child,20s,0.6931471805599453,0,13,800000.0,0,8,1.4894169888716204,279720.2797202797,468000.0,0,1.6931471805599454,3,1.0
19,44,Company Invited,2,5.707110264748875,Small Business,male,1,3,Deluxe,3,1,1,4,AVP,286245.0,0,Married,No Car,0_child,40s,0.6931471805599453,0,13,744237.0,0,8,2.1026402931305594,200171.32867132864,360668.69999999995,0,1.6931471805599454,10,0.8
20,30,Self Enquiry,1,6.175867270105761,Salaried,male,1,3,Standard,3,2,0,3,Senior Manager,455250.0,0,Single,No Car,0_child,30s,1.0986122886681098,0,3,1775475.0,0,16,1.457285204875505,303500.0,651007.5000000001,0,2.09861228866811,1,1.0
21,34,Company Invited,2,6.8679744089702925,Salaried,female,1,3,Basic,3,2,0,4,Executive,263715.0,0,Divorced,Has Car,0_child,30s,1.0986122886681098,0,3,527430.0,0,24,1.7472400573197748,193197.80219780217,319095.15,0,2.09861228866811,12,1.0
22,29,Company Invited,1,6.175867270105761,Salaried,female,1,3,Basic,3,1,0,3,Executive,262725.0,1,Divorced,No Car,0_child,20s,0.6931471805599453,0,3,788175.0,0,24,1.457285204875505,175150.0,317897.25,0,1.6931471805599454,13,1.0
23,56,Company Invited,2,6.803505257608338,Salaried,male,1,3,Deluxe,3,1,0,3,AVP,431265.0,0,Married,Has Car,0_child,50s,0.6931471805599453,0,3,1121289.0,0,8,1.3228475115728513,288471.57190635445,664148.1000000001,0,1.6931471805599454,14,0.8
24,30,Self Enquiry,2,6.8679744089702925,Salaried,male,1,3,Basic,3,2,0,4,Executive,250275.0,0,Divorced,Has Car,0_child,30s,1.0986122886681098,0,3,650715.0,0,24,1.7472400573197748,183351.64835164833,302832.75,0,2.09861228866811,12,1.0
25,41,Company Invited,2,6.789689827277478,Salaried,male,1,3,Deluxe,3,1,0,4,Manager,303345.0,0,Married,No Car,0_child,40s,0.6931471805599453,0,3,788697.0,0,8,1.7673855956998477,212129.37062937062,400415.39999999997,0,1.6931471805599454,15,0.8
26,39,Self Enquiry,1,6.776310339533496,Salaried,female,1,3,Deluxe,3,1,0,4,Manager,256845.0,0,Single,Has Car,0_child,30s,0.6931471805599453,0,3,770535.0,0,16,1.7708752106572085,163076.19047619044,339035.39999999997,0,1.6931471805599454,16,0.8
27,50,Company Invited,1,6.734591659972948,Salaried,male,1,3,Standard,3,2,0,3,Senior Manager,368940.0,0,Single,Has Car,0_child,50s,1.0986122886681098,0,3,1438866.0,0,16,1.3363839196801655,234247.61904761902,527584.2000000001,0,2.09861228866811,1,1.0
28,52,Self Enquiry,1,6.928537818164665,Salaried,male,1,3,Deluxe,3,4,0,3,AVP,456405.0,0,Married,Has Car,0_child,50s,1.6094379124341003,0,3,1779979.5,0,8,1.298975373477005,264582.60869565216,702863.7000000001,0,2.6094379124341005,17,0.8
29,22,Self Enquiry,2,6.398594934535208,Salaried,male,1,3,Basic,3,1,0,4,Executive,258885.0,1,Single,No Car,0_child,20s,0.6931471805599453,0,3,673101.0,0,48,1.8754117306648475,199142.3076923077,313250.85000000003,0,1.6931471805599454,12,1.0
30,36,Company Invited,2,6.803505257608338,Salaried,female,1,3,Deluxe,3,1,1,3,Manager,316680.0,0,Married,No Car,0_child,30s,0.6931471805599453,0,13,633360.0,0,8,1.3228475115728513,221454.54545454544,418017.6,0,1.6931471805599454,15,0.8
31,52,Self Enquiry,3,7.560601162768557,Salaried,female,1,3,Deluxe,3,2,1,5,AVP,500000.0,0,Divorced,Has Car,0_child,50s,1.0986122886681098,0,13,500000.0,0,8,1.9839692211071835,476190.47619047615,770000.0,0,2.09861228866811,18,0.8
32,46,Company Invited,3,6.175867270105761,Salaried,male,1,3,Standard,3,5,1,4,Senior Manager,359730.0,0,Single,Has Car,0_child,40s,1.791759469228055,0,13,467649.0,0,16,1.9430469398340067,342600.0,514413.9000000001,1,2.791759469228055,19,1.0
33,30,Company Invited,2,6.803505257608338,Salaried,female,1,3,Standard,3,2,1,3,Senior Manager,410000.0,0,Married,No Car,0_child,30s,1.0986122886681098,0,13,820000.0,0,8,1.3228475115728513,286713.28671328665,586300.0000000001,0,2.09861228866811,20,1.0
34,28,Self Enquiry,1,6.293419278846481,Salaried,female,1,3,Basic,3,5,1,3,Executive,270000.0,0,Single,No Car,0_child,20s,1.791759469228055,0,13,810000.0,0,48,1.4300652159392766,180000.0,326700.0,1,2.791759469228055,13,1.0
35,25,Self Enquiry,2,6.734591659972948,Salaried,male,1,3,Basic,3,2,1,4,Executive,255405.0,1,Single,Has Car,0_child,20s,1.0986122886681098,0,13,664053.0,0,48,1.7818452262402205,187109.89010989008,309040.05000000005,0,2.09861228866811,12,1.0
36,51,Company Invited,1,7.353081920515432,Small Business,female,1,4,Deluxe,3,1,0,2,AVP,485055.0,0,Single,Has Car,0_child,50s,0.6931471805599453,0,4,1455165.0,0,16,1.087979174783792,307971.4285714285,611169.2999999999,0,1.6931471805599454,9,0.8
37,50,Self Enquiry,3,6.660575149839686,Salaried,female,1,4,Standard,4,5,0,1,Senior Manager,370000.0,0,Single,No Car,0_child,50s,1.791759469228055,0,4,370000.0,0,16,0.6005487379113613,370000.0,529100.0000000001,1,4.187639203842083,19,0.8
38,48,Company Invited,1,6.580639137284949,Salaried,female,1,4,Standard,3,2,0,1,Senior Manager,401775.0,0,Single,Has Car,0_child,40s,1.0986122886681098,0,4,1205325.0,0,16,0.6078436936826666,255095.23809523808,574538.2500000001,0,2.09861228866811,1,1.0
39,50,Company Invited,1,6.175867270105761,Small Business,female,1,5,Standard,3,4,0,3,Senior Manager,477000.0,0,Married,Has Car,0_child,50s,1.6094379124341003,0,5,1431000.0,0,8,2.428808674792508,276521.73913043475,558090.0,0,2.6094379124341005,8,1.0
40,38,Company Invited,2,6.734591659972948,Salaried,male,1,3,Standard,3,1,0,2,Senior Manager,378210.0,1,Married,No Car,0_child,30s,0.6931471805599453,0,3,983346.0,0,8,0.8909226131201102,264482.51748251746,540840.3,0,1.6931471805599454,20,1.0
41,33,Self Enquiry,2,6.734591659972948,Large Business,female,1,3,Basic,3,8,0,2,Executive,248490.0,1,Single,Has Car,0_child,30s,2.1972245773362196,0,3,496980.0,0,48,0.8909226131201102,182043.95604395602,328006.80000000005,1,3.1972245773362196,0,1.0
42,42,Company Invited,2,6.398594934535208,Salaried,male,1,3,Deluxe,3,2,0,2,Manager,268440.0,0,Married,No Car,0_child,40s,1.0986122886681098,0,3,697944.0,0,8,0.9377058653324237,187720.2797202797,354340.8,0,2.09861228866811,15,0.8
43,50,Company Invited,2,7.13966033596492,Salaried,male,1,3,Standard,3,1,0,2,Senior Manager,362580.0,0,Single,No Car,0_child,50s,0.6931471805599453,0,3,942708.0,0,16,0.8403761128209336,278907.6923076923,518489.4000000001,0,1.6931471805599454,20,1.0
44,33,No,1,6.759293150623936,Salaried,female,1,3,Deluxe,3,1,0,1,Manager,282075.0,0,Married,No Car,0_child,30s,0.6931471805599453,1,3,846225.0,0,8,0.44383339102892383,170954.54545454544,372339.0,0,1.6931471805599454,16,0.8
45,35,Company Invited,1,6.660575149839686,Large Business,female,1,3,Standard,4,1,0,1,Senior Manager,356760.0,0,Married,Has Car,0_child,30s,0.6931471805599453,0,3,1070280.0,0,8,0.450411553433521,206817.3913043478,556545.6,0,2.539720770839918,7,0.8
46,59,Company Invited,2,6.175867270105761,Small Business,male,1,3,Standard,3,1,0,2,Senior Manager,364980.0,0,Married,No Car,0_child,50s,0.6931471805599453,0,3,948948.0,0,8,0.9715234699170033,255230.7692307692,427026.60000000003,0,1.6931471805599454,3,1.0
47,43,Company Invited,2,6.734591659972948,Small Business,male,1,3,Standard,3,5,0,2,Manager,350310.0,0,Married,Has Car,0_child,40s,1.791759469228055,0,3,910806.0,0,8,0.8909226131201102,234321.07023411366,378334.8,1,2.791759469228055,21,1.0
48,32,Company Invited,2,7.313886831633462,Salaried,male,1,4,Standard,3,3,0,2,Senior Manager,429570.0,1,Single,No Car,0_child,30s,1.3862943611198906,0,4,1116882.0,0,16,1.093809650622295,330438.4615384615,614285.1000000001,0,2.386294361119891,20,1.0
49,47,Self Enquiry,1,6.803505257608338,Small Business,female,1,3,Basic,3,1,0,1,Executive,272475.0,0,Divorced,No Car,0_child,40s,0.6931471805599453,0,3,817425.0,0,24,0.4409491705242838,181650.0,269750.25,0,1.6931471805599454,11,1.0
50,42,Company Invited,2,6.8679744089702925,Small Business,male,1,3,Basic,3,2,0,1,Executive,273840.0,0,Divorced,No Car,0_child,40s,1.0986122886681098,0,3,711984.0,0,24,0.4368100143299437,210646.15384615384,271101.60000000003,0,2.09861228866811,5,1.0
51,53,Self Enquiry,1,6.580639137284949,Salaried,male,1,3,Standard,3,1,0,1,Senior Manager,372150.0,0,Single,Has Car,0_child,50s,0.6931471805599453,0,3,1451385.0,0,16,0.4558827702619999,236285.71428571426,532174.5000000001,0,1.6931471805599454,1,1.0
52,56,Self Enquiry,1,6.493753839851686,Salaried,male,1,3,Deluxe,4,20,0,1,AVP,462615.0,0,Married,Has Car,0_child,50s,3.044522437723423,0,3,1804198.5,0,8,0.46198240247254563,268182.60869565216,712427.1000000001,2,6.066783656585134,17,1.0
53,33,Company Invited,1,6.493753839851686,Salaried,male,1,3,Standard,3,5,0,2,Senior Manager,345690.0,0,Single,No Car,0_child,30s,1.791759469228055,0,3,1348191.0,0,16,0.9239648049450913,230460.0,494336.70000000007,1,2.791759469228055,1,1.0
54,58,Company Invited,1,6.734591659972948,Salaried,female,1,3,Deluxe,3,4,0,1,Manager,397245.0,0,Single,No Car,0_child,50s,1.6094379124341003,0,3,1191735.0,0,16,0.4454613065600551,264830.0,524363.4,0,2.6094379124341005,16,0.8
55,33,Company Invited,2,6.8679744089702925,Salaried,female,1,3,Deluxe,3,5,0,2,Manager,297855.0,0,Married,Has Car,0_child,30s,1.791759469228055,0,3,595710.0,0,8,0.8736200286598874,199234.11371237453,393168.6,1,2.791759469228055,15,0.8
56,32,Company Invited,1,6.293419278846481,Small Business,male,1,3,Basic,3,4,0,1,Executive,269895.0,0,Single,Has Car,0_child,30s,1.6094379124341003,0,3,1052590.5,0,48,0.47668840531309226,171361.90476190473,267196.05000000005,0,2.6094379124341005,11,1.0
57,50,Company Invited,2,6.8679744089702925,Salaried,male,1,3,Standard,4,5,1,1,Senior Manager,427050.0,1,Married,Has Car,0_child,50s,1.791759469228055,0,13,1110330.0,0,8,0.4368100143299437,285652.1739130434,610681.5000000001,1,4.187639203842083,20,0.8
58,40,Company Invited,1,6.734591659972948,Salaried,female,1,3,Standard,3,2,1,1,Senior Manager,418080.0,0,Single,Has Car,0_child,40s,1.0986122886681098,0,13,1254240.0,0,16,0.4454613065600551,265447.619047619,597854.4000000001,0,2.09861228866811,1,1.0
59,26,Company Invited,2,6.928537818164665,Large Business,male,1,3,Basic,3,2,1,2,Executive,264615.0,1,Single,No Car,0_child,20s,1.0986122886681098,0,13,687999.0,0,48,0.8659835823180034,203550.0,349291.80000000005,0,2.09861228866811,0,1.0
60,47,Self Enquiry,2,6.803505257608338,Small Business,male,1,3,Standard,3,8,1,1,Senior Manager,415545.0,0,Single,No Car,0_child,40s,2.1972245773362196,0,13,1080417.0,0,16,0.4409491705242838,319650.0,486187.65,1,3.1972245773362196,3,1.0
61,47,Company Invited,2,6.398594934535208,Large Business,male,1,3,Basic,3,1,1,2,Executive,258915.0,1,Divorced,Has Car,0_child,40s,0.6931471805599453,0,13,673179.0,0,24,0.9377058653324237,189681.31868131866,341767.80000000005,0,1.6931471805599454,0,1.0
62,52,Company Invited,2,6.8679744089702925,Salaried,female,1,3,Deluxe,4,5,0,1,AVP,507870.0,0,Single,Has Car,0_child,50s,1.791759469228055,0,3,1015740.0,0,16,0.4368100143299437,372065.934065934,782119.7999999999,1,4.187639203842083,14,1.0
63,29,Company Invited,2,6.660575149839686,Small Business,male,1,5,Deluxe,3,7,0,1,Manager,303960.0,0,Divorced,No Car,0_child,20s,2.0794415416798357,0,5,790296.0,0,8,0.7506859223892017,233815.3846153846,328276.8,1,3.0794415416798357,21,0.8
64,44,Self Enquiry,2,6.042632833682381,Small Business,male,1,5,Deluxe,3,1,0,2,Manager,309645.0,0,Married,No Car,0_child,40s,0.6931471805599453,0,5,805077.0,0,8,1.6549077654129116,216534.96503496502,334416.6,0,1.6931471805599454,21,0.8
65,54,Company Invited,1,6.580639137284949,Small Business,male,2,4,Standard,3,2,0,1,Senior Manager,400000.0,0,Divorced,Has Car,0_child,50s,1.0986122886681098,0,8,1560000.0,0,6,0.6078436936826666,253968.25396825394,468000.0,0,2.09861228866811,8,1.0
66,51,Company Invited,2,6.042632833682381,Salaried,male,2,4,Super Deluxe,3,3,0,2,AVP,479610.0,0,Married,Has Car,0_child,50s,1.3862943611198906,0,8,1246986.0,0,0,1.3239262123303295,320809.3645484949,738599.3999999999,0,2.386294361119891,14,0.6
67,59,Company Invited,1,6.660575149839686,Salaried,male,2,4,Deluxe,3,4,0,1,AVP,463050.0,0,Married,Has Car,0_child,50s,1.6094379124341003,0,8,1805895.0,0,6,0.6005487379113613,268434.7826086956,713097.0,0,2.6094379124341005,17,0.8
68,25,Company Invited,1,6.042632833682381,Small Business,male,2,4,Basic,3,8,0,2,Executive,270735.0,0,Single,No Car,0_child,20s,2.1972245773362196,0,8,1055866.5,0,36,1.3239262123303295,180490.0,268027.65,1,3.1972245773362196,11,1.0
69,29,Company Invited,1,6.803505257608338,Salaried,female,2,4,Basic,3,5,0,2,Executive,263865.0,0,Divorced,No Car,0_child,20s,1.791759469228055,0,8,791595.0,0,18,1.1758644547314234,175910.0,319276.65,1,2.791759469228055,13,1.0
70,21,Self Enquiry,2,6.660575149839686,Small Business,female,2,4,Basic,3,3,0,2,Executive,316770.0,1,Married,No Car,0_child,20s,1.3862943611198906,0,8,633540.0,0,18,1.2010974758227226,221517.48251748248,313602.30000000005,0,2.386294361119891,5,1.0
71,56,Self Enquiry,1,6.398594934535208,Small Business,male,2,4,Deluxe,3,6,0,1,AVP,400000.0,0,Married,Has Car,0_child,50s,1.9459101490553132,0,8,1560000.0,0,6,0.6251372435549492,231884.05797101447,503999.99999999994,1,2.9459101490553135,9,0.8
72,50,Self Enquiry,3,5.8888779583328805,Small Business,male,2,4,Standard,3,4,0,2,Senior Manager,358935.0,0,Single,Has Car,0_child,50s,1.6094379124341003,0,8,466615.5,0,12,1.3584930875804344,341842.8571428571,419953.95,0,2.6094379124341005,22,1.0
73,57,Company Invited,1,6.175867270105761,Small Business,female,2,4,Basic,3,2,0,2,Executive,263010.0,0,Single,Has Car,0_child,50s,1.0986122886681098,0,8,789030.0,0,36,1.2953646265560044,166990.47619047618,260379.90000000002,0,2.09861228866811,11,1.0
74,37,Company Invited,1,6.660575149839686,Large Business,male,2,4,Basic,4,7,0,2,Executive,273900.0,1,Divorced,No Car,0_child,30s,2.0794415416798357,0,8,1068210.0,0,18,1.2010974758227226,182600.0,361548.00000000006,1,4.619162312519753,2,0.8
75,20,Self Enquiry,1,6.660575149839686,Salaried,male,2,4,Basic,3,2,0,2,Executive,257295.0,0,Divorced,No Car,0_child,20s,1.0986122886681098,0,8,1003450.5,0,18,1.2010974758227226,171530.0,311326.95,0,2.09861228866811,13,1.0
76,53,Company Invited,2,6.734591659972948,Small Business,male,2,4,Standard,4,5,0,2,Senior Manager,438195.0,0,Single,Has Car,0_child,50s,1.791759469228055,0,8,1139307.0,0,12,1.1878968174934803,321021.978021978,512688.15,1,4.187639203842083,3,0.8
77,30,Company Invited,1,6.175867270105761,Small Business,male,2,4,Basic,3,8,0,1,Executive,267480.0,0,Divorced,Has Car,0_child,30s,2.1972245773362196,0,8,1043172.0,0,18,0.6476823132780022,169828.57142857142,264805.2,1,3.1972245773362196,11,1.0
78,35,Company Invited,3,6.580639137284949,Salaried,male,2,4,Standard,4,1,0,2,Senior Manager,438210.0,0,Divorced,Has Car,0_child,30s,0.6931471805599453,0,8,569673.0,0,6,1.215687387365333,417342.8571428571,626640.3,0,2.539720770839918,19,0.8
79,36,Company Invited,1,6.493753839851686,Small Business,male,2,4,Standard,3,2,0,2,Senior Manager,371820.0,0,Divorced,Has Car,0_child,30s,1.0986122886681098,0,8,1450098.0,0,6,1.2319530732601216,236076.19047619044,435029.4,0,2.09861228866811,8,1.0
80,36,Company Invited,3,6.985641817639208,Small Business,female,2,5,Standard,3,1,0,1,Senior Manager,300000.0,0,Divorced,No Car,0_child,30s,0.6931471805599453,0,10,300000.0,0,6,0.7157538463215605,300000.0,351000.0,0,1.6931471805599454,22,1.0
81,38,Self Enquiry,2,5.707110264748875,Salaried,male,2,4,Standard,3,5,0,2,Senior Manager,410000.0,0,Divorced,No Car,0_child,30s,1.791759469228055,0,8,1066000.0,0,6,1.401760195420373,315384.6153846154,586300.0000000001,1,2.791759469228055,20,1.0
82,49,Self Enquiry,3,6.803505257608338,Small Business,female,2,4,Standard,4,2,0,1,Senior Manager,370000.0,0,Married,Has Car,0_child,40s,1.0986122886681098,0,8,370000.0,0,6,0.5879322273657117,321739.1304347826,432900.0,0,3.147918433002165,22,0.8
83,37,Self Enquiry,1,7.528869256642251,Large Business,male,2,4,Standard,3,2,0,1,Senior Manager,393705.0,0,Single,No Car,0_child,30s,1.0986122886681098,0,8,1535449.5,0,12,0.5312882803046487,262470.0,614179.8,0,2.09861228866811,7,1.0
84,50,Self Enquiry,2,6.734591659972948,Small Business,female,2,4,Basic,3,5,1,2,Executive,263730.0,1,Single,No Car,0_child,50s,1.791759469228055,0,18,527460.0,0,36,1.1878968174934803,202869.23076923075,261092.7,1,2.791759469228055,5,1.0
85,51,Self Enquiry,2,6.398594934535208,Salaried,male,2,4,Standard,3,3,1,2,Senior Manager,366900.0,0,Single,Has Car,0_child,50s,1.3862943611198906,0,18,953940.0,0,12,1.2502744871098983,268791.20879120874,524667.0000000001,0,2.386294361119891,20,1.0
86,43,Self Enquiry,2,6.493753839851686,Small Business,male,2,4,Basic,3,5,1,2,Executive,262560.0,1,Divorced,No Car,0_child,40s,1.791759469228055,0,18,682656.0,0,18,1.2319530732601216,201969.23076923075,259934.40000000002,1,2.791759469228055,5,1.0
87,40,Self Enquiry,2,6.803505257608338,Small Business,female,2,4,Deluxe,3,2,1,1,Manager,437895.0,0,Divorced,No Car,0_child,40s,1.0986122886681098,0,18,875790.0,0,6,0.5879322273657117,336842.3076923077,472926.6,0,2.09861228866811,21,0.8
88,32,Self Enquiry,1,6.293419278846481,Large Business,male,1,3,Basic,3,1,0,3,Executive,269235.0,0,Married,No Car,0_child,30s,0.6931471805599453,0,3,1050016.5,0,24,1.4300652159392766,163172.72727272726,355390.2,0,1.6931471805599454,2,1.0
89,54,Self Enquiry,2,6.8679744089702925,Small Business,male,1,1,Deluxe,4,4,1,4,AVP,428610.0,0,Married,Has Car,0_child,50s,1.6094379124341003,0,11,1114386.0,0,8,0.5824133524399249,286695.65217391297,540048.6,0,3.9141568686511508,10,1.0
90,29,Company Invited,2,6.803505257608338,Large Business,female,1,4,Basic,3,4,0,3,Executive,243540.0,1,Single,No Car,0_child,20s,1.6094379124341003,0,4,487080.0,0,48,1.7637966820971351,187338.46153846153,321472.80000000005,0,2.6094379124341005,0,1.0
91,26,Company Invited,2,6.928537818164665,Salaried,female,1,3,Basic,3,2,0,4,Executive,256455.0,0,Single,No Car,0_child,20s,1.0986122886681098,0,3,512910.0,0,48,1.7319671646360069,197273.0769230769,310310.55000000005,0,2.09861228866811,12,1.0
92,40,Company Invited,1,7.2305631534092925,Salaried,male,1,3,Basic,3,1,0,5,Executive,252360.0,0,Married,Has Car,0_child,40s,0.6931471805599453,0,3,984204.0,0,24,2.0745272092571834,146295.65217391303,305355.60000000003,0,1.6931471805599454,13,1.0
93,31,Company Invited,3,6.734591659972948,Salaried,female,1,3,Basic,3,2,0,3,Executive,260000.0,0,Divorced,Has Car,0_child,30s,1.0986122886681098,0,3,260000.0,0,24,1.3363839196801655,247619.0476190476,314600.0,0,2.09861228866811,23,1.0
94,27,Company Invited,2,6.803505257608338,Salaried,female,1,1,Basic,3,8,0,3,Executive,256890.0,0,Married,Has Car,0_child,20s,2.1972245773362196,0,1,513780.0,0,24,0.4409491705242838,171832.7759197324,310836.9,1,3.1972245773362196,12,1.0
95,40,Self Enquiry,1,6.493753839851686,Salaried,female,1,2,Deluxe,3,1,0,3,Manager,331515.0,0,Single,No Car,0_child,40s,0.6931471805599453,0,2,994545.0,0,16,0.9239648049450913,221010.0,437599.80000000005,0,1.6931471805599454,16,0.8
96,40,Company Invited,1,6.928537818164665,Salaried,female,1,3,Deluxe,3,6,1,4,Manager,270870.0,1,Married,No Car,0_child,40s,1.9459101490553132,0,13,812610.0,0,8,1.7319671646360069,164163.63636363635,357548.39999999997,1,2.9459101490553135,16,0.8
97,33,Self Enquiry,2,6.293419278846481,Small Business,male,2,4,Basic,3,1,0,4,Executive,320000.0,1,Single,Has Car,0_child,30s,0.6931471805599453,0,8,832000.0,0,36,2.542338161669825,234432.2344322344,316800.0,0,1.6931471805599454,5,1.0
98,20,Self Enquiry,2,7.650168700845001,Small Business,male,2,4,Basic,3,3,0,3,Executive,262500.0,1,Married,No Car,0_child,20s,1.3862943611198906,0,8,682500.0,0,18,1.5685928597462875,183566.43356643355,259875.00000000003,0,2.386294361119891,5,1.0
99,58,Company Invited,2,6.803505257608338,Small Business,female,2,4,Basic,3,2,0,3,Executive,266790.0,0,Divorced,No Car,0_child,50s,1.0986122886681098,0,8,533580.0,0,18,1.7637966820971351,205223.0769230769,264122.10000000003,0,2.09861228866811,5,1.0
100,33,Self Enquiry,1,6.928537818164665,Small Business,female,2,4,Basic,4,2,1,3,Executive,271980.0,1,Single,No Car,0_child,30s,1.0986122886681098,0,18,815940.0,0,36,1.7319671646360069,181320.0,269260.2,0,3.147918433002165,11,0.8
