,id,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,Designation,MonthlyIncome,customer_info,AgeInt
61,3550,33歳,Company Invited,3,13分,Salaried,FE MALE,1.0,3.0,Standard,3.0,1,0,2,Senior Managеr,月収40.0万円,未婚／車所持/子供無し,33.0
62,3551,27歳,Company Invited,3,1020秒,Small Business,Female,1.0,3.0,Basic,3.0,1,0,1,Executive,257430.0,"独身,自家用車あり,子供なし",27.0
63,3552,50歳,Company Invited,3,14分,Small Business,Male,1.0,3.0,super deluxe,3.0,2,0,2,Senior Manager,464625.0,"独身,車保有なし、子供無し",50.0
64,3553,58歳,Company Invited,1,16分,Small Business,Male,1.0,3.0,Super Deluxe,3.0,6,0,1,AVP,477795.0,独身／自動車所有／子供ゼロ,58.0
65,3554,32歳,Company Invited,2,300秒,Salaried,Male,1.0,3.0,𐊡asic,3.0,2,0,1,Executive,252000.0,離婚済み、自家用車あり、子供なし,32.0
66,3555,46歳,Company Invited,1,720秒,Salaried,Female,1.0,4.0,standard,3.0,2,0,1,Senior Manager,月収37.0万円,結婚済み	車未所持	非育児家庭,46.0
67,3556,三十三歳,Company Invited,2,13分,Small Business,Male,1.0,3.0,Basic,3.0,2,0,1,Executive,月収26.0万円,"離婚済み、車保有なし,子供なし",33.0
68,3557,29歳,Self Enquiry,1,17分,Large Business,Female,1.0,3.0,Basic,3.0,1,0,2,Executive,259260.0,結婚済み、自家用車なし、無子,29.0
69,3558,36歳,Company Invited,2,16分,Salaried,FEMALE,1.0,3.0,Deluxe,3.0,2,0,1,Manager,377490.0,"離婚済み、車所持,子供なし",36.0
70,3559,,Company Invited,1,19分,Large Business,MALE,1.0,3.0,Basic,3.0,年に2回,0,1,Executive,,独身 車所持 子供なし,
71,3560,二十三歳,Self Enquiry,3,15分,Large Business,Male,1.0,3.0,Basic,3.0,2,0,2,Executive,264420.0,独身、車なし、子供無し,23.0
72,3561,32歳,Company Invited,1,900秒,Small Business,Female,1.0,3.0,basic,3.0,年に1回,0,2,Executive,253230.0,独身	自家用車あり	非育児家庭,32.0
73,3562,50歳,Self Enquiry,2,1020秒,Small Business,Male,1.0,3.0,Super Deluxe,3.0,2,0,1,AVP,月収40.0万円,結婚済み/乗用車所持/子供なし,50.0
74,3563,45歳,Self Enquiry,3,14分,Salaried,Ｍａｌｅ,1.0,3.0,Super Deluxe,3.0,年に1回,0,2,AVP,月収40.0万円,"独身,車所持,子供なし",45.0
75,3564,26際,Company Invited,2,16分,Small Business,Female,1.0,3.0,Basic,3.0,2,0,1,Exеcutivе,259275.0,独身、車所持、無子,26.0
76,3565,59歳,Company Invited,1,14分,Small Business,Female,1.0,3.0,Super Deluxe,3.0,2,0,1,AVP,387375.0,離婚済み 自動車所有 子供無し,59.0
77,3566,57歳,Company Invited,1,19分,Salaried,Male,1.0,3.0,SUPER ᎠELUXE,3.0,2,0,2,AVP,468255.0,結婚済み、自動車所有、非育児家庭,57.0
78,3567,55歳,Company Invited,2,10分,Salaried,Ｍａｌｅ,1.0,3.0,standard,3.0,2,1,1,AVP,375105.0,離婚済み／乗用車所持／子供なし,55.0
79,3568,45歳,Company Invited,1,33分,Small Business,Female,1.0,3.0,DELUXE,3.0,2,1,2,Manager,345525.0,独身 自動車未所有 子供無し,45.0
80,3569,30代,Company Invited,2,660秒,Salaried,Male,1.0,3.0,Basic,3.0,1,1,2,Executive,252930.0,独身 自動車未所有 子供無し,35.0
81,3570,50歳,Self Enquiry,2,11分,Large Business,MALE,1.0,3.0,Basic,3.0,1,1,2,Executive,月収34.0万円,未婚、車未所持、子供無し,50.0
82,3571,50代,Self Enquiry,1,7分,Salaried,Male,1.0,3.0,STANDARD,3.0,3,1,2,Senior Manager,358860.0,結婚済み、自動車所有、子供無し,55.0
83,3572,２６才,Company Invited,2,,Large Business,Female,1.0,3.0,Deluxe,3.0,3,1,2,Manager,332130.0,離婚済み 自家用車なし 非育児家庭,26.0
84,3573,54歳,Company Invited,2,12分,Small Business,Ｆｅｍａｌｅ,1.0,3.0,SUPER ᗞELUXE,4.0,1,0,2,AVP,499065.0,結婚済み 乗用車所持 子供なし,54.0
85,3574,47歳,Company Invited,2,16分,Small Business,Female,1.0,3.0,Basic,3.0,2,0,2,Executive,254505.0,"結婚済み,自家用車なし,子供ゼロ",47.0
86,3575,59歳,Company Invited,2,480秒,Small Business,Female,1.0,5.0,STANDARD,3.0,1,0,2,Senior Manager,401445.0,独身/自家用車あり/子供ゼロ,59.0
87,3576,36歳,Self Enquiry,1,9分,Large Business,Male,1.0,5.0,Basic,3.0,4,0,2,Executive,254055.0,独身、車未所持、無子,36.0
88,3577,60歳,Company Invited,1,17分,Large Business,Female,1.0,3.0,Super Deluxe,4.0,5,0,3,AVP,513090.0,結婚済み、自家用車あり、子供無し,60.0
89,3578,52歳,Self Enquiry,2,540秒,Salaried,Male,2.0,4.0,super deluxe,3.0,1,0,1,AVP,447405.0,離婚済み／乗用車所持／無子,52.0
90,3579,51歳,Company Invited,1,6分,Salaried,male,2.0,4.0,STANDARD,3.0,5,0,1,Senior Manager,月収30.0万円,独身、車所持、子供なし,51.0
91,3580,36歳,Company Invited,3,15分,Salaried,Female,2.0,4.0,Basic,4.0,4,0,1,Executive,月収30.0万円,"離婚済み、自動車未所有,子供無し",36.0
92,3581,四十三歳,Self Enquiry,1,13分,Salaried,Male,2.0,4.0,Deluxe,3.0,3,0,2,Executive,月収30.0万円,未婚/車なし/子供なし,43.0
93,3582,49歳,Company Invited,2,7分,Large Business,Male,2.0,4.0,Standard,3.0,1,0,2,Senior Manager,340065.0,結婚済み 自家用車なし 子供無し,49.0
94,3583,三十二歳,Company Invited,2,9分,Small Business,Female,2.0,5.0,Deluxe,3.0,7,0,2,Manager,310365.0,離婚済み、自動車未所有、子供なし,32.0
95,3584,30代,Self Enquiry,2,660秒,Large Business,Male,2.0,4.0,Super Deluxe,3.0,年に2回,0,2,AVP,473025.0,独身、車未所持、子供無し,35.0
96,3585,58歳,Self Enquiry,1,9分,Small Business,Male,2.0,4.0,Standard,4.0,6,0,2,Senior Manager,月収50.0万円,離婚済み	自家用車あり	子供なし,58.0
97,3586,30代,Company Invited,2,17分,Small Business,male,2.0,4.0,BASIC,4.0,1,0,1,Executive,270570.0,離婚済み/自動車未所有/子供なし,35.0
98,3587,23歳,Self Enquiry,3,19分,Large Business,Male,2.0,4.0,BASIC,3.0,2,0,2,Executive,299790.0,結婚済み 車未所持 子供無し,23.0
99,3588,36歳,Self Enquiry,1,13分,Large Business,Male,2.0,4.0,Basic,3.0,2,0,2,Executive,267825.0,離婚済み/自動車未所有/子供無し,36.0
100,3589,45歳,Self Enquiry,2,22分,Salaried,male,2.0,4.0,Standard,3.0,5,0,2,Senior Manager,378495.0,結婚済み 車保有なし 子供なし,45.0
101,3590,３２歳,Self Enquiry,2,480秒,Small Business,Male,2.0,4.0,Standard,3.0,2,0,1,Senior Manager,428775.0,離婚済み 乗用車所持　子供なし,32.0
102,3591,24歳,Self Enquiry,2,8分,Small Business,ｍａｌｅ,2.0,400.0,Basic,3.0,3,0,1,Executive,259410.0,結婚済み/車未所持/子供なし,24.0
103,3592,34歳,Self Enquiry,1,28分,Small Business,Female,2.0,4.0,Basic,3.0,3,0,2,Executive,322785.0,離婚済み 車未所持 子供なし,34.0
104,3593,29歳,Self Enquiry,3,15分,Small Business,Male,2.0,4.0,Βasic,3.0,5,0,2,Executive,307800.0,結婚済み、自動車所有、子供なし,29.0
105,3594,20代,Company Invited,3,300秒,Salaried,Male,2.0,4.0,Basic,3.0,4,0,2,Executive,255675.0,"独身、車未所持,子供無し",25.0
106,3595,30歳,Self Enquiry,3,14分,Salaried,Male,2.0,4.0,Standard,3.0,年に2回,0,1,Senior Manager,449325.0,結婚済み、自家用車あり、無子,30.0
107,3596,36歳,Self Enquiry,2,12分,Small Business,Male,2.0,4.0,Basic,3.0,年に3回,0,2,Executive,月収30.0万円,離婚済み 乗用車なし　子供なし,36.0
108,3597,20代,Self Enquiry,2,480秒,Salaried,Female,2.0,5.0,BASIC,3.0,3,0,2,Executive,262095.0,離婚済み/車あり/子供なし,25.0
109,3598,42歳,Self Enquiry,1,11分,Salaried,Male,2.0,4.0,King,4.0,6,0,2,VＰ,497220.0,結婚済み/乗用車所持/子供の数不明,42.0
110,3599,30代,Self Enquiry,2,1980秒,Small Business,female,2.0,4.0,Deluxe,3.0,3,0,1,Manager,月収40.0万円,離婚済み/車未所持/子供無し,35.0
111,3600,56歳,Company Invited,2,900秒,Small Business,ｆｅｍａｌｅ,2.0,4.0,Basic,3.0,7,1,2,Exеcutive,325170.0,独身、車所持、子供なし,56.0
112,3601,28歳,Company Invited,2,18分,Small Business,Female,2.0,5.0,Standard,4.0,年に2回,0,1,Executive,382335.0,独身、車未所持、子供なし,28.0
113,3602,43歳,Self Enquiry,2,9分,Small Business,MALE,2.0,5.0,king,4.0,年に1回,0,1,AVP,496455.0,独身、車未所持、子供なし,43.0
114,3603,33歳,Company Invited,1,15分,Small Business,Male,2.0,5.0,BASIC,3.0,1,0,2,Executive,257130.0,離婚済み/自動車未所有/子供なし,33.0
115,3604,28際,Self Enquiry,2,720秒,Small Business,Male,1.0,1.0,Basic,3.0,1,0,4,Executive,月収30.0万円,結婚済み／車保有／子供無し,28.0
116,3605,50歳,Company Invited,2,840秒,Small Business,Female,1.0,4.0,Standard,3.0,2,0,3,Senior Manager,月収40.0万円,離婚済み、自家用車あり、子供なし,50.0
117,3606,50代,Self Enquiry,2,14分,Salaried,Male,1.0,1.0,standard,3.0,5,0,3,Senior Manager,423570.0,結婚済み 自動車未所有 子供なし,55.0
118,3607,55歳,Company Invited,1,11分,Salaried,Female,1.0,3.0,Basic,3.0,5,0,4,Executive,272925.0,結婚済み、自動車所有、子供無し,55.0
119,3608,,Self Enquiry,1,960秒,Salaried,male,1.0,3.0,Basiс,3.0,年に1回,0,4,Executive,260475.0,結婚済み 車所持 子供なし,
120,3609,21歳,Company Invited,1,14分,Salaried,Female,1.0,2.0,Basic,3.0,2,1,4,Executive,月収30.0万円,"独身,自動車所有,子供なし",21.0
121,3610,30才,Company Invited,1,27分,Small Business,Female,2.0,5.0,Basic,3.0,3,0,4,Executive,309120.0,"結婚済み,車保有,子供無し",30.0
122,3611,42際,Self Enquiry,1,600秒,Small Business,Male,2.0,4.0,Basic,3.0,年に6回,0,3,Executive,265185.0,独身、車保有なし、子供なし,42.0
123,3612,42歳,Company Invited,1,8分,Large Business,Male,2.0,4.0,Standard,4.0,2,0,3,Senior Manager,364245.0,結婚済み　車保有なし　子供なし,42.0
124,3613,27才,Self Enquiry,2,,Small Business,male,2.0,4.0,basic,3.0,1,0,4,Executive,254550.0,"結婚済み、車所持,子供なし",27.0
125,3614,20代,Self Enquiry,2,13分,Large Business,Male,2.0,4.0,Standard,4.0,2,0,3,Senior Manager,372450.0,未婚 車未所持 子供なし,25.0
126,3615,31歳,Company Invited,3,9分,Salaried,Female,2.0,4.0,Standard,3.0,2,0,3,Senior Manager,366540.0,"未婚,車保有,子供ゼロ",31.0
127,3616,40歳,Company Invited,1,10分,Salaried,Male,2.0,4.0,ꓢtandard,3.0,2,0,4,Senior Manager,396270.0,"離婚済み,車所持,非育児家庭",40.0
128,3617,57歳,Self Enquiry,1,13分,Salaried,Female,1.0,1.0,Super Deluxe,3.0,年に1回,0,3,AVP,510375.0,離婚済み、車保有、子供なし,57.0
129,3618,19歳,Self Enquiry,2,14分,Salaried,Male,1.0,4.0,Basic,3.0,2,0,2,Executive,251130.0,"独身,車保有なし,子供なし",19.0
130,3619,56歳,Company Invited,1,16分,Salaried,male,1.0,4.0,King,3.0,4,0,4,VP,485445.0,離婚済み/車所持/子供なし,56.0
131,3620,50代,Self Enquiry,2,720秒,Salaried,Female,2.0,3.0,Standard,3.0,5,0,1,Senior Manager,394605.0,"未婚,乗用車所持,非育児家庭",55.0
132,3621,30歳,Self Enquiry,3,18分,Large Business,female,2.0,3.0,Standard,4.0,1,0,2,Senior Manager,月収40.0万円,結婚済み、自家用車あり、子供なし,30.0
133,3622,42歳,Self Enquiry,2,15分,Small Business,female,1.0,3.0,Super Deluxe,3.0,2,0,4,AVP,423270.0,結婚済み、車所持、非育児家庭,42.0
134,3623,24際,Self Enquiry,1,23分,Small Business,Male,2.0,3.0,Basic,3.0,2,0,1,Executive,275610.0,離婚済み 自家用車なし 非育児家庭,24.0
135,3624,35歳,Self Enquiry,2,15分,Salaried,Male,2.0,3.0,standard,3.0,1,0,2,Senior Manager,月収34.0万円,離婚済み、自家用車なし、子供無し,35.0
136,3625,28才,Self Enquiry,2,23分,Small Business,Male,2.0,3.0,Deluxe,3.0,3,0,1,Manager,月収31.0万円,離婚済み、車所持、子供なし,28.0
137,3626,55歳,Self Enquiry,2,13分,Salaried,fe male,2.0,3.0,Standard,3.0,5,0,2,Senior Manager,386385.0,"未婚、車所持,子供無し",55.0
138,3627,３３歳,Self Enquiry,2,14分,Small Business,FEMALE,2.0,3.0,Standard,3.0,3,0,2,Senior Manager,250890.0,独身 車未所持 非育児家庭,33.0
139,3628,38歳,Self Enquiry,2,10分,Salaried,ｆｅｍａｌｅ,2.0,3.0,Deluxe,3.0,3,0,1,Manager,402015.0,未婚 車未所持 子供なし,38.0
140,3629,50代,Company Invited,1,16分,Salaried,Female,2.0,3.0,Standard,4.0,5,0,1,Senior Manager,396915.0,離婚済み 自家用車あり 子供なし,55.0
141,3630,25歳,Company Invited,2,16分,Small Business,Male,2.0,3.0,Basic,3.0,2,0,1,Executive,262560.0,独身 自動車所有 子供なし,25.0
142,3631,32歳,Company Invited,2,11分,Small Business,male,2.0,3.0,Deluxe,3.0,5,0,1,Manager,337170.0,未婚　車未所持　子供なし,32.0
143,3632,28歳,Self Enquiry,2,13分,Small Business,Female,2.0,3.0,Standard,4.0,2,0,2,Senior Manager,455265.0,結婚済み、乗用車所持、子供なし,28.0
144,3633,24歳,Company Invited,2,360秒,Large Business,Male,2.0,3.0,Basic,4.0,年に2回,0,2,Executive,265140.0,独身 車未所持 子供無し,24.0
145,3634,57歳,Self Enquiry,2,12分,Small Business,male,2.0,3.0,Super 𝙳eluxe,3.0,4,0,2,AVP,418815.0,独身/車未所持/子供無し,57.0
146,3635,二十八歳,Company Invited,2,20分,Salaried,Male,2.0,3.0,Standard,4.0,2,0,2,Executive,336540.0,"独身、自動車未所有,子供無し",28.0
147,3636,51歳,Self Enquiry,2,10分,Salaried,Male,2.0,3.0,Standard,3.0,2,0,2,Senior Manager,月収37.0万円,未婚　車未所持　子供なし,51.0
148,3637,30歳,Self Enquiry,1,14分,Salaried,Female,2.0,3.0,Basic,3.0,1,0,1,Executive,月収25.0万円,"独身,車保有なし、子供なし",30.0
149,3638,,Self Enquiry,1,540秒,Small Business,Male,2.0,3.0,Basic,3.0,2,0,1,Executive,268485.0,離婚済み 車なし 子供なし,
150,3639,33歳,Company Invited,1,15分,Salaried,Male,2.0,4.0,Basic,3.0,7,0,2,Executive,260115.0,結婚済み、自動車未所有、無子,33.0
151,3640,49歳,Company Invited,2,16分,Salaried,female,2.0,3.0,Standard,3.0,2,0,1,Senior Manager,401715.0,"離婚済み,車所持,子供ゼロ",49.0
152,3641,27歳,Company Invited,2,12分,Small Business,Female,2.0,3.0,Standard,3.0,年に2回,0,2,Senior Manager,339375.0,独身/乗用車所持/子供なし,27.0
153,3642,26歳,Self Enquiry,2,420秒,Small Business,male,2.0,3.0,Basic,3.0,1,0,1,Executive,266325.0,結婚済み 車所持 子供なし,26.0
154,3643,27歳,Company Invited,2,8分,Salaried,Male,1.0,4.0,Basic,3.0,2,0,3,Executive,260880.0,独身 自動車未所有 子供なし,27.0
155,3644,48歳,Company Invited,1,1020秒,Small Business,FEMALE,1.0,3.0,Basic,3.0,2,1,3,AVP,270975.0,独身、車未所持、子供なし,48.0
156,3645,50際,Company Invited,2,33分,Salaried,Ｆｅｍａｌｅ,1.0,3.0,SUPER DELUXE,3.0,3,1,3,AVP,403365.0,独身、乗用車なし、子供なし,50.0
157,3646,22歳,Company Invited,1,540秒,Small Business,ｍａｌｅ,2.0,5.0,Basic,3.0,3,0,4,Executive,253905.0,独身/車所持/子供なし,22.0
158,3647,46際,Self Enquiry,2,16分,Small Business,FEMALE,2.0,3.0,Standard,4.0,2,1,1,Senior Manager,387540.0,離婚済み 車未所持 無子,46.0
159,3648,33歳,Company Invited,2,360秒,Salaried,Male,2.0,3.0,ᗞeluxe,3.0,2,1,2,Senio𝙧 Manage𝙧,月収46.0万円,独身/乗用車所持/子供無し,33.0
160,3649,53歳,Company Invited,2,17分,Large Business,MALE,2.0,3.0,Super Deluxe,4.0,6,1,2,AVP,498075.0,独身、車所持、子供無し,53.0
161,3650,34歳,Self Enquiry,2,14分,Salaried,female,2.0,3.0,Standard,3.0,5,1,2,Senior Manager,263355.0,離婚済み　車未所持　子供無し,34.0
162,3651,44歳,Self Enquiry,1,11分,Small Business,Female,3.0,4.0,Basic,3.0,年に7回,0,1,Executive,月収30.0万円,独身／自動車未所有／子供なし,44.0
163,3652,40代,Self Enquiry,1,26分,Large Business,Male,3.0,4.0,Basic,3.0,3,0,2,Executive,338205.0,独身	乗用車所持	子供無し,45.0
