TypeofContact,CityTier,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,Designation,MonthlyIncome,customer_info,ProdTaken,age,duration
Company Invited,2,Salaried,male,1.0,3.0,Standard,4.0,5,1,1,Senior Manager,427050.0,結婚済み、車所持、無子,1,50,960.0
Company Invited,1,Salaried,Female,1.0,3.0,STANDARD,3.0,2,1,1,Senior Manager,418080.0,未婚、車所持、子供無し,0,40,840.0
Company Invited,2,Large Business,male,1.0,3.0,Basic,3.0,2,1,2,Executive,264615.0,"独身、車未所持,子供無し",1,26,1020.0
Self Enquiry,2,Small Business,Male,1.0,3.0,Standard,3.0,年に2回,1,1,Senior Manager,415545.0,独身、車保有なし、非育児家庭,0,47,900.0
Company Invited,2,Large Business,Male,1.0,3.0,Basic,3.0,1,1,2,Executive,258915.0,離婚済み、車所持、子供なし,1,47,600.0
Company Invited,2,Salaried,female,1.0,3.0,Super Deluxe,4.0,5,0,1,AVP,507870.0,"独身,自動車所有,子供なし",0,52,960.0
Company Invited,2,Small Business,Ｍａｌｅ,1.0,5.0,deluxe,3.0,7,0,1,Manager,303960.0,離婚済み、自動車未所有、子供なし,0,29,780.0
Self Enquiry,2,Small Business,Male,1.0,5.0,Deluxe,3.0,1,0,2,Manager,309645.0,結婚済み　車なし　子供なし,0,44,420.0
Company Invited,1,Small Business,male,2.0,4.0,Standard,3.0,2,0,1,Senior Manager,月収40.0万円,離婚済み/車所持/子供無し,0,54,720.0
Company Invited,2,Salaried,Male,2.0,4.0,ꓢuper De|uxe,3.0,3,0,2,AVP,479610.0,結婚済み　自動車所有　子供無し,0,51,420.0
Company Invited,1,Salaried,Male,2.0,4.0,Ѕuper Deluxe,3.0,4,0,1,AVP,463050.0,"結婚済み,自家用車あり,子供なし",0,59,780.0
Company Invited,1,Small Business,Male,2.0,4.0,BASIC,3.0,年に2回,0,2,Execuｔive,270735.0,独身／車未所持／子供無し,0,25,420.0
Company Invited,1,Salaried,Female,2.0,4.0,BASIC,3.0,5,0,2,Executive,263865.0,離婚済み	車未所持	子供なし,0,29,900.0
Self Enquiry,2,Small Business,Female,2.0,4.0,Basic,3.0,3,0,2,Executive,316770.0,結婚済み 自動車未所有 子供なし,1,21,780.0
Self Enquiry,1,Small Business,Male,2.0,4.0,Super Deluxe,3.0,6,0,1,AVP,月収40.0万円,結婚済み 車所持 非育児家庭,0,56,600.0
Self Enquiry,3,Small Business,Fe Male,2.0,4.0,Standard,3.0,4,0,2,Senior Manager,358935.0,未婚／車あり／子供無し,0,50,360.0
Company Invited,1,Small Business,female,2.0,4.0,Basic,3.0,2,0,2,Executive,263010.0,独身、車所持、子供無し,0,57,480.0
Company Invited,1,Large Business,MALE,2.0,4.0,basic,4.0,7,0,2,Executive,273900.0,離婚済み 車未所持 子供なし,1,37,780.0
Self Enquiry,1,Salaried,male,2.0,4.0,Basic,3.0,2,0,2,Executive,257295.0,離婚済み／車未所持／子供なし,0,20,780.0
Company Invited,2,Small Business,Male,2.0,4.0,Standard,4.0,5,0,2,Senior Manager,438195.0,未婚、自動車所有、子供なし,0,53,840.0
Company Invited,1,Small Business,MALE,2.0,4.0,Basic,3.0,年に2回,0,1,Executive,267480.0,離婚済み 車所持 子供なし,0,30,480.0
Company Invited,3,Salaried,Ｍａｌｅ,2.0,4.0,Standard,4.0,1,0,2,Senior Manager,438210.0,"離婚済み,自家用車あり、子供なし",0,35,720.0
Company Invited,1,Small Business,Fe Male,2.0,4.0,STANDARD,3.0,2,0,2,Senior Manager,371820.0,"離婚済み,自動車所有,非育児家庭",0,36,660.0
Company Invited,3,Small Business,female,2.0,5.0,STANDARD,3.0,1,0,1,Senior Manager,月収30.0万円,離婚済み／車未所持／子供なし,0,36,1080.0
Self Enquiry,2,Salaried,male,2.0,4.0,Standard,3.0,5,0,2,Senior Manager,月収41.0万円,離婚済み　車未所持　無子,0,38,300.0
Self Enquiry,3,Small Business,Female,2.0,4.0,Standard,4.0,2,0,1,Senior Manager,月収37.0万円,結婚済み、自動車所有、子供無し,0,49,900.0
Self Enquiry,1,Large Business,fe male,2.0,4.0,Standard,3.0,2,0,1,Senior Manager,393705.0,"未婚,車未所持,子供なし",0,37,1860.0
Self Enquiry,2,Small Business,Female,2.0,4.0,Basic,3.0,5,1,2,Executive,263730.0,"独身,車未所持、無子",1,50,840.0
Self Enquiry,2,Salaried,Ｍａｌｅ,2.0,4.0,Standard,3.0,3,1,2,Senior Manager,366900.0,独身/車所持/子供なし,0,51,600.0
Self Enquiry,2,Small Business,male,2.0,4.0,Вasic,3.0,5,1,2,Executive,262560.0,離婚済み／車未所持／子供なし,1,43,660.0
Self Enquiry,2,Small Business,ｆｅｍａｌｅ,2.0,4.0,deluxe,3.0,2,1,1,Manager,437895.0,"離婚済み,車未所持,子供なし",0,40,900.0
Self Enquiry,1,Large Business,Male,1.0,3.0,Basic,3.0,1,0,3,Executive,269235.0,"結婚済み,車保有なし,非育児家庭",0,38,540.0
Self Enquiry,2,Small Business,Male,1.0,1.0,Super Deluxe,4.0,年に1回,1,4,AVP,428610.0,結婚済み	自動車所有	子供なし,0,54,960.0
Company Invited,2,Large Business,Female,1.0,4.0,Basic,3.0,年に1回,0,3,Executive,243540.0,独身、自動車未所有、子供なし,1,38,900.0
Company Invited,2,Salaried,Female,1.0,3.0,Basic,3.0,2,0,4,Executive,256455.0,独身	車未所持	子供なし,0,26,1020.0
Company Invited,1,Salaried,Male,1.0,3.0,Basic,3.0,1,0,5,Executive,252360.0,結婚済み	自家用車あり	子供なし,0,40,1380.0
Company Invited,3,Salaried,Female,1.0,3.0,Basic,3.0,2,0,3,Executive,月収26.0万円,離婚済み 車所持 子供なし,0,31,840.0
Company Invited,2,Salaried,Ｆｅｍａｌｅ,1.0,1.0,BAՏIC,3.0,年に2回,0,3,Executive,256890.0,結婚済み	自動車所有	子供なし,0,27,900.0
Self Enquiry,1,Salaried,Female,1.0,2.0,Deluxe,3.0,1,0,3,Μanager,331515.0,独身	自家用車なし	子供なし,0,40,660.0
Company Invited,1,Salaried,Female,1.0,3.0,DELUXE,3.0,6,1,4,Manager,270870.0,結婚済み	乗用車なし	子供無し,1,38,1020.0
Self Enquiry,2,Small Business,Male,2.0,4.0,Basic,3.0,1,0,4,Executive,月収32.0万円,"独身,自家用車あり,子供無し",1,33,540.0
Self Enquiry,2,Small Business,Male,2.0,4.0,Basic,3.0,3,0,3,Executive,262500.0,結婚済み/車未所持/子供なし,1,20,2100.0
Company Invited,2,Small Business,ｆｅｍａｌｅ,2.0,4.0,BASIC,3.0,2,0,3,Executive,266790.0,離婚済み、車未所持、子供なし,0,58,900.0
Self Enquiry,1,Small Business,FEMALE,2.0,4.0,Basic,4.0,2,1,3,Executive,271980.0,独身/車未所持/子供なし,1,33,1020.0
Company Invited,2,Small Business,Male,2.0,4.0,Basic,3.0,2,1,4,Executive,月収30.0万円,独身 自動車所有　子供なし,1,20,660.0
Self Enquiry,2,Small Business,male,2.0,4.0,basic,3.0,5,1,4,Executive,349995.0,離婚済み 車所持 子供無し,1,32,1680.0
Self Enquiry,2,Salaried,Female,2.0,4.0,Basic,3.0,7,0,4,Executive,270405.0,離婚済み、自動車未所有、子供無し,1,34,1200.0
Company Invited,2,Salaried,female,2.0,4.0,Basıc,3.0,7,0,3,Executive,295065.0,独身/車所持/子供ゼロ,1,20,900.0
Self Enquiry,2,Small Business,Female,1.0,4.0,Basic,3.0,年に2回,0,2,Executive,274395.0,離婚済み、自動車所有、無子,0,51,900.0
Company Invited,2,Salaried,Male,1.0,4.0,Super Deluxe,3.0,5,0,2,AVP,280200.0,離婚済み／車あり／子供なし,0,40,420.0
Company Invited,3,Salaried,male,1.0,4.0,Standard,3.0,3,1,2,Senior Manager,月収37.0万円,結婚済み/車所持/子供なし,1,26,660.0
Company Invited,2,Large Business,Male,1.0,4.0,Basic,3.0,2,1,2,Executive,254535.0,独身、自家用車あり、無子,1,22,540.0
Self Enquiry,1,Salaried,male,2.0,3.0,Deluxe,3.0,3,0,2,Manager,343140.0,結婚済み/車未所持/子供無し,0,46,600.0
Self Enquiry,1,Small Business,Female,2.0,3.0,Basic,3.0,3,0,1,Executive,258405.0,独身	自家用車あり	子供なし,0,21,540.0
Company Invited,2,Salaried,Male,2.0,3.0,Standard,3.0,3,0,2,Senior Manager,344400.0,"独身,乗用車所持,子供なし",1,24,840.0
Self Enquiry,2,Salaried,Male,2.0,3.0,Deluxe,3.0,5,0,2,Manager,月収33.0万円,"離婚済み,自家用車あり,子供なし",0,45,720.0
Self Enquiry,1,Small Business,female,2.0,3.0,Basic,3.0,年に1回,0,1,Executive,254205.0,離婚済み 自家用車あり 子供なし,0,33,420.0
Company Invited,1,Salaried,Male,2.0,3.0,Deluxe,3.0,2,0,2,Manager,288480.0,離婚済み、車保有、子供なし,0,33,960.0
Company Invited,2,Salaried,Female,2.0,3.0,Super Deluxe,3.0,2,0,2,AVP,月収50.0万円,結婚済み/自動車所有/子供無し,0,56,900.0
Self Enquiry,1,Salaried,Ｆｅｍａｌｅ,2.0,3.0,Standard,3.0,年に2回,0,2,Senior Manager,月収50.0万円,結婚済み 車所持 子供なし,0,36,780.0
Company Invited,1,Salaried,Ｍａｌｅ,2.0,3.0,Super Deluxe,4.0,3,0,2,AVP,413865.0,独身、自動車所有、子供なし,0,41,1020.0
Self Enquiry,2,Small Business,Male,2.0,3.0,super deluxe,4.0,1,0,2,AVP,月収46.0万円,"離婚済み,自家用車あり,子供ゼロ",0,50,360.0
Self Enquiry,1,Large Business,Female,2.0,4.0,BASIC,3.0,5,0,1,Executive,257340.0,独身 自動車未所有 子供なし,0,31,1020.0
Company Invited,3,Salaried,ｆｅｍａｌｅ,2.0,3.0,Basic,3.0,2,0,1,Executive,255405.0,独身、車所持、子供なし,0,22,960.0
Company Invited,2,Small Business,Female,2.0,3.0,Basic,4.0,5,0,2,Executive,月収27.0万円,独身 車所持 無子,1,38,960.0
Company Invited,1,Small Business,Female,1.0,3.0,Basic,3.0,5,0,3,Executive,249315.0,"独身
車保有なし
子供なし",0,38,1080.0
Company Invited,2,Salaried,Male,2.0,3.0,basic,3.0,2,0,1,Executive,259680.0,"離婚済み、自動車所有,子供なし",0,31,960.0
Company Invited,2,Large Business,male,2.0,3.0,Basic,3.0,7,0,2,Executive,242280.0,独身 車所持　子供無し,1,18,480.0
Company Invited,3,Small Business,Male,1.0,3.0,King,3.0,1,0,5,VP,274515.0,独身　自動車未所有　子供なし,0,52,480.0
Company Invited,3,Large Business,Female,1.0,3.0,Basic,3.0,4,0,3,Executive,264480.0,結婚済み/自家用車なし/子供なし,0,45,540.0
Company Invited,1,Small Business,Female,2.0,3.0,BASIC,3.0,5,0,1,Executive,258390.0,離婚済み 自家用車あり　子供なし,0,30,720.0
Company Invited,2,Salaried,Male,2.0,3.0,Deluxe,3.0,年に2回,0,2,Manager,260310.0,独身 自動車未所有 子供なし,1,38,840.0
Company Invited,2,Salaried,Male,2.0,3.0,Standard,3.0,2,0,1,Senior Manager,445575.0,離婚済み、自動車所有、子供無し,0,43,480.0
Self Enquiry,3,Small Business,Male,2.0,3.0,Standard,4.0,2,0,1,Senior Manager,436320.0,独身 自動車所有 子供無し,0,43,960.0
Company Invited,3,Salaried,FEMALE,2.0,4.0,DELUXE,3.0,3,0,1,Manager,371775.0,結婚済み、車未所持、子供無し,0,35,960.0
Company Invited,1,Small Business,FEMALE,1.0,3.0,Basic,3.0,年に2回,0,4,Executive,267015.0,"独身,車未所持,子供無し",1,26,840.0
Company Invited,3,Large Business,Female,2.0,3.0,Standard,4.0,5,0,2,Senior Manager,336735.0,離婚済み、車あり、非育児家庭,0,46,1020.0
Self Enquiry,2,Small Business,Male,2.0,3.0,Standard,4.0,2,0,1,Senior Manager,404385.0,独身 車保有 非育児家庭,0,52,1020.0
Self Enquiry,1,Salaried,ｍａｌｅ,2.0,3.0,STANDARD,3.0,2,0,2,Senior Manager,365130.0,離婚済み/車未所持／子供なし,0,39,420.0
Self Enquiry,2,Large Business,Female,2.0,3.0,Super De|uxe,4.0,2,0,2,AVP,483855.0,独身、車所持、子育て状況不明,0,46,540.0
Self Enquiry,1,Salaried,female,2.0,3.0,king,4.0,1,0,1,VP,474720.0,独身、自動車未所有、子供なし,0,43,960.0
Self Enquiry,1,Small Business,Male,2.0,3.0,Basic,3.0,4,0,2,Executive,257970.0,"独身,自家用車なし,子供無し",0,46,780.0
Self Enquiry,1,Small Business,Female,2.0,3.0,basic,3.0,1,0,2,Executive,268350.0,独身／車保有／子供無し,0,40,1020.0
Self Enquiry,1,Salaried,female,2.0,3.0,Deluxe,3.0,1,0,2,Manager,400320.0,結婚済み、車未所持、子供なし,0,50,1020.0
Self Enquiry,2,Salaried,Female,1.0,3.0,King,3.0,2,0,3,VP,420780.0,結婚済み	車保有	無子,0,55,480.0
Company Invited,1,Salaried,Male,1.0,3.0,Standard,3.0,1,0,4,Executive,269235.0,離婚済み/車なし/子供なし,0,50,780.0
Self Enquiry,2,Salaried,Male,2.0,3.0,BASIC,3.0,年に2回,1,1,Executive,270540.0,独身、自動車未所有、子供なし,0,58,660.0
Self Enquiry,2,Salaried,Female,2.0,3.0,BASIC,3.0,年に1回,1,2,Executive,258285.0,離婚済み 車所持 子供無し,1,27,420.0
Self Enquiry,2,Salaried,female,2.0,3.0,Standard,3.0,年に2回,1,1,Senior Manager,274380.0,独身 車未所持 非育児家庭,1,50,900.0
Company Invited,3,Small Business,FEMALE,2.0,3.0,Super Deluxe,3.0,4,1,1,AVP,431010.0,"独身、車未所持,子供なし",0,36,840.0
Company Invited,3,Salaried,Fe Male,2.0,3.0,Standard,3.0,2,1,2,Senior Manager,373845.0,未婚／車未所持／子供なし,0,50,780.0
Company Invited,2,Small Business,Male,3.0,5.0,basic,3.0,6,0,1,Executive,343140.0,"独身,自動車未所有,子供無し",0,34,840.0
Company Invited,3,Salaried,FEMALE,3.0,4.0,Standard,3.0,2,0,2,Sеnior Manager,353670.0,"結婚済み,車所持、子供ゼロ",0,24,900.0
Self Enquiry,1,Salaried,Male,3.0,4.0,Super Deluxe,3.0,3,0,2,AVP,449715.0,独身、自動車所有、子供無し,0,53,840.0
Self Enquiry,2,Salaried,Female,3.0,4.0,Standard,3.0,1,0,2,Senior Manager,398475.0,離婚済み 車所持 子供ゼロ,0,38,600.0
Self Enquiry,1,Salaried,Fe Male,3.0,4.0,Standard,3.0,2,0,2,Senior Manager,月収39.0万円,未婚、車保有なし、子供なし,0,45,480.0
Self Enquiry,1,Small Business,male,3.0,4.0,Super Deluxe,3.0,3,0,1,ΑVP,月収49.0万円,結婚済み　車所持　子の数不詳,0,50,2160.0
Self Enquiry,3,Small Business,Male,3.0,4.0,basic,4.0,2,0,2,Executive,265110.0,独身、自動車未所有、子供ゼロ,0,38,840.0
Self Enquiry,1,Large Business,Male,3.0,4.0,Super Deluxe,3.0,3,0,2,AVP,385905.0,独身、自動車所有、子供ゼロ,0,41,480.0
Self Enquiry,1,Small Business,Fe Male,1.0,3.0,standard,3.0,3,0,2,Senior Manager,411855.0,独身、車未所持、子供なし,0,39,540.0
Self Enquiry,1,Salaried,Male,1.0,3.0,Basic,3.0,年に1回,0,2,Executive,257025.0,離婚済み、車所持、非育児家庭,0,30,480.0
Company Invited,1,Small Business,Male,1.0,3.0,Basic,3.0,半年に1回,0,1,Executive,264345.0,独身／自動車所有/子供ゼロ,0,27,480.0
Self Enquiry,2,Small Business,Ｍａｌｅ,1.0,3.0,Basic,3.0,7,0,2,Executive,251850.0,独身、自家用車なし、子供なし,1,31,480.0
Self Enquiry,1,Small Business,Male,1.0,3.0,KING,3.0,6,0,2,VP,467460.0,離婚済み、自動車未所有、子供なし,0,46,660.0
Company Invited,1,Salaried,Female,1.0,3.0,Super Deluxe,3.0,2,0,2,AVP,476955.0,結婚済み、乗用車なし、子供無し,0,40,420.0
Company Invited,1,Small Business,ｍａｌｅ,1.0,3.0,Basic,3.0,年に4回,0,2,Executive,277005.0,独身 車未所持 子供なし,0,52,960.0
Self Enquiry,1,Large Business,female,2.0,4.0,Basic,3.0,2,0,2,Executive,245340.0,独身	車未所持	子供無し,0,30,420.0
Self Enquiry,1,Small Business,Female,2.0,4.0,Basic,3.0,1,0,2,Executive,278595.0,"離婚済み
車所持
子供無し",0,43,540.0
Company Invited,2,Large Business,Male,2.0,4.0,BASIC,3.0,6,1,2,Executive,296055.0,"独身,車なし,子供なし",1,27,900.0
Self Enquiry,2,Salaried,Male,2.0,4.0,Basic,3.0,2,0,2,Executive,264990.0,"独身,自動車所有,子供なし",0,36,480.0
Company Invited,1,Small Business,female,1.0,100.0,Standard,3.0,1,0,1,Senior Manager,430470.0,"結婚済み、車所持,子供無し",0,40,840.0
Company Invited,2,Small Business,Male,1.0,3.0,Super Deluxe,3.0,1,0,1,АVP,342585.0,独身 自家用車なし 子供無し,1,33,1080.0
Company Invited,2,Large Business,Female,1.0,3.0,Basic,3.0,1,0,2,Executive,月収26.0万円,独身／車なし/子供無し,1,31,960.0
Company Invited,2,Salaried,Female,1.0,3.0,Deluxe,3.0,2,0,1,Manager,332460.0,独身 自動車未所有 子供ゼロ,0,31,840.0
Company Invited,1,Salaried,Ｍａｌｅ,1.0,4.0,Deluxe,3.0,年に3回,0,2,Manager,月収30.0万円,独身 車所持 子供なし,0,28,840.0
Self Enquiry,2,Small Business,Male,1.0,1.0,BASIC,3.0,5,0,2,Executive,256650.0,"離婚済み,自動車未所有,非育児家庭",1,26,1080.0
Company Invited,1,Small Business,Male,1.0,3.0,BΑSIC,3.0,2,0,1,Executive,275160.0,"離婚済み,車なし,子供無し",0,38,780.0
Self Enquiry,1,Small Business,Male,2.0,3.0,super deluxe,3.0,7,0,2,AVP,428025.0,結婚済み、自家用車あり、子供の数不明,0,55,1440.0
Self Enquiry,1,Salaried,MALE,1.0,1.0,Super Deluxe,3.0,6,0,1,AVP,461010.0,結婚済み/車所持/子供なし,0,58,960.0
Company Invited,3,Small Business,ｍａｌｅ,1.0,3.0,Basic,3.0,2,0,1,Executive,245805.0,離婚済み	車所持	子供なし,0,31,960.0
Company Invited,2,Small Business,male,1.0,3.0,Basic,3.0,3,0,2,Executive,256545.0,独身、車未所持、子供無し,1,32,900.0
Self Enquiry,1,Small Business,Male,1.0,1.0,Super Deluxe,4.0,6,1,1,AVP,月収40.0万円,結婚済み、車あり、子供なし,0,60,660.0
Self Enquiry,2,Small Business,Female,1.0,1.0,basic,3.0,2,1,1,Executive,260445.0,離婚済み、自動車未所有、子供なし,0,33,1380.0
Company Invited,2,Large Business,Male,1.0,3.0,standard,3.0,年に2回,1,2,Senior Manager,440280.0,独身	車未所持	子供無し,1,27,360.0
Self Enquiry,2,Salaried,Male,2.0,4.0,Super Deluxe,3.0,2,0,2,AVP,481905.0,独身、自動車所有、子供なし,0,40,720.0
